len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max;isin_border
1534.0;15.0;53.7332954;86.8442842;213.0;;77.6;21.034055347106253;256.15;-0.0173345569491179;-1.0074436626899157;-0.0978892627714897;Груженный движется вперед;95;7530G;240;1751.0;65.0;61.0;793.4181818181819;26.936363636363637;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.401554404145074;/home/pi/adviser/route30;['/home/pi/adviser/route30', '/home/pi/adviser/route31', '/home/pi/adviser/route20', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route4', '/home/pi/adviser/route14', '/home/pi/adviser/route8', '/home/pi/adviser/route15', '/home/pi/adviser/route7', '/home/pi/adviser/route29', '/home/pi/adviser/route28', '/home/pi/adviser/route27', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route24', '/home/pi/adviser/route19', '/home/pi/adviser/route25'];36.265833333333326;4.3;4.6;9.1;10.1;5.548963190461681;-1.6918916926472214;5.1831756787715015;123.74252873563478;-3.0981937856299666;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1555.0;13.0;53.7332873;86.8439689;214.0;;77.6;20.782573973016994;387.475;-0.0402773529111858;-0.99214846538187;-0.0774956663607627;Груженный движется вперед;95;7530G;240;1632.0;97.0;100.0;793.2727272727273;27.045454545454547;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.4119170984456;/home/pi/adviser/route30;['/home/pi/adviser/route21', '/home/pi/adviser/route30', '/home/pi/adviser/route4', '/home/pi/adviser/route31', '/home/pi/adviser/route7', '/home/pi/adviser/route10', '/home/pi/adviser/route24', '/home/pi/adviser/route16', '/home/pi/adviser/route20', '/home/pi/adviser/route14', '/home/pi/adviser/route27', '/home/pi/adviser/route8', '/home/pi/adviser/route15', '/home/pi/adviser/route28', '/home/pi/adviser/route19', '/home/pi/adviser/route29', '/home/pi/adviser/route5', '/home/pi/adviser/route25'];37.12688888888888;4.5;4.9;8.8;10.0;4.462583668007202;-1.4996515802357182;5.069134972093938;125.74176245210994;-3.0584322818676046;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1587.0;11.0;53.7332634;86.8434842;213.0;;77.2;32.02896919274846;424.05;-0.0183542367696543;-0.9890894259202612;-0.113184460079535;Груженный движется вперед;95;7530G;240;1824.0;90.0;99.5;793.1272727272727;27.154545454545453;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.42227979274611;/home/pi/adviser/route4;['/home/pi/adviser/route15', '/home/pi/adviser/route4', '/home/pi/adviser/route14', '/home/pi/adviser/route30', '/home/pi/adviser/route20', '/home/pi/adviser/route7', '/home/pi/adviser/route10', '/home/pi/adviser/route16', '/home/pi/adviser/route31', '/home/pi/adviser/route5', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route28', '/home/pi/adviser/route27', '/home/pi/adviser/route8', '/home/pi/adviser/route19', '/home/pi/adviser/route29', '/home/pi/adviser/route25'];37.71584722222221;4.2;4.4;8.8;10.0;6.5270170820858535;-1.502629281095003;4.905256518198888;127.71647509578813;-3.0645485605761627;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1601.0;12.0;53.7332536;86.8432696;214.0;;77.2;14.173807533002192;425.9;-0.0112164780258998;-0.9758335882532884;-0.0887121443866625;Груженный движется вперед;95;7530G;240;1824.0;90.0;100.0;792.9818181818182;27.263636363636362;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.432642487046635;/home/pi/adviser/route5;['/home/pi/adviser/route5', '/home/pi/adviser/route10', '/home/pi/adviser/route15', '/home/pi/adviser/route14', '/home/pi/adviser/route4', '/home/pi/adviser/route20', '/home/pi/adviser/route21', '/home/pi/adviser/route16', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route24', '/home/pi/adviser/route27', '/home/pi/adviser/route28', '/home/pi/adviser/route8', '/home/pi/adviser/route19', '/home/pi/adviser/route7', '/home/pi/adviser/route29', '/home/pi/adviser/route25'];38.18906944444443;4.2;5.1;9.7;9.7;5.194087680104468;-1.568644403196254;4.8428034159572135;129.6505747126464;-3.088093163814534;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1615.0;13.0;53.7332469;86.8430581;213.0;;77.2;13.947579673000225;425.8;-0.0224329560517997;-0.9850107066381156;-0.1213418986438258;Груженный движется вперед;95;7530G;240;1823.0;91.0;99.0;792.8363636363636;27.37272727272727;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.44300518134715;/home/pi/adviser/route5;['/home/pi/adviser/route5', '/home/pi/adviser/route31', '/home/pi/adviser/route14', '/home/pi/adviser/route24', '/home/pi/adviser/route7', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route8', '/home/pi/adviser/route27', '/home/pi/adviser/route20', '/home/pi/adviser/route4', '/home/pi/adviser/route28', '/home/pi/adviser/route16', '/home/pi/adviser/route15', '/home/pi/adviser/route29', '/home/pi/adviser/route19', '/home/pi/adviser/route25', '/home/pi/adviser/route26'];38.66218055555554;4.3;5.2;9.6;10.0;7.0209914600382515;-1.4823301530491644;4.7652533811716715;131.66130268199512;-3.1071082483816;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1630.0;15.0;53.7332421;86.8428229;212.0;;77.2;15.497523683490915;424.05;-0.0387478331803813;-1.0013255837666972;-0.0815743856429081;Груженный движется вперед;95;7530G;240;1824.0;90.0;100.0;792.6909090909091;27.48181818181818;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.45336787564767;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route14', '/home/pi/adviser/route5', '/home/pi/adviser/route24', '/home/pi/adviser/route15', '/home/pi/adviser/route8', '/home/pi/adviser/route16', '/home/pi/adviser/route28', '/home/pi/adviser/route27', '/home/pi/adviser/route21', '/home/pi/adviser/route20', '/home/pi/adviser/route4', '/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route29', '/home/pi/adviser/route7', '/home/pi/adviser/route19', '/home/pi/adviser/route25', '/home/pi/adviser/route26'];39.01555555555554;4.4;5.1;10.3;9.2;4.653927598354118;-1.4797726327654237;4.814748791415136;133.5770114942557;-3.1092211805224004;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1649.0;17.0;53.7332366;86.8425358;213.0;;77.6;18.915923744376222;422.0;-0.0520036708473539;-0.9972468644845518;-0.078515346181299;Груженный движется вперед;95;7530G;240;1824.0;90.0;100.0;792.5454545454545;27.59090909090909;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.46373056994818;/home/pi/adviser/route16;['/home/pi/adviser/route16', '/home/pi/adviser/route14', '/home/pi/adviser/route27', '/home/pi/adviser/route8', '/home/pi/adviser/route5', '/home/pi/adviser/route15', '/home/pi/adviser/route28', '/home/pi/adviser/route7', '/home/pi/adviser/route24', '/home/pi/adviser/route4', '/home/pi/adviser/route31', '/home/pi/adviser/route10', '/home/pi/adviser/route20', '/home/pi/adviser/route19', '/home/pi/adviser/route30', '/home/pi/adviser/route29', '/home/pi/adviser/route21', '/home/pi/adviser/route25', '/home/pi/adviser/route26'];39.48444444444443;4.8;4.6;9.7;9.2;4.495647693923508;-1.420482855676044;4.806918727410274;135.44980842912165;-3.1333807887457636;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1670.0;19.0;53.7332351;86.8422271;212.0;;77.6;20.329095659033957;422.1;-0.0540430304884266;-1.0084633425104517;-0.0683185479759355;Груженный движется вперед;95;7530G;240;1825.0;89.0;100.0;792.4;27.7;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.47409326424871;/home/pi/adviser/route16;['/home/pi/adviser/route16', '/home/pi/adviser/route28', '/home/pi/adviser/route8', '/home/pi/adviser/route24', '/home/pi/adviser/route5', '/home/pi/adviser/route14', '/home/pi/adviser/route7', '/home/pi/adviser/route27', '/home/pi/adviser/route15', '/home/pi/adviser/route29', '/home/pi/adviser/route21', '/home/pi/adviser/route20', '/home/pi/adviser/route31', '/home/pi/adviser/route19', '/home/pi/adviser/route4', '/home/pi/adviser/route30', '/home/pi/adviser/route10', '/home/pi/adviser/route25', '/home/pi/adviser/route26'];39.95344444444443;5.0;4.9;9.6;9.1;3.8700560405173743;-1.3103441152021476;4.866678491347693;137.33180076628642;3.1415901318732233;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1693.0;20.0;53.7332351;86.8418687;213.0;;78.0;23.601238169058508;417.55;-0.003059039461609;-1.012542061792597;-0.0734169470786173;Груженный движется вперед;95;7530G;240;1826.0;89.0;100.0;792.2545454545455;27.80909090909091;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.48445595854922;/home/pi/adviser/route16;['/home/pi/adviser/route16', '/home/pi/adviser/route28', '/home/pi/adviser/route7', '/home/pi/adviser/route24', '/home/pi/adviser/route14', '/home/pi/adviser/route8', '/home/pi/adviser/route21', '/home/pi/adviser/route30', '/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route10', '/home/pi/adviser/route4', '/home/pi/adviser/route20', '/home/pi/adviser/route15', '/home/pi/adviser/route27', '/home/pi/adviser/route19', '/home/pi/adviser/route5', '/home/pi/adviser/route25', '/home/pi/adviser/route26'];40.41738888888887;5.3;4.9;9.1;9.8;4.147100450662195;-1.21655483138622;4.777085635178422;139.2099616858267;3.022454302778838;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
1715.0;20.0;53.7332588;86.841534;212.0;;78.0;22.19789278897468;420.85;-0.0418068726419904;-1.009483022330988;-0.0805547058223717;Груженный движется вперед;95;7530G;240;1825.0;90.0;100.0;792.1090909090909;27.918181818181818;796.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.494818652849744;/home/pi/adviser/route16;['/home/pi/adviser/route16', '/home/pi/adviser/route30', '/home/pi/adviser/route24', '/home/pi/adviser/route14', '/home/pi/adviser/route28', '/home/pi/adviser/route21', '/home/pi/adviser/route20', '/home/pi/adviser/route29', '/home/pi/adviser/route15', '/home/pi/adviser/route31', '/home/pi/adviser/route10', '/home/pi/adviser/route5', '/home/pi/adviser/route4', '/home/pi/adviser/route27', '/home/pi/adviser/route7', '/home/pi/adviser/route8', '/home/pi/adviser/route19', '/home/pi/adviser/route26', '/home/pi/adviser/route25'];41.00190277777776;5.1;5.3;9.6;10.1;4.558528706421132;-1.226183066953912;4.7792194047164065;141.02681992337463;3.077037970325674;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;1
