;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;7.0;53.7278051;86.8537443;198.0;-3.0514550004282595;1.5604784729993768;-0.014285714285711744;;88.0;0.0;15.75;0.113184460079535;-1.0074436626899153;0.0540430304884266;Груженный движется вперед;95;7530G;240;720.0;10.0;21.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.0175;7.2;8.3;6.4;15.3;-2.237941038282784;-0.5457688493525796;0;7.4;7.4;11.1;16.095;point_30%;1;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
1;9.0;9.0;53.7277645;86.8538573;195.0;-2.1493564127239027;0.11512400528850608;0.057142857142858154;;88.0;8.707100986853156;154.275;-0.0418068726419904;-1.0043846232283062;0.037728153359845;Груженный движется вперед;95;7530G;240;1232.0;52.0;99.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.1889166666666666;6.9;11.2;14.2;12.3;-1.5614783487708155;-0.6135156127687269;0;7.4;10.73;11.1;16.095;point_30%;1;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
2;19.0;9.0;53.7277118;86.8539838;200.0;-2.2778116872447227;-1.0934574339806766;-0.08571428571428576;;88.8;10.18962249927528;41.65;-0.1458142143366982;-0.9890894259202612;0.0397675130009177;Груженный движется вперед;95;7530G;240;1300.0;15.0;23.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.2467638888888889;7.1;11.0;17.1;15.6;-1.0164916992032738;-0.5108606048822177;0;7.4;10.73;16.095;16.095;point_30%;1;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
3;31.0;12.0;53.7276608;86.8541376;208.0;2.8262815099607397;-2.083594085750137;0.25714285714285723;;88.8;11.61188848354738;168.4;-0.0112164780258998;-1.0533292546140511;-0.0520036708473539;Груженный движется вперед;95;7530G;240;1204.0;57.0;100.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.433875;6.1;8.7;12.4;13.0;-0.5907048325404598;-0.9422977817366518;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
4;43.0;13.0;53.7275689;86.8542505;203.0;1.6304317115530689;-2.8736141909618387;0.8285714285714288;;88.4;12.647159398372343;45.625;-0.0622004690527174;-1.0370143774854697;-0.0295707147955541;Груженный движется вперед;95;7530G;240;1306.5;14.0;15.5;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.4845694444444444;6.0;8.3;10.2;11.8;-0.2718414917426748;-1.1709679023060717;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
5;59.0;14.0;53.7274345;86.8543465;200.0;-1.9647436103203315;-3.4818459905577472;0.8285714285714288;;88.0;16.24268501079057;102.65;-0.0693382277964719;-1.0380340573060058;0.0356887937187723;Груженный движется вперед;95;7530G;240;839.5;49.0;100.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.598625;7.0;7.3;10.9;13.0;-0.04762541977022039;-1.529871081380381;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
6;78.0;14.0;53.7272669;86.8543581;203.0;0.9098797405458663;-3.926617725479827;0.17142857142857146;;88.0;18.673097890278942;142.65;0.0305903946160905;-1.026817579280106;-0.0163148771285816;Груженный движется вперед;95;7530G;240;1058.0;54.0;100.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.79675;4.6;10.4;11.0;10.6;0.09421964041660225;-1.7570037433317691;0;7.4;10.73;11.1;11.1;point_30%;2;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
7;99.0;14.0;53.7270791;86.8542983;206.0;1.941423479506817;-4.226257636670043;0.17142857142857146;;87.6;21.273905477326043;73.25;-0.046395431834404;-1.0217191801774244;-0.0346691138982359;Груженный движется вперед;95;7530G;240;986.0;30.0;50.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.8781388888888888;5.4;8.2;9.8;11.0;0.16596994585749192;-1.9162361929958127;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
8;115.0;17.0;53.7269484;86.8542188;200.0;-1.4305218091604741;-4.39909396507036;0.7428571428571431;;88.0;15.46316245860641;21.425;-0.0469052717446721;-0.9992862241256244;0.0249821556031406;Груженный движется вперед;95;7530G;240;1338.5;8.0;10.5;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.9019444444444444;7.4;7.3;8.5;14.0;0.17990175359214655;-2.105043558061178;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
9;135.0;21.0;53.7267956;86.854066;202.0;-0.121263172197338;-4.463454951622744;1.1714285714285717;;88.4;19.763960206260663;41.3;-0.0764759865402263;-0.9605383909452432;0.0020393596410727;Груженный движется вперед;95;7530G;240;1322.5;13.0;19.5;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.9478333333333332;7.3;7.3;9.7;13.1;0.14829132066026585;-2.1662286407326015;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
10;158.0;20.0;53.7266191;86.8538639;202.0;-2.1095132333158224;-4.437668837269102;0.8285714285714288;;88.8;23.73240607625018;40.625;-0.0713775874375446;-0.9523809523809524;0.0351789538085041;Груженный движется вперед;95;7530G;240;1299.0;15.0;23.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;0.992972222222222;7.1;9.8;10.9;9.3;0.08341490410154814;-2.3664418543990453;0;7.4;10.73;11.1;11.1;point_30%;3;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
11;181.0;20.0;53.7264779;86.8536203;200.0;-2.148460162996661;-4.166849836048147;0.0;;89.2;22.46072615076442;40.15;-0.1967982053635158;-0.9584990313041704;0.0367084735393086;Груженный движется вперед;95;7530G;240;1299.0;15.0;23.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;1.037583333333333;7.7;7.2;14.4;9.5;-0.23799326937970833;-2.820953828774563;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;20.0;0;1;[53.72683896754347, 86.85324075618024];47.33374870380617;0;0;0.0;0.0
12;203.0;18.0;53.7264153;86.8533017;200.0;-0.17480524302032827;-4.217722524681608;-0.8285714285714288;;90.0;22.11062967039834;40.7;-0.1040073416947078;-0.9972468644845518;0.003059039461609;Груженный движется вперед;95;7530G;240;1290.0;14.0;22.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;1.0828055555555554;7.3;7.9;11.5;9.1;-0.5666825273571673;2.9927769653302194;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;20.0;0;1;-;0.0;0;0;0.0;0.0
13;225.0;18.0;53.7264445;86.8529725;203.0;0.4008392557520701;-4.592654950936048;-1.1714285714285717;;90.0;21.924191259986294;195.175;-0.0112164780258998;-1.02018966044662;-0.0071377587437544;Груженный движется вперед;95;7530G;240;1284.5;62.0;100.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;1.4623125;5.0;8.7;9.3;11.3;-0.6611165902196974;2.476918594510038;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;20.0;0;1;-;0.0;0;0;0.0;0.0
14;273.0;24.0;53.7267121;86.8523953;202.0;0.8108774772232868;-4.200031063157412;-0.7428571428571431;;89.2;48.29706289632811;146.2;-0.0805547058223717;-1.0054043030488429;-0.0142755174875089;Груженный движется вперед;95;7530G;240;1057.5;56.0;99.5;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;1.8278125;6.4;6.3;10.9;11.7;-0.4197270557189582;2.0953091737262843;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
15;331.0;26.0;53.7271651;86.8519523;203.0;0.11795751181142969;-3.813333695060533;-0.25714285714285723;;88.8;58.26078803355953;28.65;-0.0305903946160905;-0.9901091057407974;-0.0020393596410727;Груженный движется вперед;95;7530G;240;1304.0;11.0;16.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;1.8596458333333328;5.9;8.2;10.3;10.9;0.10202314787863072;2.1534247906514885;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
16;360.0;24.0;53.7273831;86.8517095;206.0;0.754368936793261;-3.516486467156041;0.08571428571428576;;88.8;29.0629057324928;166.14999999999998;-0.0520036708473539;-1.0054043030488429;-0.0132558376669725;Груженный движется вперед;95;7530G;240;1204.0;56.5;99.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;2.0442569444444443;6.7;7.7;9.5;10.3;0.30190563438272455;2.175632568048136;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
17;388.0;25.0;53.7275838;86.851475;203.0;0.691292118390335;-2.853828778803351;0.0;;88.8;27.16065554158696;142.72500000000002;-0.0723972672580809;-1.011522381972061;-0.0122361578464362;Груженный движется вперед;95;7530G;240;1100.0;55.0;99.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;2.202840277777778;6.4;6.6;8.9;10.5;0.6783751999983687;2.1359034969454953;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
18;425.0;26.0;53.727868;86.8511704;206.0;0.6746467670209731;-2.2892207259682236;0.08571428571428576;;88.8;37.46170350877188;144.95;-0.0173345569491179;-0.9523809523809524;-0.0112164780258998;Груженный движется вперед;95;7530G;240;1117.0;53.0;100.0;;;788.0;33.0;856.0;44.0;848.0;42.0;12.0;42.0;828.0;45.0;2.3638958333333333;7.2;8.6;13.5;14.3;1.1939270296214743;2.087084648315969;0;7.4;7.4;11.1;11.1;-;0;7.4;11.1;0.0;0;0;-;0.0;0;0;0.0;0.0
