vel;vel_std;acc_Y_max;acc_Y_std;acc_Y_var;acc;acc_max;acc_std;acc_var;fb_tilt_max;fb_tilt_std;tilt_max;tilt_std;hole;lat;lon
5.0;3.6953424138441564;1.7761749777683633;2.075206004703159;4.306479961956047;5.616048148858415;5.616048148858415;1.1865126729460795;1.4078123230616502;-0.9299479963291526;0.035636800731283655;0.0978892627714897;0.04831460637013131;0;53.72753464;86.85422392000001
6.0;3.6953424138441564;1.7761749777683633;2.075206004703159;4.306479961956047;2.360239197768825;5.616048148858415;1.1865126729460795;1.4078123230616502;-0.9299479963291526;0.035636800731283655;0.0978892627714897;0.04831460637013131;1;53.72753464;86.85422392000001
5.0;3.6953424138441564;1.7761749777683633;2.075206004703159;4.306479961956047;2.0498186713819813;5.616048148858415;1.1865126729460795;1.4078123230616502;-0.9299479963291526;0.035636800731283655;0.0978892627714897;0.04831460637013131;0;53.72753464;86.85422392000001
7.0;3.6953424138441564;1.7761749777683633;2.075206004703159;4.306479961956047;2.6986813622401713;5.616048148858415;1.1865126729460795;1.4078123230616502;-0.9299479963291526;0.035636800731283655;0.0978892627714897;0.04831460637013131;0;53.72753464;86.85422392000001
7.0;3.6953424138441564;1.7761749777683633;2.075206004703159;4.306479961956047;3.840600041124745;5.616048148858415;1.1865126729460795;1.4078123230616502;-0.9299479963291526;0.035636800731283655;0.0978892627714897;0.04831460637013131;0;53.72753464;86.85422392000001
9.0;3.6953424138441564;1.7761749777683633;2.075206004703159;4.306479961956047;4.01492508124167;5.616048148858415;1.1865126729460795;1.4078123230616502;-0.9299479963291526;0.035636800731283655;0.0978892627714897;0.04831460637013131;0;53.72753464;86.85422392000001
12.0;3.8137179293236207;0.3118008363913618;1.5752217021508228;2.4813234109269358;4.6086262365135315;5.26539543300484;1.0753543280599918;1.1563869308773562;-0.9299479963291526;0.03442986323237358;0.0428265524625267;0.035602258803972706;0;53.72745904999999;86.85429425
11.0;4.24394994210713;-0.9076107165770289;1.1381579798467136;1.2954035870887521;4.019501233820487;5.26539543300484;0.9550371833380156;0.9120960215582105;-0.9299479963291526;0.0341006301067865;0.0428265524625267;0.036600682409887;1;53.727368209999995;86.85433653
14.0;4.4171383395939845;-1.901460720624604;0.7686621463831039;0.5908414952822804;5.26539543300484;5.26539543300484;0.675546216424166;0.4563626905250062;-0.9299479963291526;0.03392877240657465;0.0428265524625267;0.03541240997168856;1;53.72726623999999;86.85434208000001
15.0;4.2946995755750415;-2.689150215239155;0.47945940327850217;0.22988131939217737;4.2168356739804445;5.26539543300484;0.44883565795637687;0.20145344785313374;-0.9299479963291526;0.03147804437467615;0.0509839910268175;0.0400181570001471;0;53.72715187;86.85430963
15.0;3.7653389990514494;-3.2900802399084794;0.28376559129955115;0.08052291080558391;4.794590472817655;5.26539543300484;0.4081986596151474;0.16662614571160297;-0.9299479963291526;0.03220943868503774;0.0509839910268175;0.039160219055946285;0;53.72703185;86.85423569
18.0;3.1428932176861766;-3.708021305870069;0.19573418871366816;0.03831187263139786;4.2099363696214915;5.26539543300484;0.40052018018814384;0.1604164147379432;-0.9299479963291526;0.034145996968921934;0.0591414295911083;0.03971431462420184;0;53.726918850000004;86.85412269
20.0;2.8362729848243506;-3.5421844002492997;0.22741613977535516;0.05171810063032388;4.1253901187779265;5.26539543300484;0.48082787283170947;0.23119544329186656;-0.9299479963291526;0.03202021945572761;0.0591414295911083;0.033975898914267645;0;53.72682109;86.85397885
19.0;2.2010098692292197;-3.4271428217450275;0.28062760738327824;0.07875185402566337;4.741354385373166;5.26539543300484;0.5443569824101786;0.2963245242987155;-0.9299479963291526;0.031468317117951713;0.0591414295911083;0.035143222238404305;1;53.72674893;86.85380429
19.0;2.0439612955674473;-3.3474939539067217;0.31143131896407455;0.09698946643170316;4.57012876356944;4.928613518241461;0.5159829910747938;0.26623844707849076;-0.9299479963291526;0.031017938333978666;0.0591414295911083;0.02712472904706051;1;53.726705960000004;86.8536026
18.0;2.0110804171997763;-3.343063925118706;0.30955821672205236;0.09582628954013712;4.928613518241461;4.928613518241461;0.5580291662106095;0.31139655034170804;-0.9809319873559702;0.020613343122336092;0.0591414295911083;0.029883993786162483;1;53.726696430000004;86.85337035
15.0;2.0976176963402997;-3.3272409288998306;0.2898224866259588;0.08399707375405406;3.6973131527959193;4.928613518241461;0.5592596400200677;0.3127713449553757;-0.9809319873559702;0.02251520364593879;0.0591414295911083;0.030243292072808972;0;53.726718819999995;86.85312394
19.0;2.943920288775948;-3.3272409288998306;0.257609461661502;0.06636263473752887;3.5634385667654858;4.928613518241461;0.5714630298993089;0.3265699945416984;-0.9809319873559702;0.022304095993713177;0.0591414295911083;0.03198109436507404;0;53.72677513;86.85287049
20.0;3.34165627596057;-3.3272409288998306;0.2323832625424205;0.05400198070985954;3.5419768803321254;4.928613518241461;0.5792704708986409;0.33555427845513314;-0.9809319873559702;0.02215441982322607;0.0591414295911083;0.0324782651617454;0;53.72686331;86.85261306999999
21.0;3.573047252229764;-3.3272409288998306;0.22535299823332058;0.05078397381274699;3.568968619060328;4.928613518241461;0.5060418671128917;0.25607837127110156;-0.9809319873559702;0.02216901602130938;0.0591414295911083;0.028388770514770807;0;53.72698744;86.85236344
23.0;3.6832956257496723;-3.3272409288998306;0.13122392811025116;0.017219719308684364;3.405980214127724;4.928613518241461;0.43479102826387267;0.1890432382587557;-0.9666564698684612;0.026620609565244476;0.0591414295911083;0.025184749847535215;0;53.72714196;86.85212372
