;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;11.0;53.7283453;86.8522109;211.0;3.753639608188521;-0.7419553817436254;2.7246852764094047;;95.2;0.0;419.675;-0.061180789232181;-1.0706638115631693;-0.0703579076170082;Груженный движется вперед;95;7530G;240;1747.0;98.0;100.0;796.0;30.0;796.0;29.0;864.0;46.0;876.0;42.0;24.0;46.0;876.0;47.0;0.3497291666666667;4.9;7.0;13.2;7.7;3.222507811553644;2.4244376050449503;0;5.9;5.9;14.355;9.9;point_60%;1;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
1;12.0;12.0;53.728415;86.8520758;211.0;3.6634991636610232;-1.1100715972852453;1.595890699338972;;95.2;11.80553693153231;221.1625;-0.0122361578464361;-1.0191699806260834;-0.0652595085143264;Груженный движется вперед;95;7530G;240;1562.0;59.0;59.0;796.0;30.0;796.0;29.0;864.0;46.0;876.0;42.0;24.0;46.0;876.0;47.0;0.6568993055555556;6.7;6.9;8.8;15.7;2.6325997997324277;2.457038539924482;0;5.9;5.9;9.9;14.355;point_60%;1;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
2;28.0;14.0;53.7285067;86.8518859;208.0;0.18616322395787901;-1.4677665647516376;0.8535219569702348;;95.6;16.143825015402985;11.475;-0.0244723156928724;-0.9411644743550523;-0.003059039461609;Груженный движется вперед;95;7530G;240;1046.0;6.0;8.0;796.0;30.0;796.0;29.0;864.0353982300885;45.99557522123894;876.0;42.0;24.0;46.0;876.0;47.0;0.6696493055555557;6.2;6.6;10.1;10.8;2.1906009209269097;2.514506885256223;0;5.9;5.9;9.9;17.325;point_60%;1;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
3;44.0;9.0;53.7285912;86.8516888;213.0;1.6768685606124496;-1.8113799085424578;0.4750915750915814;;96.0;16.03080258110341;131.025;-0.0295707147955541;-0.974813908432752;-0.0285510349750178;Груженный движется вперед;95;7530G;240;1003.0;52.0;100.0;796.0;30.0;796.0;29.0;864.0825958702064;45.98967551622419;876.0;42.0;24.0;46.0;876.0;47.0;0.8152326388888891;10.0;3.5;6.2;16.3;1.8844131195319367;2.4923297322822284;0;10.325000000000001;5.9;9.9;17.325;point_60%;1;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
4;53.0;7.0;53.7286388;86.8515828;212.0;5.34558829162241;-2.137251253057361;0.4381120794913991;;95.6;8.76431918772063;324.04999999999995;0.0479249515652085;-0.968695829509534;-0.0907515040277353;Груженный движется вперед;95;7530G;240;1477.0;89.0;100.0;796.0;30.0;796.0;29.0;864.1297935103245;45.98377581120944;876.0;42.0;24.0;46.0;876.0;47.0;1.1752881944444449;2.5;6.2;11.9;10.2;1.7019383399423558;2.680573808804729;0;5.9;5.9;9.9;9.9;-;0;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
5;63.0;12.0;53.7286795;86.8514443;210.0;0.8622720608597663;-2.4417202226960018;0.7200959959580766;;95.6;10.184733583037811;26.375;-0.0193739165901906;-0.948302233098807;-0.0142755174875089;Груженный движется вперед;95;7530G;240;1288.0;10.0;10.0;796.0;30.0;796.0;29.0;864.1769911504425;45.977876106194685;876.0;42.0;24.0;46.0;876.0;47.0;1.20459375;6.0;7.2;9.4;11.5;1.6310785265530137;2.926238060503027;0;5.9;5.9;9.9;9.9;-;0;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
6;77.0;12.0;53.7287059;86.8512403;210.0;-3.0578369952059172;-2.7211264418580363;1.29855585028;;96.4;13.752869756775574;43.825;-0.0744366268991536;-0.8748852860201897;0.0469052717446721;Груженный движется вперед;95;7530G;240;1301.0;16.0;24.0;796.0;30.0;796.0;29.0;864.2241887905604;45.97197640117994;876.0;42.0;24.0;46.0;876.0;47.0;1.2532881944444445;9.1;10.3;12.3;12.6;1.659735623758758;3.081647670772379;0;8.555;8.555;9.9;9.9;point_30%;2;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
7;91.0;14.0;53.7287138;86.8510178;212.0;-0.2975035731524508;-2.97180953494312;2.15100416824556;;97.2;14.679939771957612;140.25000000000003;-0.0622004690527174;-0.979912307535434;0.0050983991026817;Груженный движется вперед;95;7530G;240;1256.0;43.0;61.75000000000001;796.0;30.0;796.0;29.0;864.2713864306784;45.96607669616519;876.0;42.0;24.0;46.0;876.0;47.0;1.4091215277777778;7.4;8.2;13.2;10.3;1.7758115759544344;3.0400410539500298;0;8.555;8.555;14.355;9.9;point_30%;2;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
8;106.0;16.0;53.7287269;86.8508005;211.0;1.7593165226989398;-3.190109126350907;3.254953475643143;;97.6;14.38521391678157;236.675;-0.1213418986438258;-1.055368614255124;-0.0326297542571632;Груженный движется вперед;95;7530G;240;1350.0;70.0;99.5;796.0;30.0;796.0;29.0;864.3185840707965;45.96017699115045;876.0;42.0;24.0;46.0;876.0;47.0;1.67209375;8.8;7.2;12.7;10.9;1.9672083275348902;2.837582518388391;0;8.555;5.9;9.9;9.9;point_30%;2;5.9;9.9;0;0;0;-;0;0;0;0.0;0.0
9;125.0;15.0;53.728779;86.8505198;213.0;5.204919876554355;-3.372364840481054;4.587916298261138;;97.2;19.37498744588522;438.0;-0.0127459977567043;-0.962577750586316;-0.0876924645661262;Груженный движется вперед;95;7530G;240;1805.5;97.0;100.0;796.0;30.0;796.0;29.0;864.3657817109145;45.95427728613569;876.0;42.0;24.0;46.0;876.0;47.0;2.1587604166666665;4.6;4.8;9.7;10.4;2.221827822894972;2.42479095332879;0;5.9;5.9;9.9;9.9;-;0;5.9;9.9;0;0;0;-;0;0;0;0.0;15.0
