;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;11.0;53.7254868;86.8442324;227.0;3.3935553056992545;0.04531323885388528;0.6642948367086359;;43.2;0.0;52.475;-0.0448659121035994;-1.0135617416131335;-0.0601611094116447;Груженный движется вперед;95;7530G;240;1182.0;17.0;21.0;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;0.0583055555555555;6.8;5.3;13.1;9.6;3.8511635401816307;-1.768133251801244;0;5.8;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
1;13.0;13.0;53.7253708;86.8441932;226.0;4.921328171654738;-1.7399115101868463;1.3028784752922733;;43.6;13.168857785025931;71.8;0.0183542367696543;-1.006423982869379;-0.0866727847455898;Груженный движется вперед;95;7530G;240;929.0;30.0;54.0;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;0.1181388888888888;6.2;6.4;12.8;10.8;3.361077550348729;-1.6569380372980387;0;5.8;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
2;27.0;12.0;53.7252509;86.8441757;224.0;2.8933651664661095;-3.2071112811597025;1.9407631959356137;;43.6;13.397107993534872;135.575;-0.1029876618741715;-1.023758539818497;-0.0520036708473539;Груженный движется вперед;95;7530G;240;1018.0;53.0;100.0;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;0.2687777777777778;6.7;6.9;14.9;10.4;2.9664469939933076;-1.8088571089761882;0;5.8;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
3;41.0;12.0;53.7251207;86.8441223;227.0;0.8157890734035643;-4.379235729211781;2.5844427603048326;;44.0;14.914678919728392;190.6375;-0.0132558376669725;-0.9666564698684612;-0.0137656775772407;Груженный движется вперед;95;7530G;240;1209.0;63.5;100.0;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;0.5335520833333334;6.4;7.3;11.8;11.9;2.6599544830721764;-1.8055311080323295;0;5.8;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
4;56.0;12.0;53.7249918;86.8440702;229.0;3.201276421094534;-5.27923450949018;3.240410930066105;;43.6;14.753935085131708;245.7;-0.0815743856429081;-1.026817579280106;-0.0576119098603038;Груженный движется вперед;95;7530G;240;1338.0;74.0;100.0;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;0.8065520833333333;5.3;5.6;15.6;8.2;2.4342826295421442;-2.1050631655721657;0;5.8;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
5;68.0;10.0;53.7249031;86.8439815;227.0;2.2876311631439012;-5.930057277141995;3.915161466885606;;43.6;11.47306331869484;210.15;-0.023452635872336;-0.9952075048434792;-0.0397675130009177;Груженный движется вперед;95;7530G;240;1371.0;62.0;72.5;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;1.0984270833333332;5.2;6.1;12.6;10.1;2.2821140453600206;-2.105064381476056;0;5.8;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
6;82.0;12.0;53.7247906;86.843869;227.0;3.6703181412071717;-6.354653687314325;4.615188132429513;;43.2;14.551526764668228;199.6;-0.1631487712858162;-0.9880697460997246;-0.0642398286937901;Груженный движется вперед;95;7530G;240;1217.5;58.0;74.0;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;1.3756493055555554;7.8;4.6;12.5;9.7;2.1961313424826145;-2.165461307829735;0;8.41;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
7;106.0;13.0;53.7246117;86.8436645;225.0;-0.33318617675402773;-6.575973395154268;5.346984688363999;;45.2;24.04262175144411;105.775;-0.2049556439278066;-1.0319159783827878;0.0061180789232181;Груженный движется вперед;95;7530G;240;807.0;49.0;100.0;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;1.493177083333333;7.8;5.1;14.1;6.3;2.1690171328667356;-2.214791860471023;0;8.41;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
8;120.0;10.0;53.7245165;86.8435437;224.0;2.9148306779747117;-6.616966055808921;6.1170448963552415;;45.2;13.252151025794133;255.1375;-0.1172631793616804;-1.01458142143367;-0.0520036708473538;Груженный движется вперед;95;7530G;240;1376.0;75.0;99.5;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;1.91840625;6.3;5.0;14.0;7.9;2.1934540284691932;-2.6485065831866645;0;5.8;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
9;136.0;10.0;53.7244449;86.8433185;221.0;1.7934791988358478;-6.5005813244253785;6.931862518069415;;45.2;16.838796921979238;238.65;-0.1396961354134801;-0.9997960640358928;-0.0316100744366269;Груженный движется вперед;95;7530G;240;1300.0;74.0;99.0;812.0;28.0;808.0;28.0;892.0;49.0;892.0;42.0;24.0;46.0;896.0;51.0;2.1835729166666664;6.3;4.8;11.8;6.3;2.262124641246796;-3.130661878068211;0;5.8;5.8;14.355;9.9;point_30%;1;5.8;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
