;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;11.0;53.7251932;86.8441692;205.0;4.795801035580017;-4.356142269899474;1.382411968618859;;62.0;0.0;407.1;-0.1040073416947078;-1.015601101254206;-0.0856531049250535;Груженный движется вперед;95;7530G;240;1717.0;97.0;100.0;808.0;31.0;804.0;30.0;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;0.4523333333333333;5.6;7.3;16.0;12.9;2.597937097899728;-1.7159433533387198;0;6.2;6.2;14.79;10.2;point_60%;1;6.2;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
1;15.0;13.0;53.7250572;86.8441356;206.0;1.7179039484845746;-5.301393825245256;1.0659200314372714;;62.0;15.30059770394576;296.2;-0.023452635872336;-1.0196798205363515;-0.0305903946160905;Груженный движется вперед;95;7530G;240;1434.0;84.5;100.0;808.0;31.0;804.0;30.0;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;0.8637222222222223;5.4;6.4;13.7;7.8;2.63207945845382;-1.5361504231066432;0;6.2;6.2;14.79;10.2;point_60%;1;6.2;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
2;31.0;14.0;53.7249121;86.8441441;206.0;3.267674756900598;-6.010601864177111;1.0014427462703352;;62.0;16.162430813087244;189.325;-0.1641684511063526;-1.058937493627001;-0.061180789232181;Груженный движется вперед;95;7530G;240;1499.5;33.0;39.5;808.0;31.0;804.0;30.0;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;1.0740833333333333;6.6;5.9;18.7;7.7;2.6752589158533593;-1.6700411324583855;0;6.2;6.2;17.849999999999998;10.2;point_60%;1;6.2;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
3;49.0;14.0;53.7247582;86.8441182;205.0;-0.0546297382095679;-6.5032458913459585;1.1752263062607953;;62.8;17.2170799298093;98.525;-0.0418068726419904;-1.0686244519220964;0.0010196798205363;Груженный движется вперед;95;7530G;240;822.0;46.0;100.0;808.0;31.0;804.0;30.0;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;1.1835555555555557;9.4;8.0;14.0;12.3;2.72640189368765;-2.10506609495095;0;8.99;6.2;17.849999999999998;10.2;point_60%;1;6.2;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
4;65.0;14.0;53.7246291;86.8439891;209.0;2.1443288581501987;-6.798805411402723;1.5735169045513964;;62.8;16.698701155101688;157.625;-0.15091261343938;-0.968695829509534;-0.0367084735393086;Груженный движется вперед;95;7530G;240;1145.0;56.0;100.0;808.0;31.0;804.0;30.0;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;1.3586944444444444;9.9;5.9;18.9;4.6;2.784434815545996;-2.292087969512273;0;8.99;6.2;17.849999999999998;10.2;point_60%;1;6.2;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
5;81.0;16.0;53.7245238;86.8438326;209.0;3.5823992305715535;-6.916759928998324;2.182560734284883;;62.8;15.609662752809468;382.55;-0.113184460079535;-0.9870500662791885;-0.0622004690527174;Груженный движется вперед;95;7530G;240;1611.5;98.0;100.0;808.0;31.0;804.0;30.0;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;1.78375;6.4;5.1;16.7;8.0;2.8482841050177017;-2.4436193762571357;0;8.99;6.2;17.849999999999998;10.2;point_60%;1;6.2;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
6;98.0;17.0;53.7244229;86.8436293;206.0;1.9368043338623875;-6.8765889487836835;2.9886039886040017;;63.2;17.47766869253071;187.75;-0.1611094116447435;-0.951361272560416;-0.0326297542571632;Груженный движется вперед;95;7530G;240;1207.0;62.0;100.0;808.0;31.0;804.0;30.0;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;1.940208333333333;8.2;3.6;12.3;9.2;2.916876185692071;-2.7944925786475947;0;8.99;6.2;14.79;10.2;point_60%;1;6.2;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
7;114.0;13.0;53.7243741;86.8434013;202.0;3.7703349795049284;-6.697771975409724;3.9778928606514956;;63.2;15.969729760585745;381.3;-0.1672274905679616;-1.0074436626899157;-0.0672988681553992;Груженный движется вперед;95;7530G;240;1637.0;97.0;100.0;808.0;31.0;804.0;30.0;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;2.363875;6.4;4.1;15.5;5.6;2.9891374811584077;2.845850344008811;0;6.2;6.2;14.79;10.2;point_60%;1;6.2;10.2;13.0;0;1;[53.72456480312697, 86.84338098618734];21.271539511519514;0;0;0.0;0.0
8;129.0;10.0;53.7244132;86.8431844;199.0;1.5435954315886062;-6.399788513527367;5.136673543570111;;63.2;14.934593902026087;358.5;-0.1284796573875803;-1.0135617416131335;-0.0275313551544814;Груженный движется вперед;95;7530G;240;1566.0;95.0;100.0;808.0;31.0;804.0;30.06;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;2.861791666666667;6.0;7.0;13.9;4.9;3.063994415006016;2.135222325695077;0;6.2;6.2;14.79;10.2;point_60%;1;6.2;10.2;13.0;0;1;-;0.0;0;0;0.0;0.0
9;144.0;13.0;53.7245245;86.8430653;198.0;3.7235936862066406;-6.002118067787533;6.451192230502592;;62.8;14.664619983309423;386.05;-0.1345977363107984;-1.009483022330988;-0.0662791883348628;Груженный движется вперед;95;7530G;240;1834.0;81.0;100.0;808.0;31.0;804.0;30.14;884.0;51.0;888.0;47.0;28.0;50.0;888.0;52.0;3.2907361111111118;6.3;4.5;15.4;6.7;3.1403734108242003;1.4598243230126875;0;6.2;6.2;14.79;10.2;point_60%;1;6.2;10.2;13.0;0;1;-;0.0;0;0;0.0;0.0
