len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max;isin_border
3819.0;35.0;53.7481355;86.8387467;204.0;2368.0;83.2;52.2061218162585;41.85;-0.0152951973080452;-0.9890894259202612;-0.0005098399102681;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;25.0;863.2203389830509;43.610169491525426;873.5294117647059;38.76470588235294;24.0;41.0;869.1854545454546;44.29636363636364;/home/pi/adviser/route4;['/home/pi/adviser/route4', '/home/pi/adviser/route5', '/home/pi/adviser/route26', '/home/pi/adviser/route16', '/home/pi/adviser/route3', '/home/pi/adviser/route24', '/home/pi/adviser/route31'];57.66484375;6.2;7.4;11.5;8.3;0.02953037372176954;-0.9754957324307483;-1.179286084920523;171.72950191571243;0.9317156260359793;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
3860.0;35.0;53.7484347;86.8391227;203.0;2368.0;82.8;41.497106663812474;52.45;0.0101967982053635;-0.9901091057407974;0.0071377587437544;Груженный движется вперед;95;7530G;240;1294.0;18.0;30.0;792.0;30.0;796.0;25.0;863.0847457627119;43.54237288135593;873.3725490196078;38.68627450980392;24.0;41.0;869.1563636363636;44.28909090909091;/home/pi/adviser/route16;['/home/pi/adviser/route16', '/home/pi/adviser/route4', '/home/pi/adviser/route26', '/home/pi/adviser/route24', '/home/pi/adviser/route3', '/home/pi/adviser/route31', '/home/pi/adviser/route5'];57.70855208333334;6.4;7.3;10.4;9.7;-0.41301981709318414;-0.8555155349438383;-1.2117769185801401;170.77241379310703;0.8540385623356614;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
3900.0;35.0;53.748705;86.839521;202.0;2368.0;83.2;39.910676121197454;39.95;-0.0326297542571632;-1.0257978994595698;0.0020393596410727;Груженный движется вперед;95;7530G;240;1302.0;14.0;23.0;792.0;30.0;796.0;25.0;862.9491525423729;43.47457627118644;873.2156862745098;38.6078431372549;24.0;41.0;869.1272727272727;44.28181818181818;/home/pi/adviser/route5;['/home/pi/adviser/route5', '/home/pi/adviser/route4', '/home/pi/adviser/route16', '/home/pi/adviser/route24', '/home/pi/adviser/route26', '/home/pi/adviser/route31', '/home/pi/adviser/route3'];57.75294097222223;6.7;6.7;10.3;8.7;-0.11385037686547923;-0.7242646785059462;-1.3289461561415505;169.84980842912236;0.9289377544458843;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
3941.0;34.0;53.7489959;86.8398887;203.0;2368.0;82.8;40.42956283559476;42.7;-0.0163148771285816;-0.9962271846640156;0.0224329560517997;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;25.0;862.8135593220338;43.40677966101695;873.0588235294117;38.529411764705884;24.0;41.0;869.0981818181818;44.27454545454545;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route5', '/home/pi/adviser/route31', '/home/pi/adviser/route4', '/home/pi/adviser/route3', '/home/pi/adviser/route26', '/home/pi/adviser/route16'];57.80038541666667;6.8;6.9;10.3;9.2;-1.2897904333681312;-0.4744143600642106;-1.298428800874176;168.87432950191925;0.9268707440113916;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
3980.0;35.0;53.7492809;86.8402505;202.0;2368.0;82.8;39.67094894825304;42.35;-0.0520036708473539;-0.9850107066381156;-0.0132558376669725;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;25.0;862.6779661016949;43.33898305084746;872.9019607843138;38.450980392156865;24.0;41.0;869.0690909090908;44.267272727272726;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route3', '/home/pi/adviser/route26', '/home/pi/adviser/route31', '/home/pi/adviser/route4', '/home/pi/adviser/route5', '/home/pi/adviser/route16'];57.87096875;7.4;6.7;10.5;9.1;0.7699425119046798;-0.6543978139870021;-1.2278813551402818;167.91724137931388;0.9788695333112477;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
4030.0;33.0;53.7496545;86.8406753;202.0;2368.0;82.8;50.11615395287548;42.575;-0.0071377587437544;-1.01458142143367;0.0316100744366268;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;25.0;862.542372881356;43.271186440677965;872.7450980392157;38.372549019607845;24.0;41.0;869.04;44.260000000000005;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route26', '/home/pi/adviser/route4', '/home/pi/adviser/route31', '/home/pi/adviser/route3', '/home/pi/adviser/route5', '/home/pi/adviser/route16'];57.918274305555556;6.7;7.6;9.7;9.5;-1.7844732565184174;-0.6592519583306491;-1.6016065118816962;167.03065134099967;0.9949855399403956;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
4065.0;32.0;53.749916;86.8409624;201.0;2368.0;82.8;34.707052189192105;42.224999999999994;-0.003059039461609049;-0.9982665443050882;0.0428265524625267;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;25.0;862.3389830508474;43.16949152542372;872.5098039215686;38.254901960784316;24.0;41.0;868.9963636363636;44.24909090909091;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route26', '/home/pi/adviser/route3', '/home/pi/adviser/route16', '/home/pi/adviser/route5', '/home/pi/adviser/route4', '/home/pi/adviser/route31'];57.97692013888889;7.6;7.1;10.1;9.5;-2.4565237575735464;-0.7077081736468447;-1.821654052877335;165.86513409962035;1.0970650774909845;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
4113.0;34.0;53.750301;86.8412962;201.0;2368.0;82.8;48.162847058526225;42.400000000000006;-0.0326297542571632;-1.0247782196390334;0.0326297542571632;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.973684210526315;862.1355932203389;43.067796610169495;872.2745098039215;38.13725490196079;24.0;41.0;868.9527272727273;44.238181818181815;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route26', '/home/pi/adviser/route16', '/home/pi/adviser/route5', '/home/pi/adviser/route31'];58.03580902777778;7.7;7.4;10.3;8.9;-1.8228039199489494;-1.0237173879685204;-1.9542082777844707;164.5111111111146;1.03679923932937;8.555;5.9;9.9;9.9;point_30%;5.9;9.9;6;0;0;0;-;0.0;0;0;0;0;1
4164.0;35.0;53.7506931;86.8416883;201.0;2368.0;82.8;50.70889990927502;42.7;-0.0040787192821454;-0.979912307535434;0.0591414295911083;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.93859649122807;862.0;43.0;872.1176470588235;38.05882352941177;24.0;41.0;868.9236363636363;44.230909090909094;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route26', '/home/pi/adviser/route31', '/home/pi/adviser/route16', '/home/pi/adviser/route5'];58.083253472222225;7.7;7.4;9.5;9.2;-3.453798513561413;-1.0325768343087354;-1.9364139472081026;163.02911877394982;1.1242928131891374;8.555;5.9;9.9;9.9;point_30%;5.9;9.9;6;0;0;0;-;0.0;0;0;0;0;1
4214.0;35.0;53.7510966;86.842015;202.0;2368.0;82.8;49.80054851375199;42.45;0.0112164780258998;-1.0196798205363515;0.0683185479759355;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.903508771929825;861.8644067796611;42.932203389830505;872.0;38.0;24.0;41.0;868.8945454545454;44.22363636363636;/home/pi/adviser/route4;['/home/pi/adviser/route4', '/home/pi/adviser/route3', '/home/pi/adviser/route31', '/home/pi/adviser/route16', '/home/pi/adviser/route26', '/home/pi/adviser/route24', '/home/pi/adviser/route5'];58.14221180555556;7.0;7.3;9.0;9.8;-3.8328573094372644;-1.3007524471423093;-1.9280448022737178;161.6130268199268;1.0075037875763106;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
