acc_X_std;acc_X_kurt;acc_X_var;acc_X_iqr;acc_Y_std;acc_Y_kurt;acc_Y_var;acc_Y_iqr;acc_Z_std;acc_Z_kurt;acc_Z_iqr;acc_Z_range;acc_std;acc_var;acc_iqr;acc_kurt;acc_cv;class
2.212268128264077;-0.10031513252473208;4.894130271333043;2.7598057730587984;0.397627366339021;-0.3030717643559222;0.158107522461706;0.5484143491011062;0.03816778720803495;0.46209816878063636;0.04614051187926993;0.13255837666972559;1.2576562547347951;1.5816992550735518;0.8631687429606871;1.4196330625218303;0.6645784797689451;0.0
2.212268128264077;-0.10031513252473208;4.894130271333043;2.7598057730587984;0.397627366339021;-0.3030717643559222;0.158107522461706;0.5484143491011062;0.03816778720803495;0.46209816878063636;0.04614051187926993;0.13255837666972559;1.2576562547347951;1.5816992550735518;0.8631687429606871;1.4196330625218303;0.6645784797689451;0.0
2.212268128264077;-0.10031513252473208;4.894130271333043;2.7598057730587984;0.397627366339021;-0.3030717643559222;0.158107522461706;0.5484143491011062;0.03816778720803495;0.46209816878063636;0.04614051187926993;0.13255837666972559;1.2576562547347951;1.5816992550735518;0.8631687429606871;1.4196330625218303;0.6645784797689451;30.0
2.212268128264077;-0.10031513252473208;4.894130271333043;2.7598057730587984;0.397627366339021;-0.3030717643559222;0.158107522461706;0.5484143491011062;0.03816778720803495;0.46209816878063636;0.04614051187926993;0.13255837666972559;1.2576562547347951;1.5816992550735518;0.8631687429606871;1.4196330625218303;0.6645784797689451;30.0
2.212268128264077;-0.10031513252473208;4.894130271333043;2.7598057730587984;0.397627366339021;-0.3030717643559222;0.158107522461706;0.5484143491011062;0.03816778720803495;0.46209816878063636;0.04614051187926993;0.13255837666972559;1.2576562547347951;1.5816992550735518;0.8631687429606871;1.4196330625218303;0.6645784797689451;30.0
2.212268128264077;-0.10031513252473208;4.894130271333043;2.7598057730587984;0.397627366339021;-0.3030717643559222;0.158107522461706;0.5484143491011062;0.03816778720803495;0.46209816878063636;0.04614051187926993;0.13255837666972559;1.2576562547347951;1.5816992550735518;0.8631687429606871;1.4196330625218303;0.6645784797689451;30.0
2.212268128264077;-0.10031513252473208;4.894130271333043;2.7598057730587984;0.397627366339021;-0.3030717643559222;0.158107522461706;0.5484143491011062;0.03816778720803495;0.46209816878063636;0.04614051187926993;0.13255837666972559;1.2576562547347951;1.5816992550735518;0.8631687429606871;1.4196330625218303;0.6645784797689451;0.0
2.1732860453294043;0.005487377515245523;4.7231722348235206;2.7598057730587984;0.48503832201106056;-0.8263528471696405;0.23526217381930525;0.7423413856829537;0.03985377926313941;0.3229025432212312;0.053023350667890254;0.13255837666972559;1.225829605511137;1.5026582217475897;0.6652286187810814;1.636511715144181;0.6298493705601734;0.0
2.171166059428216;-0.06663819510191236;4.713962057613048;2.7598057730587984;0.5606004836010852;-1.125886181082225;0.3142729022137706;0.9070860051446143;0.040037166497062855;0.18950027069108666;0.053023350667890254;0.13255837666972559;1.0899542375653435;1.1880002399866494;0.723425316246628;2.383608937863211;0.5185387798088528;0.0
2.155031641962688;0.14189307393433903;4.6441613778603985;2.4904673534733948;0.6106138953282448;-1.3763155440890797;0.3728493291679328;1.0063341742971081;0.04056255364446388;0.09252450632733118;0.05378811053329256;0.13255837666972559;1.0799816571849348;1.166360379855918;0.7034833920950732;2.4163182655310758;0.5082656302613665;0.0
1.9514477672279067;1.7788876940739897;3.8081483882187825;2.3059375772772843;0.6721841062227066;-1.1492076466242287;0.4518314726584189;1.0728877692744883;0.04053574646948576;0.04955431227519651;0.05378811053329256;0.13255837666972559;0.9959238561600295;0.9918643272686632;0.5193067431724039;5.595352538509697;0.49385489068901306;0.0
1.3982862455401894;-0.9609578211048908;1.9552044244668791;2.27225656822217;0.7308984386422055;-1.0036539781341705;0.5342125276096139;1.0926658426504519;0.03731403665773759;-0.9097796930946547;0.05378811053329256;0.1147139798103395;0.585162075841794;0.3424146550034775;0.5193067431724039;0.4518102517277694;0.3148648414144136;0.0
1.496695146874197;-1.3948990796976448;2.240096362676774;2.212772228863388;0.7293264512463337;-1.2915866438444847;0.5319170724875707;1.0963342933441693;0.03594639809500611;-0.06340196073341405;0.05429795044356071;0.1147139798103395;0.6570983198938676;0.4317782020073435;0.681926324281724;0.20824826557111528;0.3165994487402555;60.0
1.5495453516555122;-1.1457022313265157;2.401090796837205;2.212772228863388;0.6828942168211367;-1.3825147548515113;0.4663445113677536;1.175037243965062;0.036102298454062015;0.15239234538758903;0.05429795044356071;0.1147139798103395;0.8157045155966453;0.6653738567647577;0.681926324281724;0.6486298811615357;0.3778087489073272;60.0
1.9641453622525542;-0.254434529045983;3.857867004058217;2.4436549906559977;0.6145077094502958;-1.268071566896609;0.37761972497384905;0.9676200721864123;0.037032426457007335;0.8866021726995276;0.04435607219333129;0.1208320587335576;1.19063419059343;1.4176097758100719;1.318613956144096;1.455759891258786;0.4847520007444346;60.0
2.140886428105649;-1.1734972266304144;4.583394698046965;3.4057013946207806;0.5348214337227031;-0.992263501124193;0.28603396596920766;0.7587525587762016;0.03413294747953718;3.6169168416982846;0.02217803609666566;0.1208320587335576;1.2479625140232304;1.5574104364071815;1.770359134848229;-0.291409386161907;0.4615767388387802;0.0
