len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;remark;shtraf;isin_border
0.0;5.0;60.6415705;59.71046883333333;351.5;82.4850101553649;-4.976638684039164;99.0;;96.8;0.0;;0.091796875;1.052734375;0.095947265625;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route8;['/home/pi/adviser/route8', '/home/pi/adviser/route12', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route5', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route9', '/home/pi/adviser/route6'];631;0.0;;6.0;10.4;7.6;6.4;8.46540563838192;4.646672902596842;0.9178756774409312;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;4.646672902596842;up;0;0.01;1;0.0;1
2.0;6.0;60.641583;59.71048833333333;351.5;81.28439905012466;-4.332051524935521;99.0;;97.2;1.7518504480954649;;0.079345703125;1.0377197265625;0.1375732421875;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route8;['/home/pi/adviser/route8', '/home/pi/adviser/route12', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route5', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route9', '/home/pi/adviser/route6'];631;;;5.3;10.4;7.6;5.5;8.386913376984827;4.7128045298830274;0.8883947771047643;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;4.7128045298830274;up;0;0.01;1;0.0;1
3.0;6.0;60.64159516666667;59.7105085;351.4;83.24800658969184;-4.305281600102576;99.0;;96.8;1.7452381810111632;;0.0782470703125;1.0380859375;0.092529296875;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route8;['/home/pi/adviser/route8', '/home/pi/adviser/route12', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route5', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route9', '/home/pi/adviser/route6'];631;;;5.6;9.8;8.9;5.1;8.308421115587736;4.778936157169213;0.8869782786368063;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;4.778936157169213;up;0;0.01;1;0.0;1
5.0;8.0;60.641608;59.71052983333333;351.3;77.93863511586567;-5.786113469965784;99.0;;96.8;1.8429910069834392;;0.10400390625;1.017578125;0.1888427734375;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route8;['/home/pi/adviser/route8', '/home/pi/adviser/route12', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route2', '/home/pi/adviser/route5', '/home/pi/adviser/route1', '/home/pi/adviser/route9', '/home/pi/adviser/route6'];631;;;5.6;10.2;8.5;5.8;8.229928854190643;4.845067784455398;0.6331218839733086;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;4.845067784455398;up;0;0.01;1;0.0;1
8.0;9.0;60.64162083333333;59.7105655;351.5;78.42429338549533;-6.767734904533204;99.0;;97.2;2.4145862527171196;;0.125;1.0372314453125;0.1661376953125;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route8;['/home/pi/adviser/route8', '/home/pi/adviser/route12', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route7', '/home/pi/adviser/route4', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route5', '/home/pi/adviser/route9', '/home/pi/adviser/route6'];631;;;6.0;10.2;8.5;5.8;8.151436592793551;4.911199411741583;0.5206363826465621;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;4.911199411741583;up;0;0.01;1;0.0;1
10.0;11.0;60.6416325;59.710607;351.0;81.4419262616754;-2.74659390534266;99.0;;97.2;2.610908244124549;;0.0494384765625;1.039306640625;0.1470947265625;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route8;['/home/pi/adviser/route8', '/home/pi/adviser/route12', '/home/pi/adviser/route7', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route9', '/home/pi/adviser/route5', '/home/pi/adviser/route6'];631;;;6.0;8.0;7.7;5.6;8.072944331396458;4.977331039027768;0.20544953205989547;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;4.977331039027768;up;0;0.01;1;0.0;1
13.0;12.0;60.641638;59.710660833333336;349.9;76.57162173999195;-4.401121167441883;99.0;;96.8;3.0012107164246724;;0.078125;0.990234375;0.22314453125;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route8', '/home/pi/adviser/route12', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route9', '/home/pi/adviser/route5'];631;;;7.6;8.3;7.7;5.9;7.994452069999365;5.043462666313953;0.2730658947260116;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;5.043462666313953;up;0;0.01;1;0.0;1
17.0;13.0;60.64164683333333;59.71072516666667;349.9;79.76366413297742;-3.0265911276137034;99.0;;96.8;3.6462559701953023;;0.052978515625;1.02734375;0.202392578125;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route12', '/home/pi/adviser/route8', '/home/pi/adviser/route10', '/home/pi/adviser/route2', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route9', '/home/pi/adviser/route5'];631;;;8.1;9.2;8.4;5.9;7.915959808602273;5.109594293600138;0.019563413218325998;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;5.109594293600138;up;0;0.01;1;0.0;1
21.0;14.0;60.6416475;59.710794666666665;349.8;81.92833368254657;-2.689573593624832;99.0;;96.8;3.7938670958152025;;0.0439453125;1.05126953125;0.116943359375;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route12', '/home/pi/adviser/route8', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route6', '/home/pi/adviser/route9', '/home/pi/adviser/route5'];631;;;8.1;10.4;9.2;5.3;7.837467547205181;5.1757259208863236;-0.02286194061238378;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;5.1757259208863236;up;0;0.01;1;0.0;1
25.0;14.0;60.64164666666667;59.710869;350.2;79.8156787311612;-2.189585140140779;99.0;;96.8;4.057993250577585;;0.04443359375;1.03076171875;0.1695556640625;Груженный движется вперед;32;75131;130;;;;;692.0;24.0;696.0;20.0;700.0;33.0;700.0;31.0;680.0;32.0;708.0;34.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route2', '/home/pi/adviser/route12', '/home/pi/adviser/route1', '/home/pi/adviser/route8', '/home/pi/adviser/route11', '/home/pi/adviser/route10', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route6', '/home/pi/adviser/route9', '/home/pi/adviser/route5'];631;;;9.1;10.4;9.2;7.2;7.758975285808089;5.241857548172508;-0.08760821428005872;8.0;8.0;7.2;7.2;-;8.0;7.2;0;0;0;0;-;0.0;0;0;up;0;0;5.241857548172508;up;0;0.01;1;0.0;1
