len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;remark;shtraf;isin_border
0.0;5.0;60.6449335;59.71808833333333;335.4;78.6919738945819;2.9737655937349605;100.0;;;0.0;;-0.049072265625;0.9366455078125;0.1807861328125;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route21;[];768;0.0;;8.3;14.0;10.4;7.7;7.697804484224151;0.4512441770572732;-2.9789135165929608;7.8;13.65;10.73;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
2.0;6.0;60.644931166666666;59.718059333333336;335.5;85.40824745172455;-1.30834503261305;100.0;;;1.6037629026616251;;0.023681640625;1.0302734375;0.062255859375;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route21;[];768;;;7.4;10.7;10.9;5.1;7.713711012330611;0.49000042887146134;-2.8501497471931456;7.8;11.309999999999999;10.73;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
3.0;6.0;60.644927;59.718031;335.8;87.2976505752404;-2.632301571941528;100.0;;;1.614280910902365;;0.049560546875;1.0458984375;0.0079345703125;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route21;[];768;;;7.4;10.4;10.9;6.8;7.729617540437072;0.5287566806856494;-2.772993283989698;7.8;11.309999999999999;10.73;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
5.0;6.0;60.64492166666667;59.71800283333334;335.8;81.23885663333144;-0.1797500038971009;100.0;;;1.6477892395317173;;0.0001220703125;1.0732421875;0.1580810546875;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route21;[];768;;;8.5;10.4;8.8;6.8;7.745524068543532;0.5675129324998376;-2.7102192346423415;7.8;11.309999999999999;7.4;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
7.0;7.0;60.64491433333333;59.71797033333333;336.0;86.45142694526126;1.0280647064424335;100.0;;;1.9524506361704308;;-0.0174560546875;0.990234375;0.033203125;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route21;[];768;;;8.5;10.3;8.8;5.6;7.761430596649992;0.6062691843140257;-2.63646136289817;7.8;11.309999999999999;7.4;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.5093785547785554;1;0.0;0
9.0;6.0;60.64490683333333;59.717942666666666;335.9;77.69119546027045;0.0524370791692096;100.0;;;1.7252975006799511;;-0.0015869140625;1.036865234375;0.22802734375;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route21;[];768;;;7.4;9.5;9.4;5.6;7.7773371247564524;0.6450254361282138;-2.776930545994844;7.8;7.8;7.4;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
10.0;6.0;60.6449015;59.71791416666667;335.7;80.02869937655427;1.041508105025608;100.0;;;1.6647719085847958;;-0.02001953125;1.008544921875;0.1712646484375;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route21;[];768;;;6.8;10.0;10.8;4.8;7.793243652862913;0.6837816879424019;-2.7601357527324764;7.8;7.8;10.73;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
12.0;6.0;60.64489566666666;59.7178845;335.5;80.50015992200989;-0.2012617223514641;100.0;;;1.744349560428398;;0.003662109375;1.0322265625;0.1724853515625;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route15;['/home/pi/adviser/route15'];768;;;8.6;10.0;10.8;5.8;7.8091501809693735;0.7225379397565901;-2.8221294645295734;7.8;7.8;10.73;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
14.0;6.0;60.64489066666667;59.71785366666667;335.0;78.88841986689576;0.5777775164222738;100.0;;;1.772310641754644;;-0.01025390625;0.987548828125;0.19482421875;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route15;['/home/pi/adviser/route15'];768;;;9.0;9.1;9.0;6.1;7.825056709075834;0.7612941915707782;-2.7914710145114405;7.8;7.8;7.4;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
15.0;6.0;60.64488583333333;59.71782666666667;334.9;81.76067424741183;-1.9871990984232497;100.0;;;1.5686124812304678;;0.0372314453125;1.044921875;0.1488037109375;Груженный движется вперед;32;75131;130;;;;;704.0;21.0;704.0;15.0;712.0;32.0;704.0;29.0;716.0;25.0;708.0;27.0;/home/pi/adviser/route15;['/home/pi/adviser/route15'];768;;;9.0;8.3;7.8;7.9;7.840963237182295;0.8000504433849662;-2.6102171309582536;7.8;7.8;7.4;7.4;point_60%;7.8;7.4;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;1;0.0;0
