Широта;Долгота;in_current_border_original;point;рекомендованная скорость_min;рекомендованная скорость_max;len;new_slope;Скорость;Продольный наклон;Поперечный наклон;Высота;point_route_dist;рекомендованная скорость_turns;Поворот влево;Поворот вправо;подъем;спуск;Обороты двигателя;Текущая нагрузка двигателя;incline;rec_hole;примечание;рекомендованная скорость_holes;nom_hole;рекомендованная скорость;рекомендованная скорость_add;azimut;путь;centr;radius;время движения по маршруту;no_avoid;Объезд слева;Объезд справа;Неровная дорога;Опасность;dist;Грузоподъемность;Модель самосвала;Самосвал;уровень давления впереди,МПа;уровень давления сзади,МПа;Расход топлива_средний;Расход топлива;X_;Y_;shtraf
60.64557033333333;59.71453366666667;1;-;0;0;0.0;2.7291743888627904;0.0;2.840907640357598;7.030558547198482;323.5309116947051;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;-1.376113866560447;0.0;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.64557033333333;59.71453366666667;0.0
60.6455405;59.714545666666666;1;point_60%;0;0;3.0;2.9468792691841603;0.13131313131313133;2.9750476507547576;6.9570114105604235;323.32950061175075;17.162067118210285;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.3291379537438237;3.3850338201223646;-;0.0;950.0;0;1;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.64557033333333;59.71453366666667;0.0
60.64551066666667;59.71456066666666;1;point_60%;0;0;7.0;3.1181606920743468;0.3063973063973064;3.1033153473724586;6.88871302283725;323.1810526743261;16.49560865324792;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.2507415520234768;3.4204783734238897;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.6455405;59.714545666666666;0.0
60.645481333333336;59.7145805;1;point_60%;0;0;10.0;3.286474237177622;0.4377104377104377;3.225866920339076;6.825499197652035;323.08303843431395;15.370147306063462;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.2709497900783702;3.4401225189932276;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.64551066666667;59.71456066666666;0.0
60.645452;59.714599;1;point_60%;0;0;14.0;3.4554069873185886;0.6127946127946128;3.342858559782984;6.767205748627849;323.0329284435971;14.169549724688798;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.326468788652896;3.4179286018182866;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.645481333333336;59.7145805;0.0
60.645422833333335;59.71461383333333;1;point_60%;0;0;17.0;3.623119112267036;0.7441077441077442;3.4544464558325574;6.7136684893877625;323.0281932540585;12.998210237051811;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.286656380654514;3.3462564635985994;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.645452;59.714599;0.0
60.64539933333333;59.71462783333333;1;point_60%;0;0;20.0;3.820753598355939;0.8754208754208754;3.5607867986161708;6.664723233554849;323.066303417581;11.463520814618509;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.434051242656453;2.7253294909167707;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.645422833333335;59.71461383333333;0.0
60.64537083333333;59.71463583333333;1;point_60%;0;0;23.0;3.9859243305077054;1.0067340067340067;3.662035778262198;6.620205794752177;323.1447294860474;10.07190372644888;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.416456669162181;3.2025551914488144;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.64539933333333;59.71462783333333;0.0
60.645343;59.714644666666665;1;point_60%;0;0;26.0;4.216792024102237;1.1380471380471382;3.7583495848990145;6.579951986602821;323.26094201134066;8.536570560043717;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.323906829661445;3.1357183982334056;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.64537083333333;59.71463583333333;0.0
60.6453135;59.714659833333336;1;point_60%;0;0;29.0;4.340419625832932;1.2693602693602695;3.8498844086549946;6.543797622729851;323.41241154534356;6.9543686930005855;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.4455530854883025;3.3866736315578674;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.645343;59.714644666666665;0.0
60.645283;59.71466766666666;1;point_60%;0;0;33.0;4.4685723580624925;1.4444444444444444;3.9367964396585124;6.511578516756338;323.596608639939;5.209815568784467;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.4355977488383473;3.4221062259505293;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.6453135;59.714659833333336;0.0
60.64525116666667;59.7146765;1;point_60%;0;0;36.0;4.59758078549486;1.575757575757576;4.019241868037943;6.483130482305354;323.8110038470098;2.9318013330442647;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.4823714267029224;3.576366254982045;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.645283;59.71466766666666;0.0
60.645219833333336;59.71468216666667;1;point_60%;0;0;40.0;4.529642751245572;1.7508417508417509;4.09737688392166;6.458289332999971;324.0530677184388;0.0;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.5175493753309315;3.5017508724133006;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.64525116666667;59.7146765;0.0
