len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;7.090909090909091;60.64618016666667;59.71711283333333;334.2;81.25569015632144;-1.7645525035079852;109.0;;89.6;0.0;;0.03173828125;1.0302734375;0.14697265625;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route1'];712;0.0;;6.1;8.0;9.6;3.7;6.051997185038846;2.57955169047486;-1.8720887052278328;6.4;6.4;10.15;7.0;point_30%;6.4;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.57955169047486;up;0;0.01;0.0;0
2.0;7.181818181818182;60.6461615;59.717101;334.6;85.694054778234;0.0018511288356306;109.0;;89.6;2.176020480728153;;-0.0006103515625;1.023681640625;0.07373046875;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route1'];712;;;6.4;8.0;9.8;3.9;5.988789812578624;2.5996658168598734;-1.9564865945727061;6.4;6.4;10.15;7.0;point_30%;6.4;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.5996658168598734;up;0;0.01;0.0;0
4.0;7.2727272727272725;60.646145;59.71708733333333;334.5;83.27345618495117;-3.2300950603925003;108.0;;89.6;1.9824342750300084;;0.0592041015625;1.04248046875;0.103515625;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route1'];712;;;7.6;7.6;9.8;4.4;5.925582440118402;2.619779943244887;-1.8625320592461918;6.4;6.4;10.15;7.0;point_30%;6.4;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.619779943244887;up;0;0.01;0.0;0
6.0;7.363636363636363;60.6461265;59.717076;335.6;84.32791466798324;-3.261361561199281;110.0;;89.6;2.1503041430949663;;0.0587158203125;1.0311279296875;0.08251953125;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];712;;;7.6;7.6;8.2;5.3;5.86237506765818;2.6398940696299005;-2.3035693874167795;6.4;6.4;7.0;7.0;-;6.4;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.6398940696299005;up;0;0.01;0.0;0
8.0;7.454545454545454;60.64611533333333;59.7170555;335.4;81.95256933853366;-3.2534602373576025;108.0;;89.6;1.6723412885184337;;0.06103515625;1.0628662109375;0.1375732421875;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];712;;;7.0;6.4;8.7;5.3;5.799167695197958;2.660008196014914;-2.2712992965688286;6.4;6.4;7.0;7.0;-;6.4;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.660008196014914;up;0;0.01;0.0;0
10.0;7.545454545454544;60.64610283333333;59.717034;335.5;83.51419711551057;-3.160507523748634;109.0;;89.6;1.8201231106400297;;0.0570068359375;1.0347900390625;0.099365234375;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];712;;;7.0;7.1;8.7;5.1;5.7359603227377365;2.6801223223999275;-2.2868500876071467;6.4;6.4;7.0;7.0;-;6.4;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.6801223223999275;up;0;0.01;0.0;0
12.0;7.636363636363635;60.6460895;59.71701033333333;335.9;82.73393332095083;-3.348866935930197;109.0;;89.6;1.9674985735204125;;0.0589599609375;1.006103515625;0.112548828125;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];712;;;7.4;6.6;8.4;5.1;5.6727529502775145;2.700236448784941;-2.4288010264137556;6.4;6.4;7.0;7.0;-;6.4;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.700236448784941;up;0;0.01;0.0;0
14.0;7.818181818181817;60.646077;59.71698083333333;335.5;80.32622196494843;-3.619977398112956;108.0;;89.6;2.1278698225370545;;0.0657958984375;1.0372314453125;0.159423828125;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];712;;;7.1;6.5;8.4;6.3;5.6095455778172925;2.7203505751699546;-2.3491180299282357;6.4;6.4;7.0;7.0;-;6.4;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.7203505751699546;up;0;0.01;0.0;0
19.0;8.09090909090909;60.6460475;59.7169215;335.2;81.55882159132946;-2.035905818358692;109.5;;89.6;4.611728840173514;;0.0372314453125;1.030517578125;0.147216796875;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];712;;;7.2;6.9;7.9;7.0;5.5463382053570704;2.740464701554968;-2.417899916576979;6.4;6.4;7.0;7.0;-;6.4;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.740464701554968;up;0;0.01;0.0;0
21.0;8.454545454545453;60.646034;59.71689033333333;335.1;83.10515146223634;-5.256252072566794;111.0;;89.6;2.2696121193076575;;0.0926513671875;1.0045166015625;0.0716552734375;Груженный движется вперед;32;75131;130;;;;;680.0;19.0;684.0;16.0;688.0;25.0;680.0;23.0;672.0;24.0;688.0;25.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];712;;;7.2;6.9;7.9;7.0;5.483130832896848;2.7605788279399817;-2.313009319153886;6.4;6.4;7.0;7.0;-;6.4;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.7605788279399817;up;0;0.01;0.0;0
