len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;0.40909090909090945;60.647453166666665;59.712172333333335;333.0;83.74109396523198;-5.208465477696471;114.0;;88.4;0.0;;0.0909423828125;0.995849609375;0.0576171875;Груженный стоит;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;0.0;;4.9;7.8;4.3;8.7;3.8013707727356403;3.7370615293659406;0.6718545410940026;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.7370615293659406;up;0;0.01;0.0;0
1.0;1.4181818181818184;60.647457;59.712182166666665;333.0;85.29284846218917;-2.932706511435146;114.0;;88.4;0.6855809025837032;;0.0526123046875;1.0277099609375;0.0372314453125;Груженный стоит;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;4.7;7.3;4.4;8.6;3.813961528680748;3.7170168034149924;0.2377973077846569;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.7170168034149924;up;0;0.01;0.0;0
2.0;2.4272727272727277;60.647459;59.712199;332.8;80.00557950089143;-5.904029622626791;114.0;;88.8;0.9451541534935632;;0.107666015625;1.03076171875;0.1424560546875;Груженный стоит;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;5.0;7.3;5.4;8.6;3.8265522846258557;3.696972077464044;-0.029557283572287707;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.696972077464044;up;0;0.01;0.0;0
3.0;3.436363636363637;60.647458666666665;59.712222;332.7;84.8717403341245;-0.6498696042276473;118.0;;89.2;1.2556061979687831;;0.0118408203125;1.056884765625;-0.0067138671875;Груженный стоит;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;6.4;7.0;5.4;8.8;3.8391430405709634;3.676927351513096;-0.07635327769765365;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.676927351513096;up;0;0.01;0.0;0
4.0;4.445454545454545;60.64745766666667;59.71224866666667;332.8;82.53147889965817;-2.9401790722660444;117.0;;89.2;1.4593914175502851;;0.056884765625;1.0692138671875;0.120361328125;Груженный стоит;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;6.4;8.1;5.1;8.8;3.8517337965160716;3.656882625562148;-0.5508031551674395;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.656882625562148;up;0;0.01;0.0;0
6.0;5.454545454545454;60.64744833333334;59.71227966666667;332.5;83.88142588531525;-4.087172637249273;114.0;;89.2;1.985202808612375;;0.0762939453125;1.066162109375;0.0848388671875;Груженный движется вперед;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;4.6;8.1;6.4;7.3;3.8643245524611793;3.6368378996111996;-0.5902166848773147;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.6368378996111996;up;0;0.01;0.0;0
8.0;6.181818181818181;60.647441;59.712302;332.4;82.15011852616963;-3.241984201483354;113.0;;89.2;1.4668397447281818;;0.0562744140625;0.9984130859375;0.0426025390625;Груженный движется вперед;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;5.6;8.7;7.1;8.2;3.876915308406287;3.6167931736602514;-0.7184389720969442;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.6167931736602514;up;0;0.01;0.0;0
10.0;6.999999999999998;60.6474275;59.7123335;331.8;77.46004415199351;-1.8582653339490485;115.0;;89.2;2.283218916596775;;0.032470703125;1.033447265625;0.22314453125;Груженный движется вперед;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;7.3;8.7;7.1;8.2;3.889506064351395;3.5967484477093037;-0.7219055634656968;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.5967484477093037;up;0;0.01;0.0;0
12.0;7.818181818181817;60.64741383333333;59.712365166666665;331.5;84.35898376871708;-3.767401812731865;114.0;;89.2;2.3022921927705053;;0.06494140625;1.02197265625;0.049560546875;Груженный движется вперед;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;7.3;7.2;4.3;8.8;3.9020968202965025;3.5767037217583555;-0.9236580106352226;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.5767037217583555;up;0;0.01;0.0;0
15.0;8.363636363636362;60.647397833333336;59.71238983333333;331.7;81.85889968356742;-4.414655292493386;114.0;;89.2;2.2325320893803853;;0.0804443359375;1.0517578125;0.123291015625;Груженный движется вперед;32;75131;130;;;;;736.0;24.0;740.0;22.0;752.0;36.0;740.0;31.0;716.0;34.0;752.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6'];785;;;6.0;6.6;4.1;8.8;3.9146875762416102;3.5566589958074073;-0.7716131642702542;7.2;7.2;8.0;8.0;-;7.2;8.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.5566589958074073;up;0;0.01;0.0;0
