len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
1.0;0.7818181818181831;60.64649166666667;59.71468516666667;336.6;83.73853389225695;-5.048903293602017;106.0;;94.0;1.2999112601157756;;0.0916748046875;1.029296875;0.0538330078125;Груженный стоит;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;6.4;6.3;7.7;5.9;5.016023446366551;3.168215062029906;-2.3272964247802763;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.168215062029906;up;0;0.01;0.0;1
3.0;1.8818181818181832;60.6464805;59.71466366666667;336.8;81.77879909564504;-7.985368638954785;105.0;;93.6;1.7093172106089891;;0.1427001953125;1.0181884765625;0.0347900390625;Груженный стоит;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;5.9;6.7;9.5;5.6;5.0151559356784485;3.126405777365375;-2.35660377345375;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.126405777365375;up;0;0.01;0.0;1
4.0;2.9818181818181833;60.6464725;59.71464733333333;336.8;83.30592493917769;-4.982053841651709;106.0;;93.6;1.259973230164446;;0.0943603515625;1.0712890625;0.08203125;Груженный стоит;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;5.8;6.9;9.5;4.5;5.0142884249903465;3.0845964927008436;-2.2543719402678577;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.0845964927008436;up;0;0.01;0.0;1
6.0;4.081818181818184;60.64646116666667;59.7146285;336.5;83.26033187896323;0.3015936864020156;105.0;;94.0;1.6272545986242621;;-0.0037841796875;0.9937744140625;0.10205078125;Груженный стоит;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;6.2;7.3;10.0;4.1;5.013420914302245;3.0427872080363123;-2.2210793955409076;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.0427872080363123;up;0;0.01;0.0;1
8.0;5.181818181818181;60.64644666666667;59.714606;336.7;73.27059296226709;-2.7927981726676987;106.0;;94.0;2.0280619093569565;;0.05029296875;0.9862060546875;0.2918701171875;Груженный движется вперед;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;6.4;7.3;10.0;4.3;5.012553403614142;3.000977923371781;-2.225579487034532;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.000977923371781;up;0;0.01;0.0;1
10.0;6.09090909090909;60.646432833333336;59.714584333333335;336.9;81.72768692291572;-1.5610788263289943;103.0;;94.0;1.9414830235789877;;0.031982421875;1.050537109375;0.0426025390625;Груженный движется вперед;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route7;['/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;7.8;6.9;8.8;4.5;5.01168589292604;2.9591686387072498;-2.0309053840126983;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.9591686387072498;up;0;0.01;0.0;1
12.0;6.999999999999998;60.646417666666665;59.714569;336.3;86.22348798757963;-1.5201653711003604;106.0;;93.6;1.8843375227513088;;0.025390625;1.0452880859375;0.0234375;Груженный движется вперед;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route6;['/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;8.3;6.9;8.8;7.7;5.010818382237938;2.9173593540427185;-1.9161236394255026;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.9173593540427185;up;0;0.01;0.0;1
14.0;7.909090909090907;60.646397;59.71455383333333;336.2;83.34231617764827;-2.551518318257082;106.0;;93.6;2.444981894199459;;0.0455322265625;1.02099609375;0.0086669921875;Груженный движется вперед;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route6;['/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;8.3;7.7;6.6;7.7;5.009950871549835;2.8755500693781872;-1.7910805183446494;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.8755500693781872;up;0;0.01;0.0;1
17.0;8.636363636363635;60.64637;59.7145415;335.7;85.90890618770989;0.8745170567680823;102.0;;93.6;3.0801066557264383;;-0.0155029296875;1.01025390625;-0.0595703125;Груженный движется вперед;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route6;['/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;7.6;8.2;8.0;5.7;5.009083360861733;2.833740784713656;-1.5325724887844006;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.833740784713656;up;0;0.01;0.0;1
20.0;9.272727272727272;60.6463465;59.71454333333333;335.5;79.84244575684798;-4.76504483506663;99.0;;93.6;2.617964599625277;;0.0791015625;0.9371337890625;0.1243896484375;Груженный движется вперед;32;75131;130;;;;;728.0;26.0;728.0;24.0;744.0;38.0;736.0;37.0;712.0;36.0;740.0;36.0;/home/pi/adviser/route6;['/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];688;;;7.6;8.2;8.0;6.8;5.00821585017363;2.7919315000491247;-1.1730232057638412;7.8;7.8;8.2;8.2;-;7.8;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.7919315000491247;up;0;0.01;0.0;1
