Широта;Долгота;in_current_border_original;point;рекомендованная скорость_min;рекомендованная скорость_max;len;new_slope;Скорость;Продольный наклон;Поперечный наклон;Высота;point_route_dist;рекомендованная скорость_turns;Поворот влево;Поворот вправо;подъем;спуск;Обороты двигателя;Текущая нагрузка двигателя;incline;rec_hole;примечание;рекомендованная скорость_holes;nom_hole;рекомендованная скорость;рекомендованная скорость_add;azimut;путь;centr;radius;время движения по маршруту;Расход топлива_средний;Расход топлива;no_avoid;Объезд слева;Объезд справа;Неровная дорога;Опасность;dist;Грузоподъемность;Модель самосвала;Самосвал;уровень давления впереди,МПа;уровень давления сзади,МПа;shtraf
60.64557033333333;59.71453366666667;1;-;0;6;0.0;2.7291743888627904;;2.7726110313043013;7.069337181898933;323.68264871906246;0.0;0;0;0;0;0;;;up;Нет;-;0;-;6;0;-1.376113866560447;0.0;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.6455405;59.714545666666666;1;point_60%;0;0;3.0;2.9468792691841603;6.070945945945946;2.9307435073570383;6.98226171719673;323.43627838924687;17.162067118210285;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.3291379537438237;3.3850338201223646;-;0.0;729.0;0;0;0;1;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.64551066666667;59.71456066666666;1;point_60%;0;0;7.0;3.1181606920743468;6.16554054054054;3.0796204019823095;6.902307745150424;323.2477295682383;16.49560865324792;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.2507415520234768;3.4204783734238897;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.645481333333336;59.7145805;1;point_60%;0;0;10.0;3.286474237177622;6.236486486486487;3.2195792865562183;6.829215692677766;323.11431992526246;15.370147306063462;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.2709497900783702;3.4401225189932276;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.645452;59.714599;1;point_60%;0;0;14.0;3.4554069873185886;6.331081081081081;3.3509577324548703;6.762725986696508;323.03336712954484;14.169549724688798;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.326468788652896;3.4179286018182866;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.645422833333335;59.71461383333333;1;point_60%;0;0;17.0;3.623119112267036;6.402027027027027;3.474093311054369;6.702579054124401;323.0021888503112;12.998210237051813;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.286656380654514;3.3462564635985994;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.64539933333333;59.71462783333333;1;point_60%;0;0;20.0;3.820753598355939;6.472972972972973;3.589323593730819;6.648515321879197;323.0181027567871;11.463520814618509;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.434051242656453;2.7253294909167707;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.64537083333333;59.71463583333333;1;point_60%;0;0;23.0;3.9859243305077054;6.543918918918919;3.6969861518603246;6.600275216878645;323.0784265181981;10.07190372644888;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.416456669162181;3.2025551914488144;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.645343;59.714644666666665;1;point_60%;0;0;26.0;4.216792024102237;6.614864864864865;3.79741855681899;6.557599166040497;323.1804778037699;8.536570560043717;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.323906829661445;3.1357183982334056;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
60.6453135;59.714659833333336;1;point_60%;0;0;29.0;4.340419625832932;6.6858108108108105;3.8909583799829197;6.520227596282504;323.32157428272814;6.9543686930005855;0;0;0;0;0;;;up;Объезд слева;-;0;1;0;0;-1.4455530854883025;3.3866736315578674;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.0
