len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;remark;shtraf;isin_border
21.0;11.0;60.645479083333335;59.718202;326.55;77.67791015176365;-0.4137843778596175;107.0;;86.6;0.5574707724425376;;0.0133056640625;1.07666015625;0.22021484375;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;29.17857142857143;712.0;28.0;697.4705882352941;31.0;/home/pi/adviser/route21;[];829;;;8.6;8.5;11.9;4.7;6.760963781755714;1.4153615674275801;0.8464579881978725;10.44;7.2;12.25;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
23.0;10.0;60.64549066666667;59.71821516666667;325.8;81.87608294780466;-1.752847938064574;107.0;;86.8;0.6448271675679182;;0.030517578125;1.0462646484375;0.1416015625;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;29.571428571428573;712.0;28.0;698.1176470588235;31.0;/home/pi/adviser/route21;[];829;;;10.3;8.7;11.3;6.9;6.919644563439036;1.388409113252922;2.096498962839714;10.44;7.2;12.25;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
27.0;11.0;60.64548083333333;59.71823233333333;328.8;81.62341949365805;-3.0884046700812124;107.0;;86.0;0.6714613755125627;;0.056640625;1.0357666015625;0.135986328125;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;30.857142857142858;712.0;28.0;700.0;31.0;/home/pi/adviser/route21;[];829;;;8.5;7.7;9.6;5.8;7.286666353430612;1.6003379838073732;3.071365682519194;7.2;7.2;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
28.0;11.0;60.645481333333336;59.71821783333333;328.4;84.63826816703681;-4.144747372686016;107.0;;86.0;0.9549996392896617;;0.0794677734375;1.0775146484375;0.0631103515625;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route21;[];829;;;9.6;5.3;6.0;6.8;7.2705278698406195;1.5543661359072867;1.8515402776859728;10.44;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
29.0;12.0;60.645487;59.7182145;327.3;78.50838140966715;-1.667272890771761;107.0;;86.0;0.6565243391662399;;0.029296875;0.9996337890625;0.2095947265625;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route21;[];829;;;8.6;5.0;6.0;10.6;7.15097883012827;1.5180442179909683;2.7542199672601466;7.2;7.2;7.0;10.15;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
30.0;14.0;60.64549066666667;59.718196166666665;326.45000000000005;82.37219402807872;-2.8146800498731066;107.0;;86.0;0.6206950127447369;;0.0499267578125;1.02197265625;0.0362548828125;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route21;[];829;;;8.6;7.7;6.4;8.3;7.134561906387891;1.5456412097156567;2.1118808421473787;7.2;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;13;1.6;flat;1;0.01;1;0.0;0
32.0;17.0;60.645503;59.718183333333336;324.4;84.64088033094406;-2.1297745860147868;107.0;;86.0;0.9321247722201472;;0.034912109375;0.9718017578125;0.0867919921875;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;7.8;9.5;8.1;7.9;6.86835375547621;1.4548186371294047;1.5866082878756123;7.2;10.44;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
34.0;19.0;60.645519;59.71817033333333;319.9;82.52497962070343;-0.8551584075321744;107.0;;86.0;0.7441354183311835;;0.0174560546875;1.0244140625;0.1036376953125;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;7.5;9.2;10.3;6.4;6.629948832040203;1.4707149069445749;2.072012922826808;7.2;7.2;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;1.5236933992011144;1;0.0;0
35.0;18.0;60.6455275;59.718160833333336;318.4;83.3840256266015;0.6571036672752311;107.0;;86.0;0.7907119336630188;;-0.01123046875;0.9727783203125;0.1112060546875;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;8.9;8.7;10.3;4.9;6.535974335405422;1.434152832496592;0.5746855276073611;7.2;7.2;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
38.0;21.0;60.64552583333334;59.71814925;319.85;83.80767794839616;-0.6005521112383184;107.0;;86.0;0.9597194787054982;;0.0125732421875;1.136962890625;0.1165771484375;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;8.4;7.9;9.0;4.7;6.733907588832259;1.5807640675259076;-2.5416515590259943;10.44;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;1.4904982346271298;1;0.0;0
