len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
1019.0;23.727272727272723;60.6420865;59.71851266666667;375.1;85.51414230497076;-3.640737224474336;109.0;;57.2;6.509649894816382;;0.0679931640625;1.0504150390625;-0.0155029296875;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;775.4545454545455;47.86363636363636;772.0;43.0;736.0;39.0;772.0;43.0;/home/pi/adviser/route3;['/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route1', '/home/pi/adviser/route5', '/home/pi/adviser/route8', '/home/pi/adviser/route2', '/home/pi/adviser/route6'];686;;;6.1;6.6;7.9;6.5;2.1854519869837645;6.292884428009545;0.12828664317972605;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;6.292884428009545;up;0;0.01;12.212938619772764;1
1026.0;24.090909090909086;60.6420945;59.71863916666667;375.3;80.81930603687707;-3.694506188099868;107.0;;57.2;6.961169925650804;;0.067138671875;0.9251708984375;-0.1552734375;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;772.0;43.0;/home/pi/adviser/route4;['/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route1', '/home/pi/adviser/route5', '/home/pi/adviser/route3', '/home/pi/adviser/route2', '/home/pi/adviser/route8', '/home/pi/adviser/route6'];686;;;6.9;6.6;6.6;7.0;2.5157444590358407;6.139072878257355;0.16596048159826582;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;6.139072878257355;up;0;0.01;12.441217846310574;1
1033.0;24.272727272727266;60.642104833333335;59.718765;375.6;76.37228695091144;-8.967328046370834;107.0;;57.2;6.963254245334694;;0.1651611328125;1.03271484375;0.0240478515625;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;772.0;43.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route5', '/home/pi/adviser/route3', '/home/pi/adviser/route8', '/home/pi/adviser/route2', '/home/pi/adviser/route6'];686;;;6.9;6.3;6.9;7.0;2.962795131680769;6.074619605251541;0.20197867655477153;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;6.074619605251541;up;0;6.463399002913057;16.746204552349607;1
1040.0;24.18181818181818;60.64211766666666;59.718892833333335;375.6;76.82937703845899;-5.819969645932523;110.0;;57.2;7.121499917158518;;0.10791015625;1.2122802734375;0.1927490234375;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;772.0;43.0;/home/pi/adviser/route3;['/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route5', '/home/pi/adviser/route8', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6'];686;;;5.8;7.0;8.6;6.1;3.1859646596207245;6.111137119599646;0.24275948046615015;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;6.111137119599646;up;0;0.01;16.289489882740074;1
1048.0;23.909090909090907;60.64213316666667;59.7190205;375.7;72.05692606284038;-1.0781443003109357;111.0;;57.2;7.178105386512773;;0.0294189453125;1.04736328125;0.3021240234375;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;772.0;43.0;/home/pi/adviser/route3;['/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route1', '/home/pi/adviser/route5', '/home/pi/adviser/route8', '/home/pi/adviser/route2', '/home/pi/adviser/route6'];686;;;6.5;7.2;8.6;6.0;2.929878703493735;6.003804609103584;0.22287181314036353;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;6.003804609103584;up;0;0.01;16.142737721634305;1
1055.0;23.636363636363633;60.642147;59.719145;375.9;85.71136613698388;-0.7856345137876872;112.0;;57.2;6.9671219898123;;0.0145263671875;0.969482421875;-0.028564453125;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;776.0;42.0;/home/pi/adviser/route3;['/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route5', '/home/pi/adviser/route1', '/home/pi/adviser/route7', '/home/pi/adviser/route8', '/home/pi/adviser/route2', '/home/pi/adviser/route6'];686;;;6.3;6.5;8.9;6.0;3.058843148515038;5.733689669565131;0.2913440135140606;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.733689669565131;up;0;0.01;15.998606134834;1
1061.0;23.27272727272727;60.642164666666666;59.719265166666666;376.2;86.80043643315149;-3.015182027889959;116.0;;57.2;6.846833994792698;;0.052978515625;1.005615234375;0.018798828125;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;776.0;42.0;/home/pi/adviser/route5;['/home/pi/adviser/route5', '/home/pi/adviser/route1', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route7', '/home/pi/adviser/route8', '/home/pi/adviser/route2', '/home/pi/adviser/route6'];686;;;6.7;5.4;8.9;8.3;3.039552610304724;5.70421774557105;0.3955509836039184;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.70421774557105;up;0;0.01;15.446930061219035;1
1068.0;22.909090909090907;60.64218783333333;59.71937833333333;376.9;82.42784585342933;-5.295320796873372;113.0;;57.2;6.6930673184144105;;0.101806640625;1.013427734375;0.007568359375;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;776.0;42.0;/home/pi/adviser/route5;['/home/pi/adviser/route5', '/home/pi/adviser/route3', '/home/pi/adviser/route1', '/home/pi/adviser/route4', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route8', '/home/pi/adviser/route6'];686;;;6.7;6.6;6.1;8.3;3.0630779710194593;5.668000489245377;0.5709124957363647;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.668000489245377;up;0;0.01;15.857025549569984;1
1075.0;22.545454545454543;60.642221;59.71948366666667;377.7;85.14976372911491;-4.619366587037644;110.0;;57.2;6.8322782979528816;;0.0836181640625;1.0372314453125;0.0255126953125;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;776.0;42.0;/home/pi/adviser/route3;['/home/pi/adviser/route3', '/home/pi/adviser/route5', '/home/pi/adviser/route4', '/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route8', '/home/pi/adviser/route7', '/home/pi/adviser/route6'];686;;;6.3;6.6;5.6;7.3;3.1492883513015233;5.580434272015157;0.7656447972848306;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.580434272015157;up;0;0.01;16.289489882740074;1
1085.0;22.272727272727273;60.64228249999999;59.719614166666666;379.4;85.19410957033504;-4.780861351034353;112.0;;57.2;9.879151399522451;;0.08349609375;0.998291015625;-0.008544921875;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;29.0;776.0;48.0;772.0;43.0;736.0;39.0;776.0;42.0;/home/pi/adviser/route5;['/home/pi/adviser/route5', '/home/pi/adviser/route3', '/home/pi/adviser/route4', '/home/pi/adviser/route2', '/home/pi/adviser/route8', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route1'];686;;;6.6;6.5;5.6;9.5;2.932903081323939;5.479042251501796;0.963472563199956;6.4;6.4;7.1;10.295;point_30%;6.4;7.1;5;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.479042251501796;up;0;0.01;15.998606134834;1
