len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;7.8181818181818175;60.64504083333333;59.71501233333333;328.0;77.96252244768418;0.0830702318712478;106.0;;83.6;0.0;;-0.00146484375;1.0133056640625;0.2156982421875;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;0.0;;7.6;10.3;11.4;2.5;6.188074019487378;0.26371461158227527;-1.9325573387615744;7.6;11.02;10.44;7.2;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
2.0;8.10909090909091;60.64502183333333;59.71499766666667;327.9;87.64449063946152;0.3052017313122468;106.0;;83.6;2.261480334044658;;-0.0048828125;1.02197265625;0.0322265625;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;7.6;9.4;10.7;2.5;6.182771056178264;0.3818892098747197;-1.8844943956697011;7.6;7.6;10.44;7.2;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
5.0;8.4;60.644999166666665;59.71498266666666;328.2;76.72234099090949;-2.731293800958386;106.0;;83.6;2.652741016435287;;0.048095703125;0.9788818359375;0.223388671875;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;8.1;7.6;10.7;3.2;6.17746809286915;0.5000638081671641;-1.9201459861244095;7.6;7.6;10.44;7.2;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
7.0;8.690909090909091;60.644981;59.71496916666667;328.3;85.36634032214454;-0.843801922408376;106.0;;83.6;2.152349834160655;;0.01416015625;1.0372314453125;0.0665283203125;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;11.3;7.6;9.3;9.4;6.172165129560035;0.6182384064596085;-1.8703068226975148;11.02;7.6;7.2;10.44;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
10.0;8.981818181818182;60.64495983333333;59.714955833333335;328.5;82.62694769395685;1.9819722734823804;106.0;;83.6;2.4660901667620214;;-0.038330078125;1.09912109375;0.136962890625;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;12.8;4.9;5.2;10.2;6.1668621662509215;0.736413004752053;-1.8714511240958855;13.299999999999999;7.6;7.2;10.44;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
12.0;9.272727272727272;60.64494033333333;59.7149435;328.9;77.92807861916866;-5.095588478536657;106.0;;83.6;2.272714417888202;;0.0947265625;0.9913330078125;0.1824951171875;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;12.8;5.5;5.2;11.4;6.161559202941807;0.8545876030444974;-1.823484933941113;13.299999999999999;7.6;7.2;10.44;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
14.0;9.545454545454545;60.6449185;59.714932;328.9;83.784728835274;-0.7810223391723848;106.0;;83.6;2.5102322139576505;;0.01416015625;1.03271484375;0.111572265625;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;9.6;5.5;2.7;11.4;6.156256239632692;0.9727622013369418;-1.8600812114339536;7.6;7.6;7.2;10.44;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
17.0;9.636363636363635;60.64489516666666;59.71491783333333;328.6;78.41576789157168;-4.367815093070562;106.0;;83.6;2.710108803095126;;0.0772705078125;0.9600830078125;-0.1385498046875;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;8.8;8.6;5.3;10.7;6.150953276323579;1.0909367996293862;-1.7866879593154006;7.6;7.6;7.2;10.44;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
20.0;9.727272727272727;60.64486983333333;59.7149065;328.3;79.796197531803;-0.5650842085588548;106.0;;83.6;2.8871647471873128;;0.0103759765625;1.033935546875;0.1854248046875;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;7.7;8.6;6.9;8.2;6.145650313014464;1.2091113979218306;-1.8562681651238853;7.6;7.6;7.2;7.2;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
23.0;10.090909090909088;60.6448445;59.71489133333333;327.8;85.4872364052399;-0.6654964599831231;106.0;;83.6;2.939089659190359;;0.0123291015625;1.04833984375;0.08935546875;Груженный движется вперед;32;75131;130;;;;;736.0;27.0;736.0;22.0;740.0;39.0;732.0;36.0;740.0;34.0;732.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2', '/home/pi/adviser/route7', '/home/pi/adviser/route6', '/home/pi/adviser/route9'];664;;;6.4;9.8;7.5;8.1;6.14034734970535;1.3272859962142751;-1.8964146547572165;7.6;7.6;7.2;7.2;point_60%;7.6;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
