len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
2273.0;20.0;60.650273166666665;59.71382416666667;449.6;68.64166073656858;-4.690758732660683;97.0;;79.2;5.331295791510924;;0.09130859375;1.0299072265625;0.2275390625;Груженный движется вперед;32;75131;130;;;;;740.5176470588235;20.129411764705882;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.7;7.0;8.5;6.6;6.871367920209664;5.7566179637032775;1.246471581099205;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.871367920209664;up;8;0.01;68.01585639557416;1
2278.0;20.0;60.650319333333336;59.71385583333333;450.2;81.01336074982913;-5.850498403726027;98.0;;78.8;5.422007526431712;;0.1082763671875;1.049072265625;0.1231689453125;Груженный движется вперед;32;75131;130;;;;;740.7058823529412;20.176470588235293;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;8.3;7.0;8.6;6.0;6.512773967403262;5.5229158589643115;1.1908319181039675;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.512773967403262;up;8;0.01;67.3218170445989;1
2284.0;20.0;60.650364333333336;59.7138925;450.9;82.76992804041791;-5.649687349303197;97.0;;79.2;5.3941875963247;;0.10400390625;1.0782470703125;-0.0528564453125;Груженный движется вперед;32;75131;130;;;;;740.8941176470589;20.223529411764705;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;8.1;6.8;8.9;4.7;6.659306531751569;4.251957266398151;1.134790941497684;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.659306531751569;up;8;0.01;68.01585639557416;1
2289.0;20.0;60.650408166666665;59.71393416666667;451.4;77.1500064001262;-6.8733925282257085;94.0;;79.2;5.383208934635351;;0.1226806640625;1.0364990234375;0.13134765625;Груженный движется вперед;32;75131;130;;;;;741.0823529411764;20.270588235294117;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;8.1;6.8;8.9;6.3;6.399399883962005;3.846003018821845;1.1321255169881437;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.399399883962005;up;8;5.539564941084884;69.72093702567975;1
2294.0;19.0;60.650451;59.71397516666666;451.7;72.14587094202876;-5.474178693649279;94.0;;79.2;5.266957535696799;;0.1015625;1.0142822265625;0.1318359375;Груженный движется вперед;32;75131;130;;;;;741.2705882352941;20.31764705882353;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.7;6.4;8.3;6.3;6.269056017520137;3.645843137189839;1.1503495594918065;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.269056017520137;up;8;0.01;69.72093702567975;1
2300.0;19.0;60.65049466666667;59.714015;452.2;74.9307044357173;-9.460636656757874;93.0;;79.2;5.324787515519531;;0.177490234375;1.041259765625;-0.0367431640625;Груженный движется вперед;32;75131;130;;;;;741.4588235294118;20.36470588235294;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.5;6.8;8.3;5.9;6.3960710099278995;3.6500035177202146;1.1425819161573176;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.3960710099278995;up;8;0.01;70.47062452057953;1
2305.0;20.0;60.65053833333333;59.71405566666667;452.2;77.29043393631031;-3.5066260204539983;94.0;;78.8;5.343506449661194;;0.06396484375;1.0179443359375;0.2200927734375;Груженный движется вперед;32;75131;130;;;;;741.6470588235295;20.41176470588235;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.4;7.5;8.5;5.9;6.218225266107639;3.6766668552346498;1.1485331591055297;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.218225266107639;up;8;0.01;69.72093702567975;1
2311.0;20.0;60.650584333333335;59.71409783333333;452.8;82.45905568815775;-6.998967614529178;94.0;;79.2;5.613886647949857;;0.1259765625;1.0260009765625;0.0450439453125;Груженный движется вперед;32;75131;130;;;;;741.835294117647;20.458823529411763;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.9;7.0;8.5;5.6;6.531653082829856;3.2483859387297827;1.118059871953902;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.531653082829856;up;8;0.01;69.72093702567975;1
2316.0;20.0;60.6506285;59.71414166666667;452.7;82.51457592005472;-5.881626287539097;95.0;;79.2;5.467529526878892;;0.0989990234375;0.950927734375;-0.0072021484375;Груженный движется вперед;32;75131;130;;;;;742.0235294117647;20.505882352941175;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.9;7.0;8.3;6.4;6.566092411840466;3.149120233467284;1.1211714578260494;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.566092411840466;up;8;0.01;68.98703242540944;1
2321.0;20.0;60.65067183333333;59.714184333333336;452.5;78.48387642149956;-11.008309348951157;97.0;;79.2;5.356287318973015;;0.201416015625;1.0379638671875;-0.0289306640625;Груженный движется вперед;32;75131;130;;;;;742.2117647058824;20.55294117647059;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.8;7.0;8.3;6.4;6.458137351938557;3.1591556260395275;1.1484120299543468;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.458137351938557;up;8;0.01;67.56461938571027;1
