;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;6.0;53.7236927;86.8481471;217.0;-0.058331350901595885;-4.014109625480324;0.1162196679438157;;80.0;0.0;36.65;-0.0224329560517997;-1.0013255837666972;0.0010196798205363;Груженный движется вперед;95;7530G;240;725.0;22.0;42.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;0.0407222222222222;5.7;6.6;9.7;11.8;0.060053604524980965;-2.307239234029574;1;5.6;5.6;9.9;9.9;-;0;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
1;7.0;9.0;53.7236446;86.8480734;216.0;3.1673223840022495;-2.657360334137058;-0.016911568635694277;;80.0;7.22746323045239;67.42500000000001;-0.061180789232181;-0.9931681452024064;-0.0550627103089629;Груженный движется вперед;95;7530G;240;978.5;29.0;54.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;0.1156388888888889;6.9;4.7;5.8;16.5;1.2396414137757554;-2.4932265359946495;1;5.6;5.6;9.9;17.325;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;1;0;0.0;0.0
2;19.0;10.0;53.7235822;86.8479342;221.0;1.7356727322688754;-1.5112944653765492;0.10951679227542725;;80.0;11.50292873478348;85.19999999999999;0.0061180789232181;-1.009483022330988;-0.0305903946160905;Груженный движется вперед;95;7530G;240;953.0;36.0;68.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;0.1866388888888889;3.4;8.6;12.1;10.1;2.284277326156869;-2.4730033229482578;1;5.6;8.12;9.9;9.9;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;1;0;0.0;0.0
3;31.0;12.0;53.7235148;86.84779;213.0;0.9483118594544238;-0.561562199242509;0.4793440276199058;;80.0;12.10404473503749;151.97500000000002;-0.0723972672580809;-0.9829713469970428;-0.0163148771285816;Груженный движется вперед;95;7530G;240;1116.0;55.0;100.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;0.3555;5.5;7.9;13.0;10.3;3.201946758154808;-2.9566877989144427;1;5.6;8.12;14.355;9.9;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;1;0;0.0;0.0
4;44.0;13.0;53.7234925;86.8475885;215.0;1.1907014967698506;0.206186284221352;1.0764094143404659;;80.0;13.502350887543669;186.25;-0.0499643112062812;-0.979912307535434;-0.020393596410727;Груженный движется вперед;95;7530G;240;1344.5;57.0;71.5;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;0.6141805555555556;6.5;5.5;8.0;12.9;4.000635126256059;3.0521460359885193;1;5.6;5.6;9.9;14.355;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
5;60.0;12.0;53.7235054;86.8473454;220.0;5.744518648023039;0.8063008049713218;1.8845522293798334;;80.0;16.076514586197746;339.975;0.0152951973080452;-1.00336494340777;-0.1009483022330988;Груженный движется вперед;95;7530G;240;1564.0;98.0;100.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;0.9919305555555556;5.2;7.0;7.3;15.1;4.68832784694711;2.9498497841639537;1;5.6;5.6;9.9;14.355;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
6;73.0;10.0;53.7235265;86.8471617;219.0;6.162224251506655;1.2531311829636893;2.8876117496807336;;78.8;12.32562984844242;394.125;0.0397675130009177;-1.0003059039461608;-0.1080860609768532;Груженный движется вперед;95;7530G;240;1772.0;91.0;93.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;1.4298472222222225;2.6;6.1;7.6;12.9;5.273010336714446;2.9494261696214243;1;5.6;5.6;9.9;14.355;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
7;84.0;10.0;53.723545;86.847001;221.0;7.671606976529288;1.5610272381547423;4.069427252185892;;77.6;10.783292990034845;438.125;0.0224329560517997;-0.968695829509534;-0.130519017028653;Груженный движется вперед;95;7530G;240;1810.5;96.0;100.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;1.7949513888888888;3.6;4.2;6.2;14.8;5.762668012044554;2.900603840457408;1;5.6;5.6;9.9;14.355;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
8;96.0;11.0;53.723571;86.8468222;219.0;8.422471432750719;1.7443387905007706;5.413838013838032;;77.2;12.12743828699901;416.775;0.0326297542571632;-0.9911287855613338;-0.1468338941572346;Груженный движется вперед;95;7530G;240;1816.0;91.0;95.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;2.258034722222222;2.8;4.7;7.0;13.3;6.165286289423922;2.8061301610461147;1;5.6;5.6;9.9;14.355;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
9;109.0;10.0;53.7236104;86.8466312;219.0;7.150550990674982;1.817415659958062;6.904683311579883;;76.8;13.323208595633044;422.225;0.0275313551544814;-1.023758539818497;-0.1284796573875803;Груженный движется вперед;95;7530G;240;1825.0;90.0;100.0;804.0;29.0;808.0;27.0;876.0;48.0;900.0;43.0;20.0;47.0;896.0;51.0;2.7271736111111107;2.9;5.3;6.3;13.4;6.488850585339037;2.728959517440277;1;5.6;5.6;9.9;14.355;point_90%;1;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
