acc_X;acc_Z;acc;acc_X_std_ws4;acc_X_max_ws4;acc_Z_std_ws4;acc_Z_max_ws4;acc_std_ws4;acc_var_ws4;acc_max_ws4;acc_range_ws4;fb_tilt_max_ws4;fb_tilt_var_ws4;fb_tilt_range_ws4;tilt_max_ws4;tilt_var_ws4;tilt_range_ws4;acc_X_std_ws6;acc_X_max_ws6;acc_Z_std_ws6;acc_Z_max_ws6;acc_std_ws6;acc_var_ws6;acc_max_ws6;acc_range_ws6;fb_tilt_max_ws6;fb_tilt_var_ws6;fb_tilt_range_ws6;tilt_max_ws6;tilt_var_ws6;tilt_range_ws6;acc_X_std_ws10;acc_X_max_ws10;acc_Z_std_ws10;acc_Z_max_ws10;acc_std_ws10;acc_var_ws10;acc_max_ws10;acc_range_ws10;fb_tilt_max_ws10;fb_tilt_var_ws10;fb_tilt_range_ws10;tilt_max_ws10;tilt_var_ws10;tilt_range_ws10;class
0.7606390696489842;0.1325583766697257;8.576376327404846;3.5085022808059203;8.992533835252653;0.03997179579339124;0.1325583766697257;2.1300016819977676;4.53690716531332;11.362894983678473;5.213183701703013;0.04150096869582964;0.00018048273904500568;0.027531355154481685;-0.0479249515652085;0.003541031483097074;0.13867645559294378;2.8830792452965333;8.992533835252653;0.06741438422779462;0.1325583766697257;2.2660922770046814;5.135174207900262;11.362894983678473;6.55580087819648;0.04150096869582964;0.0006403454799031198;0.07341694707861746;-0.0479249515652085;0.0023477225887382153;0.13867645559294378;2.6425379421289343;8.992533835252653;0.0811256251291446;0.1325583766697257;3.047338343741112;9.286270981234823;11.362894983678473;9.354112713013539;0.04150096869582964;0.0005397903984086262;0.07341694707861746;-0.0479249515652085;0.001981803871770593;0.13867645559294378;30.0
8.992533835252653;0.0642398286937901;11.362894983678473;3.5085022808059203;8.992533835252653;0.03997179579339124;0.1325583766697257;2.1300016819977676;4.53690716531332;11.362894983678473;5.213183701703013;0.04150096869582964;0.00018048273904500568;0.027531355154481685;-0.0479249515652085;0.003541031483097074;0.13867645559294378;2.8830792452965333;8.992533835252653;0.06741438422779462;0.1325583766697257;2.2660922770046814;5.135174207900262;11.362894983678473;6.55580087819648;0.04150096869582964;0.0006403454799031198;0.07341694707861746;-0.0479249515652085;0.0023477225887382153;0.13867645559294378;2.6425379421289343;8.992533835252653;0.0811256251291446;0.1325583766697257;3.047338343741112;9.286270981234823;11.362894983678473;9.354112713013539;0.04150096869582964;0.0005397903984086262;0.07341694707861746;-0.0479249515652085;0.001981803871770593;0.13867645559294378;30.0
6.6639977784590005;0.1029876618741715;8.670587673054195;3.5085022808059203;8.992533835252653;0.03997179579339124;0.1325583766697257;2.1300016819977676;4.53690716531332;11.362894983678473;5.213183701703013;0.04150096869582964;0.00018048273904500568;0.027531355154481685;-0.0479249515652085;0.003541031483097074;0.13867645559294378;2.8830792452965333;8.992533835252653;0.06741438422779462;0.1325583766697257;2.2660922770046814;5.135174207900262;11.362894983678473;6.55580087819648;0.04150096869582964;0.0006403454799031198;0.07341694707861746;-0.0479249515652085;0.0023477225887382153;0.13867645559294378;2.6425379421289343;8.992533835252653;0.0811256251291446;0.1325583766697257;3.047338343741112;9.286270981234823;11.362894983678473;9.354112713013539;0.04150096869582964;0.0005397903984086262;0.07341694707861746;-0.0479249515652085;0.001981803871770593;0.13867645559294378;30.0
4.366752423894921;0.0428265524625267;6.14971128197546;1.9015825130601811;8.992533835252653;0.02677832712867079;0.1029876618741715;2.1742464754355506;4.727347735943914;11.362894983678473;5.213183701703013;0.04150096869582964;0.0001819557138715851;0.027531355154481685;-0.1101254206179259;0.000987759589588594;0.07647598654022639;2.8830792452965333;8.992533835252653;0.06741438422779462;0.1325583766697257;2.2660922770046814;5.135174207900262;11.362894983678473;6.55580087819648;0.04150096869582964;0.0006403454799031198;0.07341694707861746;-0.0479249515652085;0.0023477225887382153;0.13867645559294378;2.6425379421289343;8.992533835252653;0.0811256251291446;0.1325583766697257;3.047338343741112;9.286270981234823;11.362894983678473;9.354112713013539;0.04150096869582964;0.0005397903984086262;0.07341694707861746;-0.0479249515652085;0.001981803871770593;0.13867645559294378;30.0
7.12008579517914;0.0897318242071989;7.841914958257212;1.5298013353963407;7.12008579517914;0.07398595162516655;0.1029876618741715;1.7283038546287448;2.987034213924577;8.670587673054195;3.8634935675722017;0.03232385031100238;0.0007558960227693772;0.06423982869379019;-0.1101254206179259;0.0006088368154510229;0.04588559192413588;2.186980480151187;8.992533835252653;0.05921873408914131;0.1029876618741715;2.8022708979368085;7.852722185423566;11.362894983678473;7.71486229728321;0.04150096869582964;0.0006403454799031198;0.07341694707861746;-0.0907515040277353;0.0012952907397049782;0.095849903130417;2.6425379421289343;8.992533835252653;0.0811256251291446;0.1325583766697257;3.047338343741112;9.286270981234823;11.362894983678473;9.354112713013539;0.04150096869582964;0.0005397903984086262;0.07341694707861746;-0.0479249515652085;0.001981803871770593;0.13867645559294378;30.0
4.165081124702717;-0.0601611094116447;4.807094105481993;1.669491913570754;7.12008579517914;0.06825510559464978;0.0897318242071989;1.804318418224117;3.255564954342779;7.841914958257212;4.193882271861948;0.03232385031100238;0.0007558960227693772;0.06423982869379019;-0.0907515040277353;0.0007621994885713578;0.06525950851432649;2.009034169329076;7.12008579517914;0.05955983495115787;0.1029876618741715;2.4957036486017214;6.228536701643945;8.670587673054195;6.529838646561199;0.03232385031100238;0.0004656679945863984;0.06423982869379019;-0.066789028245131;0.0011833013300959216;0.08922198429693079;2.6425379421289343;8.992533835252653;0.0811256251291446;0.1325583766697257;3.047338343741112;9.286270981234823;11.362894983678473;9.354112713013539;0.04150096869582964;0.0005397903984086262;0.07341694707861746;-0.0479249515652085;0.001981803871770593;0.13867645559294378;30.0
3.247392667926232;0.078515346181299;3.6480326863952635;2.2260037583645413;7.12008579517914;0.07042437707691239;0.0897318242071989;2.415691801966513;5.8355668820882185;7.841914958257212;5.701165931764217;0.03232385031100238;0.0007516503894457069;0.06423982869379019;-0.066789028245131;0.001434244253198248;0.08922198429693079;1.8820094922828263;7.12008579517914;0.05456065244662606;0.0897318242071989;2.0197171063396633;4.079257189641063;7.841914958257212;5.701165931764217;0.03232385031100238;0.0004773131602741798;0.06423982869379019;-0.066789028245131;0.0010188480229872238;0.08922198429693079;2.5474132242723075;8.992533835252653;0.07941939275659103;0.1029876618741715;3.243041618758899;10.51731894100234;11.362894983678473;9.958400707666923;0.04150096869582964;0.0008417444614855526;0.08667278474559015;-0.0622004690527174;0.001795481220766092;0.1244009381054349;30.0
1.8609833420770472;0.0713775874375446;2.1407490264929954;1.7275789474414858;5.980797620774005;0.06408317888887527;0.078515346181299;1.6506919387762249;2.724783876740812;6.008365627577853;3.867616601084858;0.019068012644029797;0.0005725539796492481;0.05098399102681761;-0.066789028245131;0.0009102117972480875;0.0708677475272764;2.136764878023672;7.12008579517914;0.09188214856470697;0.0897318242071989;2.2797558277445438;5.197286634135209;7.841914958257212;5.833132687592279;0.03232385031100238;0.0007060921445153833;0.06423982869379019;-0.066789028245131;0.001286860124962263;0.08922198429693079;2.194365069643708;7.12008579517914;0.07891938287258704;0.1029876618741715;2.691374234609469;7.243495270719704;8.670587673054195;7.266093397042645;0.03232385031100238;0.0007014825997639701;0.07749566636076288;-0.0601611094116447;0.001368584234164014;0.09584990313041708;0.0
5.980797620774005;0.0428265524625267;6.008365627577853;1.9115733408163404;5.980797620774005;0.1016151572350316;0.078515346181299;1.8597212599526327;3.4585631647198074;6.008365627577853;3.9995833569129196;0.019068012644029797;0.00047966991999670626;0.04690527174467218;-0.066789028245131;0.001035306350534802;0.0708677475272764;1.7376787762378505;5.980797620774005;0.08667498402710382;0.078515346181299;1.8068683449827296;3.264773216100629;6.008365627577853;4.603871351566303;0.019068012644029797;0.0008061851162603619;0.0642398286937903;-0.0622004690527174;0.0008723476796471903;0.07545630671969;2.009476962025176;7.12008579517914;0.07311545955740714;0.0897318242071989;2.314737386654647;5.358009169176785;7.841914958257212;6.437420682245662;0.03232385031100238;0.0006896525901763828;0.07749566636076288;-0.0601611094116447;0.001134294591159842;0.09584990313041708;0.0
1.9940385127818585;-0.1366370959518711;2.0087822706649336;2.1294773486348544;5.980797620774005;0.09472371843060158;0.0713775874375446;2.1030812095270126;4.422950573865602;6.008365627577853;4.603871351566303;0.019068012644029797;0.0009755425630857893;0.0642398286937903;-0.0622004690527174;0.0012609314357355658;0.07545630671969;1.7696986800324914;5.980797620774005;0.08325151317049943;0.078515346181299;1.7857372179993722;3.1888574117481374;6.008365627577853;4.603871351566303;0.019068012644029797;0.0007089687777061154;0.0642398286937903;-0.0601611094116447;0.0008732227999853346;0.07749566636076269;2.1610318700338764;7.12008579517914;0.0722610221739298;0.0897318242071989;2.3332892018288924;5.444238499371311;7.841914958257212;7.188936823702543;0.037422249413683994;0.0008413747736859377;0.0825940654634445;-0.0418068726419904;0.001354894232834628;0.11420413990007139;0.0
