acc_X;acc_X_std;acc_Z;acc_Z_std;acc;acc_std;acc_var;acc_max;acc_range;fb_tilt_max;fb_tilt_std;fb_tilt_var;fb_tilt_range;tilt_max;tilt_var;tilt_range;hole;lat;lon
1.4248687297982203;1.3640518561507968;-0.0418068726419904;0.05090700372271571;1.8699059292997917;1.2167923540032206;1.4805836327606987;5.637349214618088;3.767443285318296;-0.9401447945345162;0.036001581530487034;0.0012961138726963052;0.10400734169470793;-0.0050983991026817;0.0005318912098778509;0.0672988681553992;1;53.72281418;86.83691594000001
2.016860019032688;1.3640518561507968;0.0132558376669725;0.05090700372271571;2.6309165976901983;1.2167923540032206;1.4805836327606987;5.637349214618088;3.767443285318296;-0.9401447945345162;0.036001581530487034;0.0012961138726963052;0.10400734169470793;-0.0050983991026817;0.0005318912098778509;0.0672988681553992;1;53.72281418;86.83691594000001
2.9334948291228367;1.3640518561507968;-0.0591414295911083;0.05090700372271571;3.6176625604796793;1.2167923540032206;1.4805836327606987;5.637349214618088;3.767443285318296;-0.9401447945345162;0.036001581530487034;0.0012961138726963052;0.10400734169470793;-0.0050983991026817;0.0005318912098778509;0.0672988681553992;0;53.72281418;86.83691594000001
1.482534562430275;1.3640518561507968;-0.0866727847455898;0.05090700372271571;2.9020685878811747;1.2167923540032206;1.4805836327606987;5.637349214618088;3.767443285318296;-0.9401447945345162;0.036001581530487034;0.0012961138726963052;0.10400734169470793;-0.0050983991026817;0.0005318912098778509;0.0672988681553992;0;53.72281418;86.83691594000001
0.3069710040665134;1.3640518561507968;0.0489446313857448;0.05090700372271571;2.8397997443843517;1.2167923540032206;1.4805836327606987;5.637349214618088;3.767443285318296;-0.9401447945345162;0.036001581530487034;0.0012961138726963052;0.10400734169470793;-0.0050983991026817;0.0005318912098778509;0.0672988681553992;1;53.72281418;86.83691594000001
1.7545412369528492;1.3640518561507968;-0.0795350260018354;0.05090700372271571;3.5689267631720156;1.2167923540032206;1.4805836327606987;5.637349214618088;3.767443285318296;-0.9401447945345162;0.036001581530487034;0.0012961138726963052;0.10400734169470793;-0.0050983991026817;0.0005318912098778509;0.0672988681553992;1;53.72281418;86.83691594000001
4.215929020642994;1.7035273293572277;-0.0856531049250535;0.05080810443634789;5.3842419988465755;1.3938987666623706;1.9429537717028775;6.797346651175117;4.166430053484918;-0.9401447945345162;0.037603780139403103;0.0014140442807725675;0.10400734169470793;-0.0050983991026817;0.0008900955822145053;0.0948302233098807;1;53.722694020000006;86.8368009
0.4861550185971123;1.704039877487545;-0.0683185479759355;0.04574693887357474;3.582094079841219;1.3113998935880453;1.7197696809027365;6.797346651175117;3.957546906790765;-0.9401447945345162;0.036058175095750204;0.0013001919912357803;0.10400734169470793;-0.0050983991026817;0.0008903728480642145;0.0948302233098807;0;53.72256952;86.83668408000001
4.242437979073926;2.0172402575482877;-0.1254206179259712;0.04591481973133987;5.637349214618088;1.5556779853811171;2.420133994199451;7.283808795350121;4.44400905096577;-0.9401447945345162;0.037081717471784285;0.001375053770657232;0.10400734169470793;-0.0050983991026817;0.0012177776055956853;0.0989089425920261;1;53.722441960000005;86.83656164
2.5687990762766013;1.9791484325890563;-0.0530233506678902;0.04516365045637612;4.616967920475051;1.4382342732319346;2.0685178246989913;7.283808795350121;4.44400905096577;-0.9228102375853982;0.04374995522845342;0.0019140585824916788;0.12134189864382594;-0.0050983991026817;0.0011551848400238609;0.0989089425920261;0;53.72231247999999;86.83642448
5.547357771738739;1.7975498898363431;-0.046395431834404;0.026485571316282836;6.797346651175117;1.3133463209858394;1.7248785588470392;7.283808795350121;3.7148820321781058;-0.9228102375853982;0.04343870609780408;0.0018869211874514014;0.12134189864382594;-0.0086672784745589;0.0009260246152393072;0.0953400632201489;0;53.72218394;86.83627546
3.228273043974261;1.9689308184239278;-0.0346691138982359;0.026967966404103375;5.13122576560592;1.4268583362924696;2.035924711847314;8.46338016061052;4.8812860807693;-0.9228102375853982;0.04457347481479714;0.0019867946570653553;0.12134189864382594;-0.0086672784745589;0.0010658590254425855;0.11369429998980321;0;53.72207100000001;86.83612668
6.073969615911515;1.968212564159193;-0.0713775874375446;0.026090489736860036;7.283808795350121;1.4117379457540924;1.993004027481985;8.46338016061052;4.8812860807693;-0.9228102375853982;0.04571536098914801;0.0020898942303681158;0.12134189864382594;-0.0086672784745589;0.0010666215065292855;0.11369429998980321;0;53.721958810000004;86.83596585000001
4.292198668099015;1.4622865870528385;-0.0438462322830631;0.026862806397345906;5.883357107216609;1.1475556253847563;1.316883913352199;8.46338016061052;3.846412240135469;-0.9228102375853982;0.04424948330109968;0.0019580167724142995;0.12134189864382594;-0.0469052717446721;0.000561694400535642;0.07545630671969;0;53.72184995;86.83580579
5.599243176276364;1.4563407602986411;-0.0815743856429081;0.032502444232165084;6.969206161180071;1.1289929831303622;1.2746251559575943;8.46338016061052;3.846412240135469;-0.9228102375853982;0.042704989479702055;0.0018237161264614634;0.12134189864382594;-0.0469052717446721;0.0005570733030404908;0.07545630671969;1;53.721744130000005;86.83564621000001
7.43778432782682;1.233255434518355;-0.0479249515652085;0.032179161190115595;8.46338016061052;0.9679023774618102;0.9368350122962246;8.46338016061052;3.3321543950045998;-0.9228102375853982;0.03969394666629647;0.0015756094019467885;0.10706638115631706;-0.058121749770572;0.00040508540642496374;0.06423982869379011;1;53.72163918;86.83547725999999
