lat;lon;vel;acc_X;acc_Y;acc_Z;fb_tilt;tilt;hole;acc
53.7233098;86.8373706;8.0;-1.5751312702017797;0.7898142817428311;-0.0418068726419904;0.017028653002957195;-0.0244723156928724;1;1.7625529588107471
53.7232532;86.8372628;9.0;-0.9831399809673118;0.3106740721823449;0.0132558376669725;0.044560008157438435;-0.0336494340776996;1;1.0311441793149105
53.7231781;86.8371877;9.0;-0.06650517087716334;-0.11626859833809577;-0.0591414295911083;0.006831854797593628;-0.0509839910268175;0;0.14642074104096783
53.7230889;86.8371497;10.0;-1.517465437569725;-0.4933072791677229;-0.0866727847455898;-0.020699500356887945;-0.0265116753339451;0;1.5979879841582334
53.7229866;86.8370986;12.0;-2.6930289959334868;-0.822735519655772;0.0489446313857448;0.049658407260120385;-0.0050983991026817;1;2.8163264166611195
53.7227341;86.8368973;13.0;-1.2454587630471508;-1.106846869151477;-0.0795350260018354;-0.0288569389211788;-0.0316100744366268;1;1.6681137079235573
53.7226195;86.8368083;13.0;1.215929020642994;-1.347934877004072;-0.0856531049250535;0.021617212195370827;-0.0723972672580809;1;1.8173464915279958
53.7224617;86.8366249;14.0;-2.5138449814028876;-1.5482930925627905;-0.0683185479759355;-0.019169980626083438;-0.0086672784745589;0;2.9531839622684655
53.7223094;86.836447;13.0;1.2424379790739257;-1.7102150651768673;-0.1254206179259712;0.05985520546548384;-0.0703579076170082;1;2.117597230920967
53.7222005;86.8363125;11.0;-0.4312009237233987;-1.835994344195536;-0.0530233506678902;-0.04415213622922409;-0.0469052717446721;0;1.8866957741655008
53.7221082;86.8362202;11.0;2.5473577717387386;-1.9279244789680319;-0.046395431834404;-0.027837259100642386;-0.0999286224125624;0;3.195008129870253
53.7220082;86.8360946;13.0;0.22827304397426085;-1.988299018843588;-0.0346691138982359;-0.02987661874171521;-0.058121749770572;0;2.0016601905413762
53.7219025;86.8359633;15.0;3.0739696159115146;-2.0194115131714376;-0.0713775874375446;0.025186091567248048;-0.1040073416947078;0;3.6786419802781767
53.7217941;86.8357781;14.0;1.2921986680990152;-2.023555511300894;-0.0438462322830631;0.07718976241460185;-0.0693382277964719;0;2.401348953658862
53.7217012;86.8356084;15.0;2.5992431762763637;-2.148693286995295;-0.0815743856429081;0.04659936779851115;-0.0938105434893443;1;3.3733666138430465
53.7216047;86.8354095;15.0;4.43778432782682;-2.0380529014324438;-0.0479249515652085;0.06393392474762916;-0.1223615784643621;1;4.883634524647095
53.7214976;86.8352;15.0;1.4132530050638064;-2.067054453355807;-0.0591414295911083;-0.015601101254206107;-0.078515346181299;1;2.5046947674625013
53.7213731;86.8350243;15.0;0.6188929297432977;-2.123100634463018;-0.0836137452839808;0.020087692464565987;-0.0622004690527174;1;2.213046773329458
53.7212512;86.8348512;16.0;2.0490301391481562;-1.6126323543476122;-0.1468338941572346;-0.016620781074742297;-0.0907515040277353;1;2.6116408278895498
53.721151;86.834623;16.0;2.2568122362522987;-1.3543000213085445;-0.0632201488732537;-0.01764046089527893;-0.0938105434893443;0;2.632741309858981
53.7210705;86.8343889;14.0;3.5570739339158646;-1.175184802529889;-0.0316100744366268;-0.019679820536351533;-0.1172631793616804;0;3.7463093156127387
53.7209904;86.8341552;14.0;3.4359929866517884;-0.893142913109533;-0.0479249515652085;0.07922912205567456;-0.1040073416947078;0;3.5504998054556474
53.7209171;86.8339539;14.0;1.9450804367260703;-0.8953586577785457;-0.0285510349750178;-0.0013255837666972248;-0.0866727847455898;0;2.1414528229666008
53.7207464;86.8335528;14.0;2.2979812154299557;-0.7900862059690068;-0.0520036708473539;0.0007137758743755995;-0.092790863668808;0;2.430567477177508
