lat;lon;vel;acc_X;acc_Y;acc_Z;fb_tilt;tilt;hole;acc
53.7265931;86.8454155;6.0;-2.8221571787120165;0.36895281076607356;-0.0723972672580809;0.00785153461813004;0.0142755174875089;0;2.8470930231087275
53.726556;86.8453528;7.0;-3.927773741252767;0.09298583919306291;-0.0632201488732537;-0.058427653716732975;0.0356887937187723;1;3.92938286706561
53.7265009;86.8452465;7.0;-0.3617898331392406;-0.1893668636091368;0.0550627103089629;0.056796166003874826;-0.0270215152442133;0;0.41204804873054524
53.726431;86.845151;10.0;-2.8696186634822127;-0.4738022797716184;-0.0499643112062812;-0.0064239828693790635;0.0152951973080452;0;2.9088995009309864
53.7263372;86.8450572;10.0;-1.651059401133897;-0.7560173914254715;-0.0193739165901906;-0.004384623228306239;-0.0061180789232181;0;1.8160216933876208
53.7262456;86.8449656;11.0;-6.5424462813557644;-1.031709180701788;-0.0734169470786173;-0.03701437748546965;0.0825940654634444;1;6.62370117276501
53.7261559;86.8448759;12.0;-2.5111001067578766;-1.296574629731659;-0.1284796573875803;-0.020699500356887945;0.0091771183848271;1;2.8289992115562064
53.726074;86.8447684;12.0;0.935166465578257;-1.5463107206461757;-0.0662791883348628;0.00785153461813004;-0.0509839910268175;1;1.8083158169782603
53.7259635;86.8446067;17.0;-4.332197202044384;-1.7766144355764282;-0.023452635872336;-0.05128989497297831;0.0428265524625267;1;4.682396979777462
53.7258064;86.8444496;15.0;-2.8979715960807404;-1.983182756653509;-0.0040787192821454;0.024166411746711636;0.0152951973080452;0;3.511590786798705
53.7256638;86.8443582;14.0;-4.805877467874707;-2.1617126660085084;-0.0275313551544814;0.0017334556949117896;0.0489446313857448;1;5.269745521571611
53.7255298;86.844301;11.0;-0.9093452940332478;-2.3079011457725187;-0.0540430304884266;0.037422249413683994;-0.0183542367696543;1;2.481176578073977
53.7254117;86.8442085;12.0;-0.09787360236641396;-2.4174451780766297;-0.1580503721831345;0.030284490669929554;-0.0326297542571632;1;2.424582510700214
53.7253185;86.8439617;14.0;-1.502125273771767;-2.4860417450520167;-0.147853573977771;-0.0456816559600286;-0.0091771183848271;1;2.90837490285953
53.7253827;86.8436675;12.0;4.751860282166059;-2.60051148555202;-0.1539716529009891;0.030284490669929554;-0.116243499541144;1;5.41909064305187
