;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;4.0;53.7163336;86.8396616;175.0;1.7959125323532403;1.525151590154832;0.21784345922277853;2547.0;91.6;0.0;316.29999999999995;0.0193739165901906;-1.0079535026001836;-0.0316100744366268;Груженный движется вперед;95;7530G;240;1472.5;88.5;100.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;0.6150277777777776;3.2;8.7;13.5;6.9;1.739641730905435;1.4394122705561396;0;6.9;6.9;10.4;10.4;-;0;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
1;19.0;11.0;53.7164984;86.8396984;178.0;-1.0309307958075755;0.816533064657591;0.7613995200202139;2547.0;91.2;18.50525042429639;63.025;0.0112164780258998;-1.0482308555113695;0.0188640766799225;Груженный движется вперед;95;7530G;240;1086.0;24.0;30.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;0.7025624999999999;7.3;9.8;13.3;11.9;0.6190738402046712;1.659661100216809;0;6.9;10.005;10.4;10.4;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
2;28.0;9.0;53.7165874;86.839685;184.0;1.3737532392255742;0.21421336178016914;1.1077680939749908;2547.0;91.6;9.946851570626611;165.325;0.0132558376669725;-0.9778729478943612;-0.023452635872336;Груженный движется вперед;95;7530G;240;1142.0;59.0;99.5;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;0.8862569444444444;7.4;7.6;9.5;12.6;-0.29233463446309926;1.327097301263211;0;6.9;10.005;10.4;10.4;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
3;39.0;7.0;53.7166757;86.8397221;184.0;-1.643559672892523;-0.2890234094933546;1.2827670413877281;2547.0;92.0;10.128968226779316;31.875;0.0438462322830631;-0.9584990313041704;0.0275313551544814;Груженный движется вперед;95;7530G;240;1337.5;12.0;15.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;0.921673611111111;7.6;10.1;13.0;8.5;-1.0076997495767483;1.3486754516992308;0;6.9;10.005;10.4;10.4;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
4;48.0;5.0;53.7167585;86.8397537;181.0;-2.8258741390969147;-0.7003931401788999;1.3122142225590445;2547.0;92.4;9.449563304444586;75.375;-0.037728153359845;-1.011522381972061;0.0499643112062812;Груженный движется вперед;95;7530G;240;1285.0;26.0;41.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;1.005423611111111;8.5;8.5;10.9;11.6;-1.5401375616151491;1.8222903399089345;0;6.9;10.005;10.4;10.4;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
5;52.0;3.0;53.7167942;86.8397382;185.0;-3.498920206206863;-1.027111721292387;1.221927497789559;2547.0;92.8;4.103254574778548;115.525;-0.0367084735393086;-1.0166207810747423;0.0622004690527174;Груженный движется вперед;95;7530G;240;1283.0;38.0;63.5;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;1.1337847222222222;7.4;9.6;11.2;8.1;-1.9027641270571745;1.4193047925390252;0;6.9;10.005;10.4;10.4;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
6;56.0;4.0;53.7168287;86.8397471;180.0;0.2847476741288273;-1.2763950438497387;1.0377247273798913;2547.0;92.8;3.8850830212611607;171.4;-0.0122361578464362;-1.0257978994595698;-0.0050983991026817;Груженный стоит;95;7530G;240;1191.5;58.0;99.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;1.1813958333333332;6.5;8.3;11.0;8.3;-2.108695502381696;0.16508663803386625;0;6.9;6.9;10.4;10.4;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
7;58.0;6.0;53.7168315;86.8397755;180.0;0.5879711466868359;-1.4554589988668727;0.7854237716306578;2547.0;92.8;1.8967044723971624;191.55;-0.0295707147955541;-0.9931681452024064;-0.0101967982053635;Груженный стоит;95;7530G;240;1236.5;62.0;99.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;1.6070624999999998;6.3;8.1;14.1;7.3;-2.171047744067586;1.529932851267595;0;6.9;6.9;15.08;10.4;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
8;73.0;12.0;53.716969;86.839785;185.0;-0.06116801608105218;-1.571519477359711;0.4908424908424805;2547.0;92.8;15.319477840770617;116.1;-0.0723972672580809;-0.9523809523809524;0.0010196798205363;Груженный движется вперед;95;7530G;240;1186.0;35.0;59.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;1.7360624999999998;10.4;7.2;14.2;15.5;-2.1029369085937186;0.6558116575264775;0;10.005;6.9;15.08;15.08;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
9;85.0;12.0;53.7170332;86.839926;179.0;-2.9295747882073444;-1.6317923703441737;0.17979874531597523;2547.0;93.2;11.71992389228531;158.45;-0.0642398286937901;-0.9941878250229428;0.0509839910268175;Груженный движется вперед;95;7530G;240;1128.0;56.0;100.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;1.9121180555555557;10.3;9.5;14.9;7.8;-1.9174790524389649;-0.17696572541547684;0;10.005;10.005;15.08;10.4;point_30%;1;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
10;97.0;9.0;53.7170136;86.8401112;182.0;4.076605579298537;-1.6434935688361805;-0.12188960464823534;2547.0;92.8;12.393999474271585;390.1;-0.0489446313857448;-1.0003059039461608;-0.0713775874375446;Груженный движется вперед;95;7530G;240;1645.5;97.0;100.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;2.3455625;6.7;6.0;13.5;11.4;-1.6277902320821975;-0.9484638203675138;0;6.9;6.9;10.4;10.4;-;0;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
11;108.0;8.0;53.7169326;86.8402094;183.0;-1.8395755503663664;-1.6138389638516542;-0.3884046987495389;2547.0;92.4;11.097592846045186;214.7125;0.0112164780258998;-0.9523809523809524;0.0305903946160905;Груженный движется вперед;95;7530G;240;1132.0;55.5;60.25;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;2.524489583333333;7.8;8.3;12.4;10.9;-1.2469865040022898;-0.710546442392761;0;6.9;6.9;10.4;10.4;-;0;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
12;120.0;10.0;53.7168635;86.8403451;178.0;-5.266626761823556;-1.550044446406513;-0.5939286766873073;2547.0;92.8;11.793516651822555;39.325;0.0101967982053635;-1.017640460895279;0.0938105434893443;Груженный движется вперед;95;7530G;240;1329.0;14.0;20.5;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;2.579107638888889;7.7;13.0;13.2;6.9;-0.7881839246781106;-0.3336436412676784;0;6.9;12.075000000000001;10.4;10.4;point_60%;2;6.9;10.4;15.0;1;0;[53.71701158470791, 86.84051511109159];19.92980488561855;0;0;0.0;0.0
13;131.0;11.0;53.716833;86.8404938;180.0;-8.117295012253257;-1.45932590751671;-0.7126436781609342;2547.0;93.6;10.367685717330064;56.05;0.0;-0.9579891913939024;0.1366370959518711;Груженный движется вперед;95;7530G;240;1321.0;17.0;25.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;2.6413854166666666;7.6;12.7;12.8;11.0;-0.2644985505885534;0.336084693319862;0;6.9;12.075000000000001;10.4;10.4;point_60%;2;6.9;10.4;15.0;1;0;-;0.0;0;0;0.0;0.0
14;146.0;15.0;53.7168797;86.8407197;184.0;-1.693898716648576;-1.3490321591904246;-0.5402298850574832;2547.0;93.2;15.763603337832762;47.0;0.0744366268991536;-0.962577750586316;0.0285510349750178;Груженный движется вперед;95;7530G;240;1284.0;17.0;26.5;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;2.693607638888889;6.4;10.9;11.9;13.2;0.3978123455252329;0.9746874316825345;0;6.9;10.005;10.4;10.4;point_60%;2;6.9;10.4;15.0;1;0;-;0.0;0;0;0.0;0.0
15;170.0;17.0;53.7170545;86.8409201;186.0;-0.06036753767126951;-1.2412225100946215;-0.1333333333333378;2547.0;92.8;23.514650467478813;186.6;-0.0469052717446721;-0.9666564698684612;0.0010196798205363;Груженный движется вперед;95;7530G;240;1281.0;60.0;99.5;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;2.900940972222222;9.2;8.6;11.0;15.4;0.944158897915365;1.0364498091370056;0;10.005;6.9;10.4;15.08;point_60%;2;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
16;190.0;18.0;53.7172138;86.8410794;186.0;4.81189284038223;-1.0527010279421338;0.4567049808429184;2547.0;92.8;20.60594188086484;403.65;-0.0254919955134087;-0.968695829509534;-0.0815743856429081;Груженный движется вперед;95;7530G;240;1706.0;97.0;100.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;3.3494409722222223;6.7;5.9;8.7;14.2;1.6226476959831737;1.0364515351733898;0;6.9;6.9;10.4;15.08;point_60%;2;6.9;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
17;212.0;20.0;53.7173785;86.8412441;189.0;3.4128443454436144;-0.9075277867875653;1.177011494252893;2547.0;92.4;21.30442710343285;418.15;-0.0448659121035994;-0.9564596716630978;-0.0571020699500356;Груженный движется вперед;95;7530G;240;1826.0;89.0;100.0;784.0;24.0;788.0;24.0;852.0;38.0;872.0;34.0;28.0;37.0;872.0;42.0;3.814052083333333;4.2;8.0;15.9;5.8;2.2468508139720926;0.9740063226884601;0;6.9;6.9;15.08;10.4;point_60%;2;6.9;10.4;0.0;0;0;-;0.0;1;0;0.0;20.0
