;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;9.0;53.7230373;86.8361765;197.0;-0.6598320994337212;-0.4738296784712827;0.12297026090128003;;60.8;0.0;150.89999999999998;-0.0336494340776996;-1.017640460895279;0.011726317936168;Груженный движется вперед;95;7530G;240;1094.5;55.0;100.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;0.1676666666666666;8.6;4.9;10.3;10.5;1.1839094507509875;-1.4781303270208195;1;8.7;6.0;10.6;10.6;point_90%;1;6.0;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
1;10.0;8.0;53.7229488;86.8361904;191.0;2.8238850254733436;-1.4844579641375542;0.5157537226502644;;61.6;9.894392788066693;371.625;-0.0836137452839808;-1.009483022330988;-0.0499643112062812;Груженный движется вперед;95;7530G;240;1562.0;98.0;100.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;0.5805833333333332;4.9;5.9;14.0;6.9;2.2472704984407668;-1.7230939171975312;1;6.0;6.0;15.37;10.6;point_90%;1;6.0;10.6;0.0;0;0;-;0.0;1;0;0.0;0.0
2;22.0;13.0;53.7228451;86.8361635;195.0;2.1515880753370653;-2.3468260530191767;1.1579161579161523;;61.6;11.679211795225468;325.79999999999995;-0.061180789232181;-1.0023452635872336;-0.037728153359845;Груженный движется вперед;95;7530G;240;1478.0;90.0;99.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;1.1235833333333332;7.6;4.9;10.5;12.3;3.146458964430289;-1.711542687884724;1;6.0;6.0;15.37;10.6;point_90%;1;6.0;10.6;0.0;0;0;-;0.0;1;0;0.0;0.0
3;40.0;13.0;53.7226768;86.8361232;197.0;7.524295338772522;-3.069587545135248;2.031872342217168;;62.0;18.92250059181426;71.94999999999999;0.0989089425920261;-0.8667278474558988;-0.1152238197206077;Груженный движется вперед;95;7530G;240;1021.0;24.0;39.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;1.2235138888888888;5.2;12.3;17.8;12.1;3.894688878516841;-1.6357174793330334;1;6.0;12.299999999999999;15.37;10.6;point_90%;1;6.0;10.6;0.0;0;0;-;0.0;1;0;0.0;0.0
4;57.0;10.0;53.722533;86.8361074;201.0;5.321259501711283;-3.6613960405048673;3.120037051071535;;61.6;16.04180799902033;352.67499999999995;-0.1244009381054349;-1.0105027021515245;-0.0948302233098807;Груженный движется вперед;95;7530G;240;1524.5;94.5;100.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;1.6153749999999998;7.1;7.5;15.4;9.8;4.505174270497708;-1.707217522633088;1;6.0;8.7;15.37;10.6;point_90%;1;6.0;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
5;68.0;14.0;53.722433;86.8360842;199.0;5.628013320456529;-4.130905139147132;4.404825059997476;;61.2;11.2365353981404;232.15;-0.0356887937187723;-0.8891608035076985;-0.0876924645661262;Груженный движется вперед;95;7530G;240;1608.5;60.0;61.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;1.808833333333333;4.6;8.3;13.5;10.9;4.991129170170179;-1.8993529025539342;1;6.0;8.7;10.6;10.6;point_90%;1;6.0;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
6;82.0;14.0;53.7223122;86.8360146;202.0;5.636812750002739;-4.486768441081141;5.868651144513217;;60.8;14.207597261099314;377.075;-0.095849903130417;-0.9248495972264708;-0.0917711838482716;Груженный движется вперед;95;7530G;240;1782.0;87.0;89.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;2.227805555555556;6.5;3.9;11.0;13.7;5.365767607331538;-1.9407686221947467;1;6.0;6.0;10.6;10.6;-;0;6.0;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
7;100.0;17.0;53.7221636;86.8359172;200.0;1.4014354207384234;-4.737639546325992;7.49393008013698;;60.8;17.742882227776146;410.9500000000001;-0.0163148771285816;-0.9584990313041704;-0.023452635872336;Груженный движется вперед;95;7530G;240;1810.0;90.0;99.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;2.6844166666666665;7.4;6.2;10.3;10.7;5.642303611779074;-2.105093737728752;1;6.0;6.0;10.6;10.6;-;0;6.0;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
8;123.0;17.0;53.7219853;86.8357389;201.0;8.32686134778259;-4.892172054900784;9.263076642386991;;61.2;23.06294735986427;435.5750000000001;-0.0591414295911083;-0.9177118384827164;-0.1345977363107984;Груженный движется вперед;95;7530G;240;1794.5;98.0;100.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;3.168388888888889;5.5;5.4;14.0;10.9;5.83395121331007;-2.1050950447429586;0;6.0;6.0;15.37;10.6;point_30%;2;6.0;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
9;140.0;17.0;53.721852;86.8356056;198.0;5.0584868767123545;-4.9590195668246135;11.158505606781475;;60.8;17.242253710710497;242.175;-0.0887121443866625;-0.9982665443050882;-0.0887121443866625;Груженный движется вперед;95;7530G;240;1643.5;57.0;65.0;812.0;34.0;808.0;36.0;892.0;52.0;904.0;48.0;8.0;49.0;872.0;53.0;3.504743055555556;5.1;6.2;12.8;8.0;5.953924441721816;-2.176374854715484;0;6.0;6.0;15.37;10.6;point_30%;2;6.0;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
