;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
209;5830.0;9.0;53.7010146;86.8627938;201.0;2.079267303487436;-2.0635298664229427;150.27049808429396;;84.0;10.20101770817813;151.95;-0.1386764555929438;-1.0298766187417152;-0.037728153359845;Груженный движется вперед;95;7530G;240;937.0;54.5;100.0;797.7037037037037;30.574074074074076;796.0;29.0;885.3913043478261;45.0;882.4444444444445;41.0;8.88888888888889;44.22222222222222;862.3050847457627;46.57627118644068;70.22684606481485;9.3;9.9;15.4;16.5;-0.2894181705579786;2.3614216398480634;9.569999999999999;9.569999999999999;15.37;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
210;5841.0;7.0;53.7010808;86.8626808;197.0;0.4492757552471113;-2.781337207135528;150.18773946360432;;83.2;10.476927316084597;128.375;-0.1050270215152442;-1.0349750178443968;-0.0081574385642908;Груженный движется вперед;95;7530G;240;1000.0;51.0;100.0;797.6296296296297;30.59259259259259;796.0;29.0;884.8695652173913;45.0;882.3703703703703;41.0;8.825396825396826;44.20634920634921;862.3389830508474;46.58474576271186;70.51212384259263;6.6;7.9;14.2;10.4;0.2521150508611913;2.0743472933324822;6.6;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
211;5857.0;6.0;53.7012134;86.8625574;197.0;0.40079046868267754;-3.314318597530904;150.22835249042424;;83.2;16.853121826092387;113.725;-0.0591414295911083;-1.0186601407158151;-0.0071377587437544;Груженный движется вперед;95;7530G;240;905.0;49.0;100.0;797.5555555555555;30.61111111111111;796.0;29.0;884.3478260869565;45.0;882.2962962962963;41.0;8.761904761904763;44.19047619047619;862.3728813559322;46.59322033898305;70.63848495370374;7.2;8.5;10.0;10.6;0.3256807025514739;1.8581786055401777;6.6;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
212;5865.0;8.0;53.7012817;86.8625233;194.0;-1.6921783580227308;-4.002320884291284;150.19693486590316;;83.2;7.928401092018415;227.9;-0.0856531049250535;-1.0319159783827878;0.0305903946160905;Груженный движется вперед;95;7530G;240;1283.5;69.5;99.5;797.4814814814815;30.62962962962963;796.0;29.0;883.8260869565217;45.0;882.2222222222222;41.0;8.6984126984127;44.17460317460318;862.4067796610169;46.60169491525424;70.95501273148152;5.0;10.0;14.6;4.5;0.6553395759733043;1.7058825991910522;6.6;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
213;5877.0;8.0;53.7013858;86.8624994;194.0;1.9859994552762013;-4.005897625114768;150.16475095785717;;83.6;11.695101171594755;178.72500000000002;-0.0713775874375446;-0.9972468644845518;-0.0346691138982359;Груженный движется вперед;95;7530G;240;1204.0;59.0;100.0;797.4074074074074;30.64814814814815;796.0;29.0;883.304347826087;45.0;882.1481481481482;41.0;8.634920634920636;44.15873015873016;862.4406779661017;46.61016949152543;71.20324189814818;6.9;8.7;13.4;13.3;0.9192557106339909;1.4549011176886248;6.6;9.569999999999999;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
214;5888.0;5.0;53.7014814;86.8625182;199.0;2.0398876448738203;-3.9259456238808497;150.17624521073074;;84.4;10.714198126658546;114.9;-0.058121749770572;-1.0003059039461608;-0.0356887937187723;Груженный движется вперед;95;7530G;240;928.0;48.0;100.0;797.3333333333334;30.666666666666668;796.0;29.0;882.7826086956521;45.0;882.074074074074;41.0;8.571428571428571;44.142857142857146;862.4745762711865;46.61864406779661;71.36282523148151;8.6;4.5;4.5;15.6;1.2789342573823124;1.300646759798212;9.569999999999999;6.6;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
215;5893.0;5.0;53.7015295;86.8625407;200.0;1.4482106734702784;-4.460623540248895;150.29655172414073;;84.4;5.556071617727789;64.6625;-0.0530233506678902;-1.0069338227796472;-0.0254919955134087;Груженный стоит;95;7530G;240;775.0;29.0;60.0;797.2592592592592;30.685185185185183;796.0;29.0;882.2608695652174;45.0;882.0;41.0;8.507936507936508;44.12698412698413;862.5084745762712;46.6271186440678;71.43467245370373;7.8;4.4;5.6;13.6;1.7585960732813932;2.633222137288575;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;5.0;1;0;[53.701536541727094, 86.86252210399579];1.455098845000576;0;0;0.0;0.0
216;5896.0;4.0;53.7015422;86.8625022;202.0;1.8899178234807485;-4.778246642535147;150.5463601532595;;84.0;2.906320651058355;14.84375;-0.0667890282451309;-1.0020903436320996;-0.0331395941674313;Груженный стоит;95;7530G;240;720.0;10.0;20.5;797.0740740740741;30.73148148148148;796.0;29.0;880.9565217391305;45.0;881.8148148148148;41.0;8.34920634920635;44.08730158730159;862.593220338983;46.64830508474576;71.45528877314817;7.2;4.1;6.0;13.3;1.3659856360074947;1.0362862750700867;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;5.0;1;0;-;0.0;0;0;0.0;0.0
217;5897.0;2.0;53.70154425;86.86250425;202.0;1.916674770755423;-5.170977726995758;150.70191570881505;;84.0;0.0776192952419621;77.5640625;-0.0657693484245946;-1.00336494340777;-0.0336494340776995;Груженный стоит;95;7530G;240;720.0;10.0;21.0;796.3333333333333;30.916666666666668;796.0;29.0;876.0;45.0;881.0740740740741;41.0;8.0;44.0;862.9322033898304;46.733050847457626;71.8862002314815;7.2;4.7;6.0;12.8;1.3818132681744761;1.7164330262499092;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;5.0;1;0;-;0.0;0;0;0.0;0.0
218;5904.0;9.0;53.7016058;86.862489;194.0;3.2293109411242256;-5.261911554479194;150.8727969348687;;83.2;6.889998516338773;128.45;-0.0642398286937901;-0.9737942286122158;-0.0550627103089629;Груженный стоит;95;7530G;240;1094.0;52.0;100.0;796.0;31.0;796.0;29.0;876.0;45.0;880.4444444444445;41.0;8.0;44.0;863.2203389830509;46.80508474576271;72.02892245370371;6.3;8.2;12.1;11.8;1.6197884711166002;1.8833660768779241;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
