;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
229;6005.0;6.0;53.7025044;86.8624148;194.0;5.815679053145204;-3.0198992058967242;153.8260536398496;;83.2;5.021222403810794;152.875;-0.0265116753339451;-0.9707351891506067;-0.0989089425920261;Груженный движется вперед;95;7530G;240;1098.0;55.0;100.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.5932203389831;46.898305084745765;73.43124189814817;6.2;5.0;8.7;12.8;0.1983786855947043;1.5707963267948966;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
230;6011.0;7.0;53.7025556;86.8624148;196.0;4.156616832996754;-2.6881519172785886;153.93486590038597;;83.2;5.699654437714837;83.1;0.0295707147955541;-0.9676761496889976;-0.0703579076170082;Груженный движется вперед;95;7530G;240;1512.5;24.0;24.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.6271186440678;46.90677966101695;73.5235752314815;5.0;5.6;9.4;13.4;0.07977422819211144;1.304353714100268;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
231;6022.0;13.0;53.7026506;86.8624586;202.0;1.0437171279073514;-2.302737158517759;153.99157088122888;;82.8;10.962352861418008;143.97500000000002;-0.0907515040277353;-1.00336494340777;-0.0183542367696543;Груженный движется вперед;95;7530G;240;1029.0;56.0;100.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.6610169491526;46.91525423728814;73.76353356481484;6.7;10.6;13.3;7.5;-0.3286706978281274;1.3202224999605634;6.6;11.549999999999999;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
232;6037.0;9.0;53.7027859;86.8625171;194.0;-2.4419517953135084;-1.986018867222428;153.9900383141791;;83.6;15.54732200254269;190.35;0.0418068726419904;-1.00336494340777;0.0428265524625267;Груженный движется вперед;95;7530G;240;1292.0;60.0;99.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.6949152542373;46.92372881355932;73.97503356481484;6.4;7.8;8.1;14.3;-0.35706818676051455;0.402941092532054;6.6;6.6;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
233;6049.0;10.0;53.7028291;86.8626883;189.0;2.0553693060022273;-1.7364146850139184;154.0365542503473;;83.2;12.264175726109949;146.6;-0.1437748546956255;-0.9839910268175792;-0.0356887937187723;Груженный движется вперед;95;7530G;240;1231.0;48.0;64.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.728813559322;46.932203389830505;74.13792245370372;6.1;8.1;16.5;11.8;-0.430256600833411;0.01633682497146749;6.6;6.6;15.37;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
234;6060.0;8.0;53.7028306;86.8628434;192.0;-0.9705301360292864;-1.5215618846528614;154.07000407000405;;83.2;10.222343843530336;143.9375;-0.0560823901294993;-1.0217191801774244;0.0173345569491179;Груженный движется вперед;95;7530G;240;1127.0;50.5;82.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.7627118644068;46.940677966101696;74.25787037037038;5.9;9.8;12.8;6.7;-0.4734862896203573;-0.5187739490410421;6.6;9.569999999999999;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
235;6068.0;7.0;53.7027918;86.8629582;193.0;0.4736321608241566;-1.3462368432917549;154.09164526405903;;83.6;8.71142770458213;141.27499999999998;-0.0387478331803813;-0.986030386458652;-0.0081574385642908;Груженный движется вперед;95;7530G;240;1060.0;53.0;100.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.7966101694915;46.94915254237288;74.4148425925926;8.5;5.3;4.4;15.8;-0.48562578286813096;-0.8766530532685728;6.6;9.569999999999999;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
236;6076.0;2.0;53.7027386;86.863033;192.0;-2.534274869261484;-1.2152159380831353;154.10273532342498;;84.0;7.705280719985937;164.15;0.0713775874375446;-0.9880697460997246;0.0438462322830631;Груженный движется вперед;95;7530G;240;1227.0;55.0;99.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.8305084745763;46.95762711864407;74.5972314814815;6.3;7.4;5.9;12.8;-0.465543610323516;-0.8373821668331272;6.6;9.569999999999999;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
237;6078.0;2.0;53.70272845;86.86304845;198.5;-2.2295292970289977;-1.133275546179541;154.1045317390145;;84.0;1.6142621070626022;188.2;0.0104517181604976;-0.9952075048434792;0.0387478331803813;Груженный движется назад;95;7530G;240;1182.5;55.5;99.75;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.9152542372881;46.97881355932204;74.85862037037039;8.6;8.7;6.4;14.7;-0.4121083017332934;-3.0997878867344033;9.569999999999999;9.569999999999999;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
238;6080.0;2.0;53.7027278;86.8630222;210.0;-3.1694006392893477;-1.1051920447335073;154.09829200174028;;84.0;1.7492070323989173;98.825;-0.020393596410727;-0.9941878250229428;0.0550627103089629;Груженный стоит;95;7530G;240;1714.5;30.5;40.5;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;864.0;47.0;74.96842592592594;8.4;8.4;6.8;13.9;-0.3241883868442512;2.679131504162455;6.6;6.6;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
239;6084.0;3.0;53.7027453;86.8629629;212.0;-1.6264369458955694;-1.1357418108975716;154.085273602515;;84.0;4.366505941888255;154.7;-0.061180789232181;-0.9676761496889976;0.0275313551544814;Груженный стоит;95;7530G;240;1130.0;55.0;100.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;864.0;47.0;75.18328703703705;7.9;8.1;9.0;13.4;-0.2006523954031687;2.389436576045896;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
240;6090.0;3.0;53.7027818;86.862897;206.0;1.6748262831130678;-1.2297012218242696;154.0667340322513;;83.2;5.947225544774518;166.1625;-0.040787192821454;-1.0105027021515245;-0.0295707147955541;Груженный движется назад;95;7530G;240;926.0;56.5;99.5;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;864.0;47.0;75.36791203703704;6.8;6.2;8.6;13.6;-0.04036885715683214;1.6263946168669312;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
241;6093.0;3.0;53.7028052;86.8628948;208.5;0.45883795376261727;-1.391846654666141;154.04393078186186;;83.2;2.481470594023509;174.25625;-0.0305903946160904;-1.018150300805547;-0.0081574385642907;Груженный стоит;95;7530G;240;1194.5;57.25;99.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;864.0;47.0;75.65833912037037;7.5;7.4;10.6;11.8;0.15779369814797528;1.6222813513908996;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
242;6098.0;2.0;53.7028523;86.8628907;215.5;1.5711956317357763;-1.6269544865757197;154.01812134225935;;82.8;5.121574148207906;106.5;-0.0351789538085041;-0.9845008667278476;-0.0270215152442132;Груженный стоит;95;7530G;240;1224.25;36.0;63.5;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;864.0;47.0;75.92458912037037;6.1;9.0;13.4;9.0;0.39496674076447125;1.8164564018751186;6.6;9.569999999999999;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
243;6104.0;1.0;53.70290625;86.86286785;217.0;-1.6102776865027326;-1.939801094705543;153.9905632043564;;82.8;6.2517302948373565;260.0625;-0.0326297542571632;-1.015091261343938;0.0285510349750178;Груженный стоит;95;7530G;240;1715.25;61.0;71.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;864.0;47.0;76.06906828703704;9.1;10.4;12.9;13.1;0.6722817409458699;1.0363004894936587;9.569999999999999;9.569999999999999;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
244;6105.0;3.0;53.7029088;86.8628704;217.5;4.376511838778927;-2.3351628562081475;153.96251385906567;;82.8;0.4139660954419696;147.02499999999998;-0.0438462322830631;-0.9115937595594984;-0.06984806770674;Груженный стоит;95;7530G;240;1470.0;42.5;70.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;864.0;47.0;76.27326967592593;8.0;11.9;14.0;12.3;0.9908701689453907;1.0363008670867262;6.6;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
245;6109.0;3.0;53.70294;86.8629016;217.0;0.281865632169012;-2.8178161482360706;153.93523079729988;;82.4;4.036168997174256;128.85;-0.0275313551544814;-1.0359946976649332;-0.0050983991026817;Груженный движется вперед;95;7530G;240;1050.0;50.0;98.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;864.0;47.0;76.27326967592593;6.1;9.1;11.8;8.8;1.3518634950162456;1.5707963267948966;6.6;9.569999999999999;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
