vel;vel_std;acc_Y_max;acc_Y_std;acc;acc_max;acc_std;acc_range;fb_tilt_max;fb_tilt_std;tilt_max;tilt_std;hole;lat;lon
5.0;1.6761634196950517;-4.013868128317795;0.23452275215223975;4.451509619003463;9.223004054048484;1.7387046414717668;4.771494435045021;-0.9788926277148976;0.017974331826515002;0.0851432650147853;0.08364416138403798;0;53.72917058571428;86.84434315714286
7.0;1.6761634196950517;-4.013868128317795;0.23452275215223975;6.580573070181316;9.223004054048484;1.7387046414717668;4.771494435045021;-0.9788926277148976;0.017974331826515002;0.0851432650147853;0.08364416138403798;1;53.72917058571428;86.84434315714286
7.0;1.6761634196950517;-4.013868128317795;0.23452275215223975;4.6871523757260425;9.223004054048484;1.7387046414717668;4.771494435045021;-0.9788926277148976;0.017974331826515002;0.0851432650147853;0.08364416138403798;1;53.72917058571428;86.84434315714286
9.0;1.6761634196950517;-4.013868128317795;0.23452275215223975;8.159305741678304;9.223004054048484;1.7387046414717668;4.771494435045021;-0.9788926277148976;0.017974331826515002;0.0851432650147853;0.08364416138403798;1;53.72917058571428;86.84434315714286
9.0;1.7728105208558373;-3.648558036142661;0.3843188456541784;9.223004054048484;9.223004054048484;1.5023373646320939;4.535851678322442;-0.9788926277148976;0.018246354283147043;0.0851432650147853;0.07855088819855932;0;53.72926691428571;86.84432611428572
8.0;2.1380899352993965;-3.2251616776205587;0.5502783080391581;7.43540268570439;9.223004054048484;1.5060616201107844;4.535851678322442;-0.9788926277148976;0.01703818711698361;-0.0061180789232181;0.04222930891239097;0;53.72937255714286;86.84432204285713
10.0;2.0701966780270653;-2.754730307408863;0.7027044879111304;6.751562845518312;9.223004054048484;1.324162083516419;3.7214056175725636;-0.9788926277148976;0.018845038298774614;-0.0805547058223717;0.020306007188132823;0;53.729480342857144;86.84434937142858
12.0;3.03942350423485;-2.248315180164951;0.8352004053997963;5.774670810152062;9.223004054048484;1.2317971246382575;3.7214056175725636;-0.9788926277148976;0.017700226897741644;-0.0805547058223717;0.020306007188132823;1;53.72958674285714;86.84440457142856
13.0;2.9920529661723863;-1.7169675505461963;0.945738241392473;6.496535869916475;7.43540268570439;0.68942909766479;1.9338042492284693;-0.9595187111247068;0.02443992346730156;-0.0805547058223717;0.011845519180531703;0;53.7296962;86.84449208571428
13.0;2.5448360411214117;-1.171738673209974;1.0334954287746043;5.501598436475921;8.253435518637046;0.9170667331645709;2.751837082161125;-0.9595187111247068;0.02347268311844728;-0.0805547058223717;0.020686472197323467;0;53.7298138;86.84462797142858
17.0;2.5448360411214117;-0.6236798028136793;1.0980852405960073;7.024352880329522;8.944975815476731;1.291167866285821;3.44337737900081;-0.9595187111247068;0.02400763180912992;-0.0805547058223717;0.028057743425626332;0;53.72992621428572;86.8447915857143
15.0;2.9358214555806414;0.1278755847202496;1.1906843816810386;6.129812199961344;8.944975815476731;1.197125327505514;3.44337737900081;-0.9595187111247068;0.022928494406566795;-0.0856531049250535;0.02461151880921988;0;53.73003035714286;86.84496887142858
10.0;2.968084198523321;0.6636859528465504;1.2441611407184714;8.253435518637046;8.944975815476731;1.174972783610981;3.44337737900081;-0.9595187111247068;0.0205291035254295;-0.0856531049250535;0.023810904033576503;0;53.730124342857145;86.8451542857143
10.0;3.0394235042348487;1.0206329452425469;1.2272004679038804;8.944975815476731;8.944975815476731;1.0846478949328344;3.031294012193153;-0.9595187111247068;0.015850005190534783;-0.0989089425920261;0.020154266789536173;0;53.73021061428572;86.84534295714285
9.0;4.649628761422533;1.330708124293983;1.151790630820467;6.9581735150523425;8.944975815476731;2.0100505054288313;6.172305261719732;-0.9595187111247068;0.015661457578232802;-0.0418068726419904;0.03707886892134141;0;53.73030075714286;86.84557572857145
11.0;7.24404517353326;1.4713691955761743;1.0050745258415874;7.336140811165946;8.944975815476731;2.5165083233100547;6.294291225705692;-0.9839910268175792;0.010850758619037002;-0.0387478331803813;0.04657689584910136;0;53.73038954285715;86.84582908571429
10.0;9.055385138137419;1.7503481479537106;0.8345245559229896;5.913681803283578;8.944975815476731;2.621432101529268;6.340941506970741;-0.9839910268175792;0.016543911359468838;-0.0346691138982359;0.049656168839476676;0;53.73046812857143;86.8461015
22.0;9.990471651004464;2.0246764034289635;0.651017127382972;2.7726705537569996;7.336140811165946;2.1785079476289892;4.732106502659956;-0.9534006322014889;0.024236491233514693;-0.0346691138982359;0.043232729471922665;0;53.730553057142856;86.84642414285713
27.0;9.340133577101309;2.0246764034289635;0.47563503540148866;2.6506845897710387;7.336140811165946;1.900672225576165;4.732106502659956;-0.9534006322014889;0.02475193940561651;-0.0346691138982359;0.03810487948827281;0;53.73065565714286;86.84681931428572
30.0;7.782764841072138;2.0246764034289635;0.33316704123422985;2.60403430850599;5.913681803283578;1.2402110389100323;3.309647494777588;-0.9534006322014889;0.02475193940561651;-0.0346691138982359;0.02554535147524627;0;53.730780114285714;86.8472729142857
32.0;6.29436633975555;2.0246764034289635;0.22607644306339758;2.9487070985129726;5.585129126739224;1.1364813802449851;2.9810948182332337;-0.9534006322014889;0.023928876143028674;-0.0346691138982359;0.02234006556562312;1;53.73092377142858;86.84773840000001
31.0;8.082903768654765;2.0246764034289635;0.17879712824162605;3.2656135817967478;6.964985888715812;1.6796198586566522;4.3609515802098215;-0.9534006322014889;0.023826234476719586;-0.0346691138982359;0.032495950414175856;1;53.731074400000004;86.84815965714287
