vel;vel_std;acc_Y_max;acc_Y_std;acc_Y_var;acc;acc_sum;acc_std;acc_var;fb_tilt_max;fb_tilt_std;tilt_max;tilt_std;energy_proxy;acc_ratio;hole;lat;lon
12.0;2.819996622760558;2.0097168712235915;0.6071234107142273;0.3685988358372763;2.010625629608998;19.44426956592651;1.6863851359447488;2.8438948267353887;-0.9574793514836342;0.018426927100736807;0.1029876618741715;0.05215293351180915;148.04261542244058;0.03007605454695938;1;53.726504042857144;86.83896667142857
13.0;2.819996622760558;2.0097168712235915;0.6071234107142273;0.3685988358372763;3.318229944885115;19.44426956592651;1.6863851359447488;2.8438948267353887;-0.9574793514836342;0.018426927100736807;0.1029876618741715;0.05215293351180915;180.01064996713228;1.6127000541721;1;53.726504042857144;86.83896667142857
11.0;2.819996622760558;2.0097168712235915;0.6071234107142273;0.3685988358372763;1.7586916893508162;19.44426956592651;1.6863851359447488;2.8438948267353887;-0.9574793514836342;0.018426927100736807;0.1029876618741715;0.05215293351180915;124.09299645819164;0.6443829105216701;1;53.726504042857144;86.83896667142857
14.0;2.819996622760558;2.0097168712235915;0.6071234107142273;0.3685988358372763;1.429292543261378;19.44426956592651;1.6863851359447488;2.8438948267353887;-0.9574793514836342;0.018426927100736807;0.1029876618741715;0.05215293351180915;198.04287717422258;0.6473337128240628;1;53.726504042857144;86.83896667142857
15.0;3.498298906339371;1.7486660965297045;0.6212580544746961;0.38596157024968436;1.1352589474047026;21.65755631153759;1.72561375282589;2.9777428239418513;-0.8687672070969715;0.04497723250913725;0.1029876618741715;0.05476562624008861;226.28881287766242;0.7361913587582807;1;53.72663427142857;86.83909689999999
17.0;3.38765264987284;1.4783467137742476;0.6330635393737187;0.4007694448843799;3.986831151702466;18.70580823232713;2.0004362339936352;4.001745126274638;-0.8687672070969715;0.04528003903577036;0.1029876618741715;0.04716265225294489;304.8948226321852;6.324967870707261;1;53.726767557142864;86.83925944285714
19.0;2.6367367999823097;1.199840910983407;0.6425390105085721;0.41285638002533487;5.805339659713034;17.817444453686345;2.0940422834551518;4.385013084898065;-0.8687672070969715;0.06552980121570157;0.1029876618741715;0.04651360368356462;394.701968564637;17.77822102370806;1;53.72689857142857;86.83943068571429
21.0;2.497617912751115;0.9142308761833676;0.6496838366639534;0.4220890876223944;4.223912375220079;19.13973634967019;2.0354053483949937;4.142874932274946;-0.8687672070969715;0.06852586544784761;0.1029876618741715;0.05309147231755816;458.8414357535373;165.01120883292285;1;53.72703792857143;86.83961392857142
14.0;3.047247001100221;0.6225987974003158;0.6544975716465836;0.4283670712912749;0.36648186567465374;20.50504191368856;1.9187147285121189;3.6814662094093342;-0.8687672070969715;0.06776296585699015;0.1029876618741715;0.05848394075910706;196.13430895786837;-0.8618445551259181;1;53.72719965714286;86.83979394285714
16.0;3.236694374850749;0.3260268626604365;0.6569799283947468;0.4316226263135667;0.8703279107100333;20.554524441382693;1.923345845073671;3.699259239762153;-0.8687672070969715;0.06651063998076467;0.1029876618741715;0.06190564724294734;256.7574706721609;-1.1101182461151693;1;53.727373914285714;86.83997185714284
19.0;3.408672412985388;0.0255972599899161;0.6571307629663531;0.4318208396367413;2.751584439245224;18.40442364767964;1.517722067369774;2.303480273781181;-0.8687672070969715;0.06636065662501427;0.0642398286937901;0.04448133213189028;368.5712169262965;-2.932776138690982;1;53.72758972857143;86.84014378571429
23.0;3.7859388972001833;-0.2776078225850602;0.6987715217309439;0.48828163958217896;2.5005645114230712;19.09884607764206;1.6557485023032807;2.741503102879557;-0.9788926277148976;0.03551199279689492;-0.0040787192821454;0.026648586408426597;535.2528228757885;-1.841995138496358;0;53.72781552857143;86.8402927857143
22.0;3.3022358947782506;-0.5825061970383065;0.7469699839166002;0.5579641568723659;4.036313679396599;22.265695938685596;1.296503586726343;1.680921550394272;-0.9880697460997246;0.039230547929650875;-0.0122361578464362;0.02055320721287393;500.2918281184841;-2.5048633844686004;0;53.728056200000005;86.84042374285715
22.0;2.3094010767585043;-0.8880156753436386;0.7748974129427371;0.6004660005853468;3.65523886600998;26.08906806904476;0.9080839832006499;0.8246165205455581;-0.9880697460997246;0.033830115051132155;-0.0387478331803813;0.013777811275125193;497.3607711675899;-1.7707865083553147;0;53.728320228571434;86.84054148571428
24.0;1.4960264830861927;-1.193054069474868;0.8286237613828505;0.6866173379282633;4.918334805182501;27.86108002704192;0.8348871947307341;0.6970366279253547;-0.9880697460997246;0.033790576340061156;-0.0387478331803813;0.013321041393742888;600.1900172558696;-1.9159667898354678;0;53.728594799999996;86.84065148571429
26.0;2.14919697074224;-1.496539191405812;0.897354767632775;0.8052455789932716;3.5333317267181887;31.889765398475657;1.014257288379084;1.0287178470300922;-0.945243193637198;0.04577066658382122;-0.0438462322830631;0.01431015844474498;688.4844330910333;-0.8662662393101774;1;53.7288671;86.84075555714286
25.0;2.0354009783964284;-1.7973888531103146;1.023225082567586;1.046989569595443;4.693700041069196;34.38098985947422;1.2182081437076424;1.4840310813956197;-0.945243193637198;0.04807966836606279;-0.0438462322830631;0.015101362898285633;647.0308200755329;-1.2155750162454042;0;53.72920897142858;86.84086337142857
24.0;1.7994708216848732;-2.275707643731984;0.9577686058972019;0.9173207024422697;4.5235963972423825;36.15761817529734;1.0912998629822295;1.1909353909450329;-0.945243193637198;0.04873427501823183;-0.0438462322830631;0.015878094224426174;596.4629243651443;-0.8288369217427562;0;53.7295363;86.84094567142857
