len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0.0;5.0;53.7261174;86.844991;225.0;2054.0;76.0;0.0;100.7;-0.0173345569491179;-1.0625063729988784;0.0285510349750178;Груженный движется вперед;95;7530G;240;816.5;48.0;100.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];0.08391666666666667;6.3;7.0;10.2;10.7;-1.5390427513920275;-3.208405168345868;1.1230937000163157;-0.5166940339354067;-2.1050510398395392;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0
7.0;6.0;53.7260609;86.8449345;229.0;2054.0;75.6;7.308044124691844;140.4;-0.0555725502192311;-0.9758335882532884;-0.0662791883348628;Груженный движется вперед;95;7530G;240;1072.0;53.0;100.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];0.2789166666666667;5.6;5.8;10.7;10.8;3.8793288653879108;-2.423571529694792;1.1020022097740731;-0.3672687465790859;-1.8996973802595525;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0
14.0;8.0;53.7260004;86.8448996;226.0;2054.0;76.0;7.116396628020732;145.55;-0.0132558376669725;-0.9855205465483838;-0.0285510349750178;Груженный движется вперед;95;7530G;240;900.0;1.0;2.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];0.4406388888888889;6.1;5.9;10.2;10.7;1.659273928536723;-1.8853407880287247;1.104420133694656;-0.20383141762451656;-2.40335177731033;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0
24.0;9.0;53.7259407;86.8447887;224.0;2054.0;76.0;9.875186918862724;150.7;-0.0224329560517997;-0.9819516671765066;-0.0433363923727949;Груженный движется вперед;95;7530G;240;1123.0;54.0;100.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];0.6499444444444444;5.8;4.9;7.0;12.0;2.5263318555302154;-1.5693335504157715;1.1287201589325473;-0.022079070354928676;-2.381540381346565;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0
35.0;10.0;53.7258749;86.8446717;226.0;2054.0;75.6;10.631890492347475;104.375;-0.104517181604976;-0.9727745487916796;-0.0336494340776996;Груженный движется вперед;95;7530G;240;836.0;49.0;100.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];0.736923611111111;4.0;7.1;16.3;3.8;1.9698115738761286;-1.4511704239240353;1.1732749726422307;0.18229127194644756;-2.4625071437735473;5.9;5.9;17.325;9.9;point_60%;5.9;9.9;1;0;0;0;-;0.0;0;0;0;0
47.0;10.0;53.7258047;86.8445247;225.0;2054.0;76.0;12.442252068832204;156.325;-0.0836137452839808;-1.015601101254206;-0.003059039461609;Груженный движется вперед;95;7530G;240;1172.0;54.0;100.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];0.9106180555555554;7.4;6.2;9.6;11.2;0.17199521336785825;-1.506472015621621;1.236457261978189;0.41358258599638176;-2.10505469202634;5.9;5.9;9.9;9.9;point_60%;5.9;9.9;1;0;0;0;-;0.0;0;0;0;0
59.0;10.0;53.7257161;86.8444361;223.0;2054.0;76.4;11.460071186602917;44.75;0.0020393596410727;-0.9737942286122158;0.0285510349750178;Груженный движется вперед;95;7530G;240;1299.0;16.0;25.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];0.9603402777777776;6.1;9.4;10.4;12.0;-1.679391470576232;-1.710858932576633;1.3166397140949062;0.6760978485116438;-1.9259332240941576;5.9;8.555;9.9;9.9;point_60%;5.9;9.9;1;0;0;0;-;0.0;0;0;0;0
67.0;8.0;53.7256475;86.8443931;221.0;2054.0;77.2;8.144896024529762;39.45;-0.037728153359845;-1.023758539818497;0.0316100744366268;Груженный движется вперед;95;7530G;240;1296.0;14.0;22.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];1.0151319444444442;7.0;6.9;10.0;10.0;-1.7673319724692007;-2.0399517818571735;1.4121950161468648;0.9741400362090038;-1.940502400823839;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0
76.0;9.0;53.7255733;86.8443445;228.0;2054.0;76.4;8.858587940001415;267.67499999999995;-0.023452635872336;-0.9941878250229428;-0.0642398286937901;Груженный движется вперед;95;7530G;240;1371.0;78.0;99.5;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];1.3125486111111109;3.3;6.6;11.5;10.1;3.6960239235914143;-2.4693711705313506;1.5214958552885487;1.3120121258052309;-1.336445077536475;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0
86.0;11.0;53.7254821;86.8443813;224.0;2054.0;76.0;10.437824758505014;217.15;-0.0346691138982359;-1.0257978994595698;-0.0479249515652085;Груженный движется вперед;95;7530G;240;1468.5;60.0;62.5;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];1.5538263888888886;6.1;4.7;7.8;11.6;2.6733713550392233;-2.974737705667264;1.6429149186744412;1.6940170940170955;-1.821706606389947;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0
102.0;14.0;53.7253466;86.8443226;224.0;2054.0;76.0;15.571642564254503;11.2;-0.040787192821454;-0.9564596716630978;-0.0356887937187723;Груженный движется вперед;95;7530G;240;1077.0;13.0;38.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];1.566270833333333;5.1;8.6;14.6;9.6;2.1349723054812237;-3.5316719943330233;1.7748248934590252;2.1244579175613674;-1.6478165370490134;5.9;8.555;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0
118.0;12.0;53.7251994;86.8443034;226.0;2054.0;76.4;16.435230065356865;117.7;-0.1019679820536351;-0.8973182420719894;-0.0672988681553992;Груженный движется вперед;95;7530G;240;1249.0;41.0;68.75;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];1.6970486111111107;7.3;7.8;13.8;10.5;4.261826667052162;-4.115794643596725;1.915598466796784;2.607637573154816;-1.7710327637460477;5.9;8.555;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0
132.0;10.0;53.7250825;86.8442633;222.0;2054.0;76.4;13.278783788205969;224.2;-0.0968695829509534;-1.020699500356888;-0.0601611094116447;Груженный движется вперед;95;7530G;240;1307.0;69.0;99.5;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];1.8838819444444441;7.4;6.6;11.7;11.8;3.3581167683784336;-4.702726260526479;2.0636083258422016;3.147859037514211;-1.7287838259674841;5.9;8.555;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0
143.0;13.0;53.7249774;86.844235;227.0;2054.0;76.4;11.847425095009823;301.7;-0.0316100744366268;-1.0492505353319057;-0.0622004690527174;Груженный движется вперед;95;7530G;240;1584.5;77.5;80.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];2.2191041666666664;5.0;5.9;10.1;10.6;3.3910375398476873;-5.268087452190492;2.2172271577498037;3.749425287356403;-2.0210104829160316;5.9;8.555;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0
161.0;15.0;53.7248376;86.8441208;229.0;2054.0;75.6;17.285116160918843;54.675;-0.0275313551544814;-0.9850107066381156;-0.0305903946160905;Груженный движется вперед;95;7530G;240;1191.0;22.0;22.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];2.2950416666666666;4.1;8.5;14.0;7.7;1.7781063513030984;-5.386156194782206;2.2381946639736316;4.406130268199329;-1.9511431572551898;5.9;8.555;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0
180.0;14.0;53.7246797;86.8440141;222.0;2054.0;75.6;18.93048973819386;157.75;-0.040787192821454;-0.9518711124706842;-0.0101967982053635;Груженный движется вперед;95;7530G;240;1166.0;54.0;100.0;796.0;34.0;796.0;31.0;864.0;49.0;876.0;46.0;24.0;46.0;872.0;50.0;/home/pi/adviser/route31;[];2.4703194444444443;6.3;7.8;13.4;11.8;0.6131876439685626;-5.643123398689986;2.4933005031377875;5.1547892720307615;-2.10506694241593;5.9;8.555;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0
