len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0.0;1.0;53.7260002;86.8454114;169.0;2252.0;78.0;0.05173839453210228;14.669642857142858;-0.0275313551544814;-1.0043846232283062;-0.0550627103089629;Груженный движется вперед;95;7530G;240;720.0;10.0;20.0;788.0;29.0;792.0;29.0;860.0;47.0;864.8860759493671;43.22151898734177;24.0;44.0;864.0;47.0;/home/pi/adviser/route30;[];0.18337053571428572;5.0;8.2;13.5;5.8;3.136771381763165;-0.9768895009408111;2.8659981857262258;-0.7940156905674081;-3.1220177775316156;6.6;6.6;14.935;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
2.0;1.0;53.7259999;86.8453855;188.0;2252.0;78.0;1.6927157628253398;56.16730769230769;-0.0224329560517997;-1.00336494340777;-0.0560823901294993;Груженный стоит;95;7530G;240;720.0;10.0;21.0;788.0;29.0;792.0;29.0;860.0;47.0;866.2784810126582;43.56962025316456;24.0;44.0;864.0;47.0;/home/pi/adviser/route30;[];0.4486050442612942;4.5;8.3;13.5;9.8;3.1983815510044202;-1.069075738441684;3.3485164460513843;-0.3490239007480343;-2.348666301663467;6.6;6.6;14.935;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
8.0;5.0;53.7259614;86.8453214;190.0;2252.0;77.6;5.978367479431859;142.8;-0.040787192821454;-1.009483022330988;-0.0458855919241358;Груженный стоит;95;7530G;240;1048.5;53.0;100.0;788.0;29.0;792.0;29.0;860.0;47.0;866.632911392405;43.65822784810126;24.0;44.0;865.939393939394;47.0;/home/pi/adviser/route30;[];0.6072717109279608;5.6;8.5;11.3;11.2;2.6004433898125696;-1.1114904820573266;3.631754842571558;0.006337978751774331;-2.105052462518703;6.6;6.6;14.935;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
13.0;1.0;53.7259215;86.8452815;187.0;2252.0;77.6;5.1609066581496705;117.73000000000002;-0.0132558376669725;-0.9870500662791885;-0.0805547058223717;Груженный движется вперед;95;7530G;240;1132.0;44.6;84.6;788.0;29.0;792.0;29.0;860.0;47.0;866.6835443037975;43.67088607594937;24.0;44.0;866.4242424242424;47.0;/home/pi/adviser/route30;[];0.6726772664835164;2.3;7.2;13.7;9.5;4.665239578514131;-1.1084145969085704;3.7362730360447034;0.2773356911287954;-2.10505245473919;6.6;6.6;14.935;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
14.0;1.0;53.7259161;86.8452761;191.0;2252.0;77.8;0.7502070880882774;80.125;0.00713775874375445;-1.01458142143367;-0.0474151116549403;Груженный стоит;95;7530G;240;960.0;32.0;61.5;788.0;29.0;792.0;29.0;860.0;47.0;866.7594936708861;43.689873417721515;24.0;44.0;867.1515151515151;47.0;/home/pi/adviser/route30;[];0.7617050442612943;2.4;7.6;12.4;8.9;2.6756290360364785;-1.0641289481162468;3.682630687228778;0.46923497957980675;1.0365403892848346;6.6;6.6;10.3;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
16.0;1.0;53.7259309;86.8452909;192.0;2252.0;77.2;1.86258305811918;42.52000000000001;0.0122361578464362;-1.0013255837666972;-0.0530233506678902;Груженный стоит;95;7530G;240;753.0;19.4;38.4;788.0;29.0;792.0;29.0;860.0;47.0;866.8354430379746;43.70886075949367;24.0;44.0;867.8787878787879;47.0;/home/pi/adviser/route30;[];0.7853272664835165;2.4;7.2;11.0;8.7;3.030935480101749;-0.9829144008011877;3.491387456881739;0.5873015873015857;1.0365404386377248;6.6;6.6;10.3;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
17.0;1.0;53.7259371;86.8452971;192.0;2252.0;77.2;0.8019454324353135;17.45;0.0163148771285816;-1.00336494340777;-0.0601611094116447;Груженный стоит;95;7530G;240;710.5;11.0;23.0;788.0;29.0;792.0;29.0;860.0;47.0;866.8860759493671;43.721518987341774;24.0;44.0;868.3636363636364;47.0;/home/pi/adviser/route30;[];0.7998689331501831;2.4;7.1;10.8;8.6;3.4308571811306026;-0.8690518200842248;3.1831030057615433;0.6368012574909103;1.0365405501377056;6.6;6.6;10.3;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
18.0;1.0;53.72594725;86.84530725;183.0;2252.0;77.6;1.138245076763637;72.52857142857144;0.0015295197308044998;-1.00336494340777;-0.05659223003976745;Груженный стоит;95;7530G;240;1061.0;27.0;48.0;788.0;29.0;792.0;29.0;860.0;47.0;867.2658227848101;43.81645569620253;24.0;44.0;872.0;47.0;/home/pi/adviser/route30;[];1.1625117902930404;2.8;8.1;12.6;8.3;3.228197644129547;-0.7268220710861891;2.778336994626147;0.6229997333445578;-2.4473270962053;6.6;6.6;10.3;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
23.0;5.0;53.7259224;86.8452568;186.0;2252.0;78.8;4.232349421345216;107.6875;-0.0693382277964719;-0.9992862241256244;-0.0458855919241358;Груженный стоит;95;7530G;240;773.0;41.0;76.75;788.0;29.0;792.0;29.0;860.0;47.0;867.6455696202531;43.91139240506329;24.0;44.0;875.6363636363636;47.0;/home/pi/adviser/route30;[];1.3120777625152626;5.8;7.2;11.7;10.9;2.622784396758215;-0.560506018927913;2.297649084233509;0.5511627580593061;-2.4438474488265927;6.6;6.6;10.3;10.3;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
27.0;4.0;53.7258972;86.845206;188.0;2252.0;79.6;4.366279590448127;145.2;-0.0101967982053635;-0.9870500662791885;-0.0723972672580809;Груженный движется вперед;95;7530G;240;1118.0;53.0;100.0;788.0;29.0;792.0;29.0;860.0;47.0;867.6962025316456;43.924050632911396;24.0;44.0;876.1212121212121;47.0;/home/pi/adviser/route30;[];1.473411095848596;8.2;5.3;5.9;15.0;4.194744735860335;-0.37438452873022765;1.7615989353415846;0.42655607483193325;-2.427870712808762;6.6;6.6;10.3;14.935;point_60%;6.6;10.3;1;0;0;0;-;0.0;0;0;0;0
