acc_X;acc_X_std;acc_Z;acc_Z_std;class;lat;lon
0.396699567746828;2.7774686488348506;-0.0458855919241358;0.0552909309735091;60.0;53.71418576;86.8410056
1.1173022739319936;2.7774686488348506;0.020393596410727;0.0552909309735091;60.0;53.71418576;86.8410056
-0.629235770272394;2.7774686488348506;-0.0346691138982359;0.0552909309735091;60.0;53.71418576;86.8410056
1.932005744877681;2.7774686488348506;-0.0601611094116447;0.0552909309735091;60.0;53.71418576;86.8410056
-0.4614447828795391;2.7774686488348506;-0.0897318242071989;0.0552909309735091;60.0;53.71418576;86.8410056
-1.709627972291491;2.7774686488348506;0.0805547058223717;0.0552909309735091;60.0;53.71418576;86.8410056
0.9449385772889444;2.739042323195969;0.0112164780258998;0.058809296374509365;60.0;53.714348310000005;86.84088399
-2.6082482608473283;2.8888563799600444;0.0428265524625267;0.05700244286643066;60.0;53.71451305000001;86.84076712999999
-6.034557348556629;2.935157575696822;-0.078515346181299;0.058614001260323394;60.0;53.71468867;86.84065091
-5.747114365452225;2.703143164190115;-0.0295707147955541;0.059594448306227205;60.0;53.71487053;86.84054348999999
-0.3040336369772092;2.6520648787271695;-0.0856531049250535;0.0647923419256778;60.0;53.71505706000001;86.8404433
2.3692136050246027;2.6489192773094246;-0.0397675130009177;0.05611317806910409;60.0;53.71525427;86.84033587
-3.061437485545186;2.4644388404106494;-0.0713775874375446;0.0559310105667338;60.0;53.71544677000001;86.84024677
-2.936793486514495;2.6532459720722947;0.0173345569491179;0.04867863249670869;60.0;53.715661999999995;86.84022136000002
-1.985643724059728;2.65652116132139;-0.1254206179259712;0.051619287183935963;60.0;53.71589464;86.84025688
-1.982639875856245;2.6089594092738104;0.023452635872336;0.05201102912722032;60.0;53.71613695;86.84035327
-3.985179690616176;2.7757928801792158;-0.0861629448353217;0.05080150999013748;60.0;53.716388959999996;86.84048240000001
-5.738338024101621;3.1342319307726343;-0.0132558376669725;0.05793522972090589;60.0;53.7166475;86.84063085999999
0.8659885922420596;3.5519238063219674;-0.1091057407973896;0.06078677854031188;60.0;53.71690579999999;86.84079956000001
1.686003961772226;3.633981220027283;-0.0224329560517997;0.05996686944868228;60.0;53.717163310000004;86.84097771
1.6409389620222945;3.823849603567234;-0.0622004690527174;0.05017845329303756;60.0;53.71741562999999;86.84115835
4.4361067389910005;3.9279175796446655;0.0387478331803813;0.04964664569958445;60.0;53.71765859;86.84133987
4.824977916915756;3.568089061692153;0.0295707147955541;0.04619001397187861;60.0;53.71788719999999;86.84151728
3.7639406674319713;2.0703692477284177;0.0071377587437544;0.046217018330586;60.0;53.718090270000005;86.84167171
5.18516847541488;1.7963497015266618;-0.0224329560517996;0.030486408806191627;60.0;53.71827733;86.84180245
5.832563051203206;1.4988054426304402;0.0178443968593861;0.030662112999179706;60.0;53.718452490000004;86.84190849000001
6.383127737164659;0.9037618241981088;0.0265116753339451;0.02518887798752072;60.0;53.71862056;86.84199208
6.570775555348821;0.8280673589934388;-0.0050983991026817;0.022488570387094207;60.0;53.718781320000005;86.84206836000001
6.051516685756653;0.8412264737663632;-0.0040787192821454;0.0203170475694753;60.0;53.71893318;86.84214342
5.940274887947287;0.5556869944029237;-0.0244723156928724;0.022544944300035206;60.0;53.71907953;86.84223345000001
5.84387506656634;0.5218464412287783;-0.0346691138982359;0.025116250099549146;60.0;53.71921956;86.84233764000001
5.392768008305975;0.7804498712295344;-0.0183542367696543;0.022298721458061516;60.0;53.71935500000001;86.84246028
4.702777893118372;1.1841244451128226;-0.0254919955134087;0.015906950730197874;60.0;53.719484109999996;86.84258682999999
5.613884044332961;1.5551504214419551;-0.0453757520138676;0.014761017413522579;60.0;53.71960631;86.84272183
5.992279463191555;1.5833325666585234;-0.0489446313857448;0.01676065049203581;60.0;53.71972197;86.84286820999999
7.667516401045102;1.6011178511483428;-0.0101967982053635;0.017690865327763212;60.0;53.71982679;86.84302167000001
8.820596085468537;1.573557718768721;-0.0132558376669725;0.018275467426251864;60.0;53.71991973;86.84318117000001
9.43175734205684;1.455069792232387;-0.0183542367696543;0.02703252212420716;60.0;53.72001073;86.84335409
7.689684091074036;1.17583708277693;0.0071377587437544;0.03995820943232069;60.0;53.720096579999996;86.84352442000001
7.933850251258361;1.1019165652323115;-0.0050983991026817;0.049571106369740395;60.0;53.72017561;86.84368025
7.752076596596802;0.8576366573528299;0.0010196798205363;0.05163204259143515;60.0;53.72025083;86.84381947
7.196751840567491;0.9798158726065592;0.0453757520138676;0.05424597082870198;30.0;53.72032309;86.84393525
8.49087238455959;1.181292582633892;0.0846334251045171;0.051260847158102536;30.0;53.720397379999994;86.84403002
9.751490979368944;1.1152019095075276;0.1101254206179259;0.045663778982066965;30.0;53.72047112;86.84409864
7.557830735300678;1.2102556010076566;0.1070663811563169;0.05195502447337187;30.0;53.720536249999995;86.84411769
6.668531260252373;1.2493483467422066;0.1050270215152442;0.05123289344668478;30.0;53.72059273;86.84411017
5.829018014881943;1.274957405050215;0.0744366268991536;0.04857029091389797;30.0;53.720639989999995;86.84407039
6.368125534172487;1.2998149017494098;0.0356887937187723;0.04867195722296741;30.0;53.720670629999994;86.84399095
9.003525006265884;1.359099030046998;-0.0336494340776996;0.047626434448095736;30.0;53.72068753;86.84387985
8.652537225113626;1.2808559442132426;0.0010196798205363;0.043076695546176824;30.0;53.72069073;86.84373969
6.91979666318544;1.3533877265456526;0.0326297542571632;0.037331980841668236;30.0;53.720679540000006;86.84356978000001
6.751820568687112;1.6104735257369085;0.0418068726419904;0.02937846033939062;30.0;53.720652429999994;86.84336603
5.901062239261567;1.9257010030000261;0.0489446313857448;0.030995583060203228;30.0;53.720610050000005;86.84314189
4.811595780077225;2.072801290913266;0.0458855919241358;0.034535732455563926;30.0;53.72055464;86.84289704
5.174994324484582;1.900825133986802;0.037728153359845;0.04488341834170235;30.0;53.72046709999999;86.84262262
3.8401953110088463;1.5971575636823094;0.0224329560517997;0.0664332684936114;30.0;53.720364499999995;86.84232802
