;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;4.0;53.7230494;86.8414622;198.0;5.843011742513813;-3.439866474038965;0.333698230249954;;50.4;0.0;244.6;-0.0193739165901906;-0.9962271846640156;-0.1019679820536351;Груженный движется вперед;95;7530G;240;1337.5;74.0;100.0;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;0.2717777777777778;5.7;4.4;11.5;9.5;6.389453319261725;0.32023331853155157;0;6.5;6.5;10.4;10.4;-;0;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
1;4.0;7.0;53.7230619;86.8415259;197.0;5.959036540454987;-2.8155339849793855;1.522658695072489;;50.0;4.42049557130404;276.82500000000005;-0.0601611094116447;-1.0043846232283062;-0.1050270215152442;Груженный движется вперед;95;7530G;240;1544.5;74.0;75.0;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;0.9638402777777778;5.5;5.8;13.5;6.9;6.132924642599459;0.37356598274361796;0;6.5;6.5;10.4;10.4;-;0;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
2;28.0;9.0;53.7231392;86.8418592;199.0;7.892981856559648;-2.2873045106527723;2.734599244944074;;50.4;23.57989247367141;361.375;-0.0683185479759355;-0.9758335882532884;-0.1356174161313347;Груженный движется вперед;95;7530G;240;1737.0;87.0;88.0;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;1.3653680555555556;6.6;5.2;13.0;11.0;5.9027078973578195;0.3792626076505392;0;6.5;6.5;10.4;10.4;-;0;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
3;40.0;11.0;53.7231787;86.8420267;197.0;7.506933740610426;-1.8488009780451562;3.971710664814115;;49.6;11.876782238864443;321.175;-0.0688283878862037;-0.9880697460997248;-0.130519017028653;Груженный движется вперед;95;7530G;240;1638.0;81.0;83.5;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;1.7222291666666667;4.5;5.7;14.3;9.7;5.696897594610167;0.29790633580810977;0;6.5;6.5;15.08;10.4;point_30%;1;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
4;53.0;11.0;53.7232128;86.8422144;193.0;2.2955710651973127;-1.4936463141425647;5.236183739632018;;49.2;12.932961682775112;307.025;-0.040787192821454;-1.0421127765881513;-0.0418068726419904;Груженный движется вперед;95;7530G;240;1569.5;82.5;82.5;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;2.063368055555556;7.8;5.8;14.1;10.4;5.513588245429864;0.10649715756494826;0;6.5;6.5;15.08;10.4;point_30%;1;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
5;65.0;10.0;53.7232249;86.8424057;196.0;5.013333186918256;-1.2154634459310274;6.530209254347189;;48.4;12.672217907749312;326.7125;0.0178443968593861;-0.9936779851126746;-0.087182624655858;Груженный движется вперед;95;7530G;240;1661.5;81.5;83.5;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;2.517135416666666;5.8;6.1;12.2;10.5;5.350874360890271;0.11199780990108299;0;6.5;6.5;15.08;10.4;point_30%;1;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
6;80.0;10.0;53.7232395;86.8426251;194.0;4.497649464873678;-1.0078753003965728;7.855977993909033;;48.0;14.542402485777858;292.00000000000006;-0.0412970327317222;-1.0232486999082289;-0.0805547058223717;Груженный движется вперед;95;7530G;240;1543.75;83.0;82.75;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;3.003802083333333;7.6;5.6;12.8;10.7;5.206850452064749;0.21643270977158258;0;6.5;6.5;15.08;10.4;point_30%;1;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
7;94.0;11.0;53.7232663;86.8428311;195.0;5.8596873996613175;-0.864504804525231;9.215680743266953;;47.6;13.892783005533095;410.125;-0.0173345569491179;-0.9635974304068522;-0.0989089425920261;Груженный движется вперед;95;7530G;240;1827.0;87.0;100.0;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;3.345572916666667;5.2;6.5;13.9;8.0;5.07961103002666;0.4653331882701961;0;6.5;6.5;15.08;10.4;point_30%;1;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
8;107.0;12.0;53.7233204;86.8430132;197.0;4.844727844570866;-0.7789748853030303;10.61150828737036;;47.2;13.42149650095642;397.2000000000001;-0.0101967982053635;-1.0105027021515245;-0.0856531049250535;Груженный движется вперед;95;7530G;240;1831.0;84.0;100.0;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;3.8972395833333335;6.9;4.0;11.8;10.2;4.9672506058493635;0.9551815781783957;0;6.5;6.5;15.08;10.4;point_30%;1;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
9;125.0;12.0;53.7234514;86.8431698;198.0;3.9154043008842514;-0.7449084697159996;12.045651411168656;;47.2;17.862296917356538;327.875;0.0560823901294993;-1.011522381972061;-0.0693382277964719;Груженный движется вперед;95;7530G;240;1702.5;80.0;82.0;796.0;27.0;792.0;27.0;860.0;44.0;868.0;40.0;48.0;41.0;888.0;45.0;4.261545138888889;5.1;6.9;12.5;11.2;4.867863690606223;1.501896502660792;0;6.5;6.5;15.08;10.4;point_30%;1;6.5;10.4;0.0;0;0;-;0.0;0;0;0.0;0.0
