acc_X;acc_X_std;acc_X_max;acc_Z;acc_Z_std;acc_Z_max;acc;acc_std;acc_var;acc_max;acc_range;fb_tilt_max;fb_tilt_var;fb_tilt_range;tilt_max;tilt_var;tilt_range;class;lat;lon
-0.5753293967503202;3.807287227445856;5.333952700690427;-0.0418068726419904;0.015447291912207348;-0.0336494340776996;1.0371790839455772;2.0908072835295295;4.37147509686013;6.7393959754712895;5.702216891525712;-0.9819516671765064;0.00044171606233285094;0.05710206995003608;0.1019679820536351;0.004398042895432225;0.1937391659019067;30.0;53.72859377142857;86.85086120000001
-5.89210625715447;3.807287227445856;5.333952700690427;-0.0384929132252472;0.015447291912207348;-0.0336494340776996;6.183702321230204;2.0908072835295295;4.37147509686013;6.7393959754712895;5.702216891525712;-0.9819516671765064;0.00044171606233285094;0.05710206995003608;0.1019679820536351;0.004398042895432225;0.1937391659019067;30.0;53.72859377142857;86.85086120000001
1.749482331258457;3.807287227445856;5.333952700690427;-0.040787192821454;0.015447291912207348;-0.0336494340776996;3.2132155641614153;2.0908072835295295;4.37147509686013;6.7393959754712895;5.702216891525712;-0.9819516671765064;0.00044171606233285094;0.05710206995003608;0.1019679820536351;0.004398042895432225;0.1937391659019067;30.0;53.72859377142857;86.85086120000001
-0.1746646673765702;3.807287227445856;5.333952700690427;-0.0795350260018354;0.015447291912207348;-0.0336494340776996;3.33782205658115;2.0908072835295295;4.37147509686013;6.7393959754712895;5.702216891525712;-0.9819516671765064;0.00044171606233285094;0.05710206995003608;0.1019679820536351;0.004398042895432225;0.1937391659019067;30.0;53.72859377142857;86.85086120000001
2.7511154836621348;3.8450401979043805;5.333952700690427;-0.0387478331803813;0.01879068955476873;-0.0336494340776996;4.693401485263207;1.4515660257073253;2.1070439269877594;6.7393959754712895;3.5261804113098743;-0.9819516671765064;0.00041693542701510167;0.05710206995003608;0.1019679820536351;0.0044789451094366245;0.1937391659019067;30.0;53.72868797142858;86.85067380000001
5.333952700690427;2.0819200433835725;5.333952700690427;-0.0438462322830631;0.018493978217779414;-0.0336494340776996;6.7393959754712895;1.408279109305453;1.98325004970616;6.7393959754712895;3.5261804113098743;-0.9819516671765064;0.0005919130773700143;0.060161109411644875;0.003059039461609;0.0013191294138100993;0.0948302233098806;30.0;53.728808771428575;86.85049105714288
4.646825860795507;2.285112827926262;5.333952700690427;-0.0336494340776996;0.024996767731507996;-0.0336494340776996;6.328731246955356;1.2572512967860088;1.5806808232701008;6.7393959754712895;3.4015739188901395;-0.9819516671765064;0.0016288378435231076;0.12134189864382605;0.003059039461609;0.001588040154208748;0.0948302233098806;30.0;53.72896028571429;86.8503061142857
3.838380803231823;2.078303322863226;5.333952700690427;-0.0744366268991536;0.0241290027276344;-0.0336494340776996;5.800565095085016;1.1147190688196948;1.2425986023902476;6.7393959754712895;2.6785364213448464;-0.9819516671765064;0.0015747710028298353;0.12134189864382605;-0.0020393596410727;0.0013079026224848262;0.0897318242071989;30.0;53.72914814285714;86.8501246
0.5041431150525256;2.2020277206497916;5.333952700690427;-0.0418068726419904;0.023020085908972542;-0.0336494340776996;4.31863270970954;1.2493457161799966;1.5608647185373086;6.7393959754712895;3.095213839411213;-0.9819516671765064;0.0016448796533991303;0.12134189864382605;-0.0020393596410727;0.0014636171041517998;0.0897318242071989;30.0;53.72937351428572;86.84994402857141
0.1054926435116892;1.7591961655597244;4.646825860795507;-0.0978892627714897;0.03679267589406484;-0.0336494340776996;4.134624597086559;1.0416447522275591;1.085023789843213;6.328731246955356;2.6845491108952797;-1.0003059039461608;0.0012339815664820523;0.10298766187417163;-0.0020393596410727;0.0009624095690437632;0.0805547058223717;30.0;53.72963015714286;86.84976912857142
