lat;lon;vel;class;acc_X;acc_Y;acc_Z;fb_tilt;tilt;acc
53.7290006;86.844367;6.0;30.0;-3.470651906157856;-6.768616330735606;-0.040787192821454;-1.0247782196390334;0.0622004690527174;7.606658614760896
53.7290761;86.8443657;9.0;30.0;2.905956879916357;-5.801966365074731;-0.1009483022330988;-0.9992862241256244;-0.0509839910268175;6.489806595663343
53.7291737;86.8443609;9.0;0.0;7.134396671524175;-4.919955722117107;-0.1458142143366982;-0.9666564698684612;-0.1223615784643621;8.667574168090557
53.7292577;86.8443169;7.0;0.0;7.352777472603877;-4.118143235241748;-0.1029876618741715;-0.9982665443050882;-0.1294993372081166;8.42811050746825
53.7293505;86.8443073;8.0;0.0;7.518743323191384;-3.3920877378276666;-0.0897318242071989;-0.9809319873559702;-0.1300091771183848;8.248988555055183
53.7294496;86.8442784;10.0;0.0;7.2439892372053665;-2.7373480632538785;-0.0367084735393086;-0.986030386458652;-0.1254206179259712;7.74401717457913
53.7295538;86.8443058;13.0;0.0;4.262892169167023;-2.149483044899396;-0.0675537881105332;-1.023758539818497;-0.0764759865402263;4.774629883094981
53.7297264;86.8444016;14.0;0.0;5.636160771187902;-1.6240515161432345;-0.0622004690527174;-1.0003059039461608;-0.0989089425920261;5.8658094466249855
53.729851;86.8445262;14.0;0.0;6.466903886560536;-1.156612310364407;-0.0132558376669725;-1.0074436626899157;-0.1142041399000713;6.569533745383345
53.7299641;86.8447161;16.0;0.0;4.781568095311586;-0.7427242609419284;0.0244723156928724;-0.9992862241256244;-0.0836137452839808;4.838970104488017
53.7301078;86.8449366;14.0;0.0;5.777862267143676;-0.3779462012548116;0.0183542367696543;-1.017640460895279;-0.1029876618741715;5.790239423990427
53.7301984;86.8451552;11.0;0.0;8.200203648207054;-0.0578369646820702;0.0040787192821454;-0.9906189456510656;-0.1427551748750892;8.200408625337088
53.7302601;86.8452937;10.0;30.0;8.769977296169051;0.2220446153972801;0.040787192821454;-0.9839910268175792;-0.1519322932599164;8.77288260389057
53.7303105;86.8454465;9.0;30.0;9.244830673616171;0.4661397056042393;0.0336494340776996;-0.9829713469970428;-0.1600897318242072;9.256636143512878
53.7303631;86.8456015;10.0;30.0;7.076519775532119;0.9995338922214264;0.037728153359845;-0.9931681452024064;-0.1233812582848985;7.146861097625475
53.730417;86.8457578;11.0;30.0;9.073311824932391;1.2579866434692786;0.0489446313857448;-0.9788926277148974;-0.1565208524523298;9.16023544700389
53.7304736;86.8459936;14.0;30.0;4.258914745228893;1.2689444297416987;0.023452635872336;-0.9992862241256244;-0.0744366268991536;4.443998739764665
53.7305263;86.8462255;22.0;30.0;2.921778142201608;1.4707363537459597;-0.0101967982053635;-0.9788926277148976;-0.0499643112062812;3.271078860127142
53.7306085;86.8465893;25.0;0.0;3.1687153267135364;1.5544721467188372;-0.029060874885286;-0.9941878250229428;-0.0550627103089629;3.5295870879074567
53.7307172;86.8470052;28.0;0.0;3.2373239184960507;1.7341875999268792;-0.0112164780258998;-1.009483022330988;-0.0571020699500356;3.672573837839898
53.7308415;86.8474879;29.0;30.0;1.3584961075964133;1.7882540177852844;0.0081574385642908;-1.0319159783827878;-0.0244723156928724;2.245758368632687
53.730951;86.8479558;27.0;0.0;0.7822995102155172;1.823723954657805;-0.0112164780258998;-0.9707351891506067;-0.0132558376669725;1.9844614876221325
53.7310688;86.8484064;23.0;30.0;1.8038475576771;1.8507640309529148;0.092790863668808;-1.0319159783827878;-0.0326297542571632;2.5860788182085876
53.7311779;86.8487459;19.0;30.0;4.490697401223241;1.8732255980661456;0.058121749770572;-0.9850107066381156;-0.0774956663607627;4.866078033529655
53.7313046;86.8489494;12.0;30.0;6.867959361990537;1.8222027008968944;-0.0132558376669725;-0.9819516671765066;-0.1182828591822167;7.105593866689937
53.7314229;86.8490933;10.0;30.0;7.454803544019363;1.6619209115500375;0.0622004690527174;-0.979912307535434;-0.1284796573875803;7.6380590397378665
53.7315077;86.8491781;10.0;30.0;7.223062537578775;1.6231227637847554;0.0550627103089629;-0.9880697460997246;-0.1254206179259712;7.40339056312422
53.7317525;86.8493461;11.0;30.0;6.300330655367188;1.5702254369256765;0.037728153359845;-0.996737024574284;-0.1101254206179259;6.493165460950761
53.7319154;86.8493554;14.0;30.0;5.938085083202183;1.5334320238670989;0.058121749770572;-0.9982665443050882;-0.1040073416947078;6.13315957439278
53.7320834;86.8493442;17.0;0.0;4.615034217269312;1.592441803681817;0.061180789232181;-0.9707351891506067;-0.078515346181299;4.882433288192584
53.7324625;86.8491601;15.0;0.0;3.996036578098924;1.5197280400509716;0.011981237891302;-0.9997960640358926;-0.06984806770674;4.275280715845819
53.7326493;86.8490141;12.0;0.0;5.256546246576854;1.2952648502699875;0.0219231161415315;-0.9972468644845518;-0.0917711838482716;5.413822133924193
53.7327601;86.8489201;10.0;0.0;6.222766563808231;0.969880153031969;0.0173345569491179;-0.9911287855613338;-0.1080860609768532;6.297919633161386
53.7328319;86.8487871;9.0;0.0;7.400351050529117;0.6812510150503959;-0.0020393596410727;-0.9656367900479248;-0.1254206179259712;7.431641997268325
53.7328834;86.8486594;10.0;0.0;7.300276932565273;0.4410319758083968;-0.0387478331803813;-0.9941878250229428;-0.1274599775670439;7.313689485506359
53.7329597;86.8485309;10.0;0.0;7.483448636278831;0.0010454255762845;-0.0295707147955541;-0.9931681452024064;-0.1305190170286529;7.483507133150315
53.7330112;86.848352;11.0;0.0;7.174641218817371;-0.0617295647337002;-0.011726317936168;-1.0043846232283062;-0.1264402977465075;7.1749163524355986
