;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;6.0;53.7282854;86.8523302;215.0;5.35627691090475;3.9805737739722242;1.914249224594048;;75.6;0.0;419.9;0.0774956663607627;-1.0084633425104517;-0.0948302233098807;Груженный движется вперед;95;7530G;240;1748.0;98.0;100.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;0.6998333333333332;2.2;4.9;4.5;14.2;5.911578853918827;2.0328245241459024;1;5.0;5.0;9.6;13.92;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
1;9.0;9.0;53.7283549;86.8522717;220.0;5.382699042547628;2.342650018536233;1.7833915764950237;;75.6;8.643059955788843;402.35;-0.0061180789232181;-1.006423982869379;-0.0948302233098807;Груженный движется вперед;95;7530G;240;1821.0;89.0;94.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;1.1468888888888888;3.2;5.1;7.2;12.8;4.667814398111188;2.289476797271491;1;5.0;5.0;9.6;13.92;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
2;19.0;10.0;53.7284272;86.8521648;222.0;3.2326586879994625;0.9143113856412461;1.795323705668535;;75.6;10.693246271017792;354.45;0.020393596410727;-1.0288569389211788;-0.058121749770572;Груженный движется вперед;95;7530G;240;1715.0;85.0;88.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;1.540722222222222;3.1;8.4;9.4;10.9;3.6484273634414475;2.313063691451706;1;5.0;8.75;9.6;13.92;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
3;31.0;11.0;53.7285075;86.8520403;221.0;4.288226297200222;-0.3154811438484644;1.9470590711970062;;76.0;12.130078808766084;322.1;-0.020393596410727;-0.9788926277148976;-0.0734169470786173;Груженный движется вперед;95;7530G;240;1693.0;78.0;81.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;1.898611111111111;6.4;5.4;6.8;13.2;2.8375610468727848;2.5483420372334447;1;5.0;8.75;9.6;13.92;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
4;46.0;15.0;53.7285805;86.8518573;224.0;3.969537745169889;-1.3577665890686288;2.235611132162862;;76.4;14.535985994697612;299.35;-0.014785357397777;-0.9697155093300704;-0.0672988681553992;Груженный движется вперед;95;7530G;240;1590.5;80.5;80.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;2.231222222222222;5.0;8.1;11.0;12.7;2.2193587453683787;2.406896435586413;1;5.0;8.75;9.6;13.92;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
5;64.0;12.0;53.7286875;86.8516571;226.0;0.17511685312227157;-2.223583969154977;2.6579933476485276;;76.8;17.768623319518014;196.6;0.0336494340776996;-1.0003059039461608;-0.003059039461609;Груженный движется вперед;95;7530G;240;1199.0;65.0;99.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;2.3950555555555555;3.9;7.6;11.7;8.9;1.7779637558914096;2.6347277267096754;1;5.0;10.25;9.6;16.8;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
6;78.0;14.0;53.7287508;86.8514644;218.0;-2.1993059274398696;-2.923972303243237;3.211219176736426;;77.2;14.516065139682786;167.35;0.0305903946160905;-0.9952075048434792;0.0382379932701131;Груженный движется вперед;95;7530G;240;1270.5;57.0;99.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;2.627486111111111;6.1;9.7;9.9;17.4;1.4975193754050569;3.124004099400876;1;5.0;10.25;9.6;16.8;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
7;97.0;20.0;53.7287537;86.8511857;222.0;0.7450117873223739;-3.469970610469139;3.8923020785089832;;77.6;18.357656093757782;55.475;-0.1264402977465075;-1.011522381972061;-0.0132558376669725;Груженный движется вперед;95;7530G;240;1296.0;19.0;31.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;2.689125;7.2;7.9;15.0;10.1;1.3621689008724998;-3.070058319004744;1;7.25;7.25;13.92;13.92;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
8;118.0;20.0;53.7287401;86.8508649;226.0;0.511320418662678;-3.872617909968412;4.6982555120486245;;78.0;21.18164611271638;40.8;-0.116243499541144;-1.0217191801774244;-0.0091771183848271;Груженный движется вперед;95;7530G;240;1299.0;15.0;23.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;2.734458333333333;7.7;6.0;11.3;13.6;1.356055629256919;2.82013700465398;1;7.25;7.25;9.6;13.92;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
9;140.0;12.0;53.7288033;86.8505441;227.0;2.7919886575264754;-4.142953220876786;5.6260929364377725;;78.0;22.268091801259363;172.625;-0.0397675130009177;-1.023758539818497;-0.0499643112062812;Груженный движется вперед;95;7530G;240;1219.0;58.0;99.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;2.926263888888889;5.4;7.7;9.6;10.4;1.4633228575214936;2.316123286724544;1;5.0;7.25;9.6;9.6;point_90%;1;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
10;154.0;11.0;53.7288933;86.8504037;225.0;4.257022862258113;-4.29201556232999;6.672827810758855;;78.0;13.633683302673733;398.95;-0.0734169470786173;-1.0247782196390334;-0.0764759865402263;Груженный движется вперед;95;7530G;240;1685.5;97.0;100.0;792.0;34.0;792.0;35.0;856.0;47.0;868.0;44.0;;;872.0;50.0;3.369541666666667;3.9;5.6;10.0;9.1;1.6681138826294024;2.4298228532863355;1;5.0;5.0;9.6;9.6;-;0;5.0;9.6;0.0;0;0;-;0.0;0;0;0.0;0.0
