acc_X_std;acc_X_kurt;acc_X_var;acc_X_iqr;acc_Y_std;acc_Y_kurt;acc_Y_var;acc_Y_iqr;acc_Z_std;acc_Z_kurt;acc_Z_var;acc_Z_iqr;acc_Z_range;acc_std;acc_var;acc_iqr;acc_kurt;acc_cv;acc_skew;hole
1.0257013521714147;-0.8061905427995406;1.0520632638462686;1.481458675235872;1.5285437867836646;-0.90837010655343;2.3364461081149455;2.0831572182734055;0.08861560737843235;-1.1810460030573005;0.007852725871048474;0.122106658509228;0.2304476394412154;0.8510704221984478;0.7243208635410441;0.39836464815640316;3.5536764964484817;0.4373029282212462;1.57423174205657;0
1.0257013521714147;-0.8061905427995406;1.0520632638462686;1.481458675235872;1.5285437867836646;-0.90837010655343;2.3364461081149455;2.0831572182734055;0.08861560737843235;-1.1810460030573005;0.007852725871048474;0.122106658509228;0.2304476394412154;0.8510704221984478;0.7243208635410441;0.39836464815640316;3.5536764964484817;0.4373029282212462;1.57423174205657;1
1.0257013521714147;-0.8061905427995406;1.0520632638462686;1.481458675235872;1.5285437867836646;-0.90837010655343;2.3364461081149455;2.0831572182734055;0.08861560737843235;-1.1810460030573005;0.007852725871048474;0.122106658509228;0.2304476394412154;0.8510704221984478;0.7243208635410441;0.39836464815640316;3.5536764964484817;0.4373029282212462;1.57423174205657;0
1.0257013521714147;-0.8061905427995406;1.0520632638462686;1.481458675235872;1.5285437867836646;-0.90837010655343;2.3364461081149455;2.0831572182734055;0.08861560737843235;-1.1810460030573005;0.007852725871048474;0.122106658509228;0.2304476394412154;0.8510704221984478;0.7243208635410441;0.39836464815640316;3.5536764964484817;0.4373029282212462;1.57423174205657;1
1.2291358579076437;-1.1877018040908176;1.5107749571943592;1.7020774214271248;1.2733731688529977;-0.8352348136521315;1.6214792271547251;1.7274902266616345;0.08825912216943411;-1.189123956095365;0.007789672646119097;0.122106658509228;0.2304476394412154;1.2064448403055466;1.4555091526998758;1.2729254248307527;-0.46333024682529855;0.5177239820122362;0.8972546799508284;1
1.2278058655420647;-0.8224044354473449;1.507507243459499;1.4628416757106713;1.03538301554966;-0.7272891629813607;1.0720179888887071;1.395185987336996;0.07799487396411044;-0.8927452814431917;0.006083200364677472;0.0943203833996125;0.2085245232996838;1.2299502132864097;1.512777527163285;1.8013426687171092;-1.4911175599811046;0.4858608624214815;0.26642333348089725;0
1.3099378921227856;-1.1121579886069406;1.7159372812190865;1.8926370593736779;0.8148062056087978;-0.5571841900437228;0.6639091526986064;1.0862445002994914;0.07286431083897447;-0.5628678642494463;0.005309207794038692;0.07749566636076274;0.2085245232996838;1.0285342769366996;1.0578827588336994;1.527939546337567;-1.6334058973220458;0.3592817816596265;-0.016436574676078373;0
1.3559132530457947;-1.9391343361902096;1.8385007497852295;2.2818653831595874;0.6121254601921707;-0.26492224676565074;0.3746975790154768;0.8006657655491192;0.061377126732086514;-0.5640889658304573;0.003767151685886609;0.0718874273478128;0.1529519730804528;0.9320042891752003;0.8686319950409703;1.063613750609334;-0.5908573453522863;0.29254726606668824;-0.6969455802279853;0
1.9408280292062972;0.2974538318229335;3.7668134389528;2.4107904348133355;0.42851631161451575;0.2944118604503586;0.18362622931970876;0.5341854397612753;0.04391900616265599;1.722404990681818;0.0019288791023154145;0.04333639237279495;0.12440093810543498;1.297922785569866;1.6846035573014406;0.8386655607971996;2.6787673523431037;0.33649076254299576;1.2167903482232747;0
1.798834817537403;0.9477234307729538;3.235806700784822;1.8957022855369974;0.2676493342809426;1.4237136159031494;0.07163616614103176;0.2698927126101389;0.027946350110878995;-1.6284138021635635;0.0007809984845198264;0.04333639237279495;0.06729886815539929;1.1056820400868757;1.2225327737706755;0.7549760292075818;4.556859150350912;0.2742185895806678;2.068754610920393;0
