acc_Y_max;acc_Y_std;acc;acc_std;acc_var;acc_max;fb_tilt_max;fb_tilt_std;fb_tilt_var;tilt_std;tilt_var;hole;lat;lon
-1.291966444715276;0.6805730621240575;2.194191078027563;0.7112197958725414;0.5058335980409794;3.904733588527734;-0.9952075048434792;0.013251635023485113;0.0001756058307956573;0.03617092548408173;0.0013083358503749932;0;53.727548757142856;86.85424498571429
-1.291966444715276;0.6805730621240575;3.4594383612674053;0.7112197958725414;0.5058335980409794;3.904733588527734;-0.9952075048434792;0.013251635023485113;0.0001756058307956573;0.03617092548408173;0.0013083358503749932;1;53.727548757142856;86.85424498571429
-1.291966444715276;0.6805730621240575;2.0796164811623123;0.7112197958725414;0.5058335980409794;3.904733588527734;-0.9952075048434792;0.013251635023485113;0.0001756058307956573;0.03617092548408173;0.0013083358503749932;1;53.727548757142856;86.85424498571429
-1.291966444715276;0.6805730621240575;2.5483131662122243;0.7112197958725414;0.5058335980409794;3.904733588527734;-0.9952075048434792;0.013251635023485113;0.0001756058307956573;0.03617092548408173;0.0013083358503749932;0;53.727548757142856;86.85424498571429
-1.6734608271327944;0.6197486780888146;3.324698834472094;0.802727809937284;0.6443719368467083;4.483915419587845;-0.9952075048434792;0.012028023920723097;0.00014467335943748702;0.04044342302832509;0.0016356704662480563;0;53.72742755714285;86.85425544285715
-2.0292776368826555;0.5567345508721943;3.4469271990688437;0.8519423399019651;0.7258057505176355;4.483915419587845;-0.9952075048434792;0.0279463501108789;0.0007809984845198213;0.03675548224099047;0.0013509654747677657;1;53.7273002;86.85424511428572
-2.358357631480704;0.49157504260674045;3.904733588527734;0.9075103024185093;0.8235749489957342;5.386880455812384;-0.9952075048434792;0.028701509440954873;0.0008237766441892216;0.046495903708273785;0.0021618690616490677;1;53.7271414;86.85419237142858
-2.6596415684427868;0.42434578845375004;4.483915419587845;0.6924430262558888;0.4794773446104135;5.386880455812384;-0.9952075048434792;0.030488256118539885;0.0009295337611496848;0.04577391167554477;0.002095250990080574;1;53.72698568571428;86.85409882857144
-2.932070205284749;0.35518683819558367;4.070101486550182;0.6078392261085431;0.3694685247962326;5.386880455812384;-1.011522381972061;0.027787333079676926;0.0007721358796809076;0.04123494204435366;0.0017003204454012052;1;53.72684091428572;86.85396502857144
-3.1745842995224365;0.28438849626739815;5.386880455812384;0.5259444713960759;0.2766175869920977;5.386880455812384;-0.9778729478943612;0.034711217959941656;0.0012048686522625762;0.037317621360196646;0.0013926048639830051;1;53.72672507142857;86.85378335714286
-3.3861246086716945;0.21265914775180841;4.013529180822096;0.5010554465184153;0.25105656048576847;5.386880455812384;-0.9778729478943612;0.0348904802990656;0.0012173456154994848;0.02535201214730578;0.0006427245199171397;1;53.72663735714286;86.8535639857143
-3.565631890248369;0.14280913562181602;4.052285317152782;0.5081721968360979;0.25823898163722586;5.386880455812384;-0.9778729478943612;0.03464268354805126;0.0012001155234104214;0.024184598106010494;0.0005848947855492463;0;53.72658704285714;86.85331618571429
-3.6353723963659226;0.12227511310220314;3.987195301536197;0.5168530951037922;0.2671371219183697;5.386880455812384;-0.9646171102273886;0.03067363613809802;0.0009408719539324327;0.03611441720791954;0.001304251130267675;1;53.72658154285714;86.8530437142857
-3.314916745556409;0.23317599973405212;4.269858882710586;0.3865759324692611;0.1494409515644787;4.61551532885349;-0.9646171102273886;0.030986796218620525;0.0009601815398943152;0.026587901671637746;0.0007069165153006773;1;53.72664878571428;86.85278547142856
-3.0981002502774944;0.3459583334009367;4.0044973414076255;0.5232534108640854;0.27379413198089936;4.61551532885349;-0.9646171102273886;0.025113358687567085;0.0006306807845704013;0.025438770930553172;0.0006471310664571571;0;53.72675254285714;86.85253814285714
-2.703223144294747;0.48581817922213577;4.61551532885349;0.628005916798975;0.39439143153452116;4.61551532885349;-0.9646171102273886;0.025640146925549705;0.0006574171343637761;0.02540078951255194;0.0006452001078609686;0;53.72688667142857;86.85230655714284
-2.6742806599010542;0.5312037274735187;3.327465359628659;0.6442224497157532;0.4150225647177661;4.61551532885349;-0.9646171102273886;0.02492113812426343;0.000621063125408616;0.0275414691679575;0.0007585325239295536;0;53.72705154285715;86.85208742857142
-2.559169595767996;0.5204171141317578;3.109352754582541;0.6887866439691798;0.47442704091032567;4.61551532885349;-0.9646171102273886;0.02614046981589985;0.0006833241621959711;0.02269544459871205;0.000515083205533208;0;53.7272343142857;86.85187888571429
-2.316144644157712;0.465276756421905;2.951865260687836;0.7195465119918806;0.5177471829196815;4.61551532885349;-0.9646171102273886;0.025308521226004754;0.0006405212466471332;0.019606674217158948;0.0003844216738578055;0;53.72741981428572;86.85167672857142
-1.930423619691247;0.4625156573225033;3.244530555377243;0.35762200599776395;0.1278934991738647;3.327465359628659;-0.9834811869073112;0.020288626995450264;0.0004116283853605133;0.020473859640751484;0.00041917892858919244;0;53.72760481428571;86.85148138571428
-1.8274517870835656;0.45121618864085933;2.569932696244407;0.30516605016647885;0.0931263181742099;3.244530555377243;-0.9834811869073112;0.019220935637934783;0.0003694443667976314;0.022963288309293447;0.0005273126099757331;1;53.7277849;86.85129210000001
-1.8274517870835656;0.3739872481595183;2.411379010086824;0.8292151312904343;0.6875977339610122;4.8225538666394385;-0.9834811869073112;0.019637584167872747;0.00038563471195028636;0.03295831998045274;0.00108625085593391;0;53.727956999999996;86.85110945714284
-1.8274517870835656;0.33829957446421194;2.6314165995807217;1.0493213018537235;1.101075194523993;4.8225538666394385;-0.9834811869073112;0.018843067713192895;0.0003550612008439725;0.03882458454612971;0.0015073483651795742;0;53.72812178571428;86.85093047142855
