;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;6.0;53.7292693;86.8443029;196.0;8.020301033490904;-6.009521643770449;-0.28717387338077016;1505.0;55.2;0.0;113.025;-0.1050270215152442;-0.9421841541755888;-0.133578056490262;Груженный движется вперед;95;7530G;240;1433.5;30.0;32.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;860.0;48.0;0.0941875;7.2;6.6;13.5;7.6;5.7207328937913715;1.8054141185434522;1;6.7;6.7;14.79;10.2;point_30%;1;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
1;6.0;7.0;53.729324;86.8442808;197.0;4.194192809272758;-5.122807854504231;0.9884776781328511;1505.0;54.8;6.260805099079118;304.575;-0.0305903946160905;-1.01458142143367;-0.0744366268991536;Груженный движется вперед;95;7530G;240;1546.0;82.0;83.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;860.0;48.0;0.4326041666666667;6.0;4.4;14.9;10.7;6.224756812602356;1.5669696990208501;1;6.7;6.7;14.79;10.2;point_30%;1;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
2;15.0;8.0;53.7294013;86.8442813;198.0;8.714052111569334;-4.297388451978941;2.3101651860272563;1505.0;55.2;8.605205348886475;411.8;-0.1070663811563169;-0.99214846538187;-0.1529519730804527;Груженный движется вперед;95;7530G;240;1726.0;98.0;100.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;860.0;48.0;0.8901597222222222;4.4;4.6;12.2;8.4;6.582747812001014;1.665755850668682;1;6.7;6.7;10.2;10.2;-;0;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
3;25.0;10.0;53.7294895;86.8442671;196.0;6.497754966379659;-3.5313058139815388;3.673634794324451;1505.0;55.2;9.86298081235475;410.775;-0.0693382277964719;-1.0003059039461608;-0.1142041399000713;Груженный движется вперед;95;7530G;240;1723.0;97.0;100.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;860.0;48.0;1.3465763888888889;4.8;4.8;8.8;10.1;6.8085501592149225;1.2640578493354948;1;6.7;6.7;10.2;10.2;-;0;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
4;38.0;13.0;53.7295997;86.8443261;196.0;6.129539758342666;-2.8226023182989843;5.074632647046442;1505.0;55.2;12.868263243717502;417.9;-0.0387478331803813;-0.9962271846640156;-0.1070663811563169;Груженный движется вперед;95;7530G;240;1825.0;89.0;100.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;860.0;48.0;1.810909722222222;4.3;6.3;10.7;8.9;6.916008121471658;1.219445403285274;1;6.7;6.7;10.2;10.2;-;0;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
5;54.0;14.0;53.7297343;86.8444095;199.0;4.779482013641261;-2.169320342718236;6.508904888215235;1505.0;55.2;15.958805751401314;433.425;-0.1172631793616804;-1.0054043030488429;-0.0846334251045171;Груженный движется вперед;95;7530G;240;1786.5;98.0;100.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;861.3846153846154;48.0;2.292493055555556;6.1;5.4;11.9;8.4;6.918965965998797;1.0365814729041414;1;6.7;6.7;10.2;10.2;-;0;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
6;69.0;14.0;53.7298542;86.8445294;197.0;4.636340995196227;-1.5695022650262533;7.972197661852836;1505.0;55.2;15.50822073024162;415.6;-0.0550627103089629;-1.0043846232283062;-0.0815743856429081;Груженный движется вперед;95;7530G;240;1826.0;88.0;100.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;863.2307692307693;48.0;2.869715277777778;5.8;4.5;8.4;12.2;6.831267960023919;1.0365827067182272;1;6.7;6.7;10.2;10.2;-;0;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
7;84.0;16.0;53.7299728;86.844648;196.0;3.789780812371853;-1.0211904630099955;9.460257111981253;1505.0;54.8;15.340063603939615;417.9;0.0122361578464362;-0.9697155093300704;-0.0642398286937901;Груженный движется вперед;95;7530G;240;1826.0;88.0;99.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;865.0769230769231;48.0;3.334048611111111;3.8;7.9;8.9;12.1;6.6667583707745965;0.7952034998475304;1;6.7;6.7;10.2;10.2;-;0;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
8;103.0;15.0;53.7300896;86.8448416;199.0;6.135641669240818;-0.5224273144564213;10.968829382622488;1505.0;54.4;18.21042437970184;418.025;0.0112164780258998;-1.0054043030488429;-0.1080860609768532;Груженный движется вперед;95;7530G;240;1826.0;89.0;100.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;866.9230769230769;48.0;3.798520833333333;4.3;5.5;8.4;13.3;6.43928146547841;0.772389354904903;1;6.7;6.7;10.2;14.79;point_30%;2;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
9;119.0;12.0;53.7301941;86.8450229;200.0;7.590292255891143;-0.07125519715248974;12.493660617798552;1505.0;54.0;16.66994690342459;422.1;0.0101967982053635;-0.971754868971143;-0.1294993372081166;Груженный движется вперед;95;7530G;240;1825.0;90.0;99.0;812.0;28.0;816.0;29.0;884.0;45.0;888.0;41.0;8.0;46.0;868.7692307692307;48.0;4.150270833333334;3.7;6.3;8.5;11.6;6.162681511362934;0.6724744811640643;1;6.7;6.7;10.2;10.2;-;0;6.7;10.2;0.0;0;0;-;0.0;0;0;0.0;0.0
