;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;10.0;53.7282161;86.8522609;220.0;3.0612696492880596;3.6821732239398166;3.286808976464147;;67.2;0.0;425.05;0.0458855919241358;-1.009483022330988;-0.0540430304884266;Груженный движется вперед;95;7530G;240;1824.0;90.0;100.0;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;0.5903472222222222;2.8;6.4;8.7;10.0;3.3206060601431235;2.0087826782598084;0;5.6;5.6;9.9;9.9;-;0;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
1;16.0;11.0;53.7283447;86.8521591;217.0;3.766170858280534;2.0253942668609604;1.9544861268999258;;67.2;15.80809942010144;429.225;0.0050983991026817;-1.0533292546140511;-0.0693382277964719;Груженный движется вперед;95;7530G;240;1823.0;92.0;100.0;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;1.067263888888889;4.7;5.4;11.1;16.9;2.5961360779108427;2.082805941805975;0;5.6;5.6;9.9;17.325;point_60%;1;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
2;28.0;11.0;53.7284366;86.8520718;222.0;4.221035431353913;0.5968547922862468;1.0206559723801232;;67.2;11.735360696118567;350.025;0.0142755174875089;-1.0084633425104517;-0.0744366268991536;Груженный движется вперед;95;7530G;240;1702.0;85.5;88.0;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;1.4561805555555556;4.5;5.6;8.7;10.8;2.0507985974743645;1.9725388156260024;0;5.6;5.6;9.9;9.9;-;0;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
3;38.0;12.0;53.728526;86.8520076;222.0;0.1685157837818561;-0.6166265559740882;0.46191739295189427;;67.2;10.813057288716934;114.7;-0.003059039461609;-1.0400734169470789;-0.003059039461609;Груженный движется вперед;95;7530G;240;1025.0;48.0;67.0;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;1.583625;5.5;6.4;9.1;11.4;1.6698978088846417;2.2687939617825865;0;5.6;5.6;9.9;9.9;-;0;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
4;51.0;11.0;53.7286107;86.8518875;219.0;3.9059391839298465;-1.6282311341098117;0.2548692686623957;;68.0;12.307205925765428;268.70000000000005;0.0005098399102681;-0.9707351891506066;-0.0662791883348627;Груженный движется вперед;95;7530G;240;1505.0;74.0;81.5;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;2.0314583333333336;5.4;7.1;13.4;15.0;1.438737902192625;2.5557459175478145;0;5.6;5.6;14.355;14.355;point_30%;2;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
5;68.0;11.0;53.7286973;86.8516669;221.0;-2.882127780243629;-2.4511402983106887;0.3761104795587831;;68.0;17.436000082457678;140.3625;0.0173345569491179;-1.012542061792597;0.0509839910268175;Груженный движется вперед;95;7530G;240;1144.0;40.0;45.75;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;2.187416666666667;6.1;7.6;10.3;10.4;1.342623067449266;2.8289213151904233;0;5.6;8.12;14.355;9.9;point_30%;2;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
6;83.0;13.0;53.7287384;86.851452;221.0;-4.331675677605658;-3.0985354047664835;0.8022399056882135;;68.4;14.87420963707268;51.3;-0.0530233506678902;-1.0217191801774244;0.0774956663607627;Груженный движется вперед;95;7530G;240;1291.0;18.0;28.0;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;2.287166666666667;7.1;7.7;13.4;11.2;1.366857494705517;3.0510758043194057;0;5.6;8.12;14.355;9.9;point_30%;2;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
7;118.0;15.0;53.7287671;86.8509175;221.0;1.3934619013872562;-3.583597809666964;1.509856427097841;;70.4;35.34616006999199;158.125;-0.1040073416947078;-0.9584990313041704;-0.023452635872336;Груженный движется вперед;95;7530G;240;1190.0;54.0;100.0;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;2.462861111111111;7.3;4.2;9.2;12.8;1.496745374012329;2.8473633135756593;0;8.12;5.6;9.9;9.9;point_30%;2;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
8;136.0;14.0;53.7288138;86.850657;231.0;3.399063026883004;-3.919508869201894;2.475558923834823;;70.4;17.926540558422907;387.7000000000001;-0.0438462322830631;-1.00336494340777;-0.0596512695013765;Груженный движется вперед;95;7530G;240;1638.0;97.0;100.0;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;2.893638888888889;6.3;4.4;8.6;13.3;1.7175908954206531;2.497020370749187;0;5.6;5.6;9.9;14.355;point_30%;2;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
9;151.0;15.0;53.7288926;86.8504798;228.0;3.17979959836701;-4.119449939561038;3.6759462759463153;;70.0;14.599388662746987;414.2;0.0045885591924135;-1.0461914958702967;-0.058121749770572;Груженный движется вперед;95;7530G;240;1826.0;88.0;100.0;784.0;25.0;788.0;25.0;860.0;42.0;864.0;37.0;20.0;39.0;868.0;44.0;3.468916666666667;4.4;4.8;9.1;12.8;2.014698248981442;2.266477858165703;0;5.6;5.6;9.9;9.9;-;0;5.6;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
